symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
FNM.MI,2019-12-31,12M,EUR,3733000.0,,,,40739000.0,37006000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4554000.0,,,,,,,,,,,,
FNM.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2797000.0,,,,,3549000.0,,2568000.0,,,,,,2764000.0,,,,229000.0
FNM.MI,2020-12-31,12M,EUR,,434902568.0,0.06,238807000.0,,,434902568.0,0.06,24185000.0,30599000.0,69899000.0,42964000.0,,2241000.0,2241000.0,918000.0,918000.0,-500000.0,24185000.0,24185000.0,24685000.0,0.0,24185000.0,24185000.0,24685000.0,-528000.0,-528000.0,67826000.0,26121455.144933,33757000.0,9207000.0,281771000.0,14250000.0,48780000.0,-1733000.0,0.0,28358000.0,238807000.0,39300000.0,3597000.0,,-392000.0,9455.144933,3673000.0,0.129523,272564000.0,-41752000.0,-795000.0,281771000.0,2073000.0,73000.0,125000.0
FNM.MI,2021-12-31,12M,EUR,35634000.0,434902568.0,0.09,418353000.0,77080000.0,41446000.0,434902568.0,0.09,40875000.0,72797000.0,149877000.0,149576000.0,0.0,12517000.0,12517000.0,76000.0,76000.0,-2261000.0,40875000.0,40875000.0,43136000.0,0.0,40875000.0,40875000.0,43136000.0,-21584000.0,-21584000.0,151990000.0,43953387.126742,90555000.0,59021000.0,567929000.0,20151000.0,38593000.0,-846000.0,0.0,60280000.0,418353000.0,76201000.0,,379000.0,-3225000.0,-860612.873258,17144000.0,0.284406,508908000.0,75947000.0,9143000.0,567929000.0,-2113000.0,-3026000.0,3158000.0
FNM.MI,2022-09-30,TTM,EUR,,,,434911000.0,,,,,56744000.0,85330000.0,169007000.0,194477000.0,,3283000.0,3283000.0,2932000.0,2932000.0,2090000.0,56744000.0,56744000.0,54654000.0,0.0,56744000.0,56744000.0,54654000.0,-9295000.0,-9295000.0,170382000.0,58268106.329299,127810000.0,66667000.0,629388000.0,26052000.0,151277000.0,,0.0,82047000.0,434911000.0,83677000.0,,,-2288000.0,-763893.670701,27393000.0,0.33387,562721000.0,-59865000.0,,629388000.0,-1375000.0,-2288000.0,2221000.0
FNM.MI,2022-12-31,12M,EUR,42586000.0,434902568.0,0.16,448207000.0,89293000.0,46707000.0,434902568.0,0.16,68476000.0,109912000.0,199205000.0,212812000.0,2957000.0,12091000.0,12091000.0,4322000.0,4322000.0,-1075000.0,68476000.0,68476000.0,69551000.0,0.0,68476000.0,68476000.0,69551000.0,-4096000.0,-4096000.0,199665000.0,73446722.728249,126412000.0,86400000.0,661019000.0,17874000.0,19124000.0,-1671000.0,0.0,97821000.0,448207000.0,86103000.0,,273000.0,-3174000.0,-917277.271751,28270000.0,0.288997,574619000.0,101060000.0,-3673000.0,661019000.0,-460000.0,-3174000.0,1858000.0
FNM.MI,2023-09-30,TTM,EUR,,455575485.0,0.19,,,,455575485.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNM.MI,2023-12-31,12M,EUR,60211000.0,434902568.0,0.19,493372000.0,105899000.0,45688000.0,434902568.0,0.19,80855000.0,124313000.0,230212000.0,243676000.0,,18798000.0,18798000.0,8217000.0,8217000.0,-1143000.0,80855000.0,80855000.0,81998000.0,0.0,80855000.0,80855000.0,81998000.0,-5968000.0,-5968000.0,229676000.0,80438462.749372,157832000.0,85844000.0,737048000.0,18745000.0,22938000.0,-1659000.0,0.0,105515000.0,493372000.0,104631000.0,,11000.0,536000.0,119462.749372,23517000.0,0.222878,651204000.0,104682000.0,-4613000.0,737048000.0,536000.0,536000.0,1112000.0
FNM.MI,2023-12-31,TTM,EUR,,434902568.0,0.186019,,,,434902568.0,0.186019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNM.MI,2024-03-31,TTM,EUR,,434902568.0,0.197664,518916000.0,,,434902568.0,0.197664,84188000.0,130905000.0,241414000.0,232785000.0,,19913000.0,19913000.0,10222000.0,10222000.0,-937000.0,84188000.0,84188000.0,85125000.0,0.0,84188000.0,84188000.0,85125000.0,-5078000.0,-5078000.0,240889000.0,83785352.737134,152180000.0,80605000.0,751701000.0,19409000.0,17663000.0,,0.0,110992000.0,518916000.0,110509000.0,,,525000.0,122352.737134,25867000.0,0.233053,671096000.0,100096000.0,,751701000.0,525000.0,525000.0,1123000.0
