symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
FNM.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2797000.0,,,,,3549000.0,2568000.0,,,,,,2764000.0,,,,229000.0
FNM.MI,2022-09-30,TTM,EUR,,,434911000.0,,,56744000.0,85330000.0,169007000.0,194477000.0,3283000.0,3283000.0,2932000.0,2932000.0,2090000.0,56744000.0,56744000.0,54654000.0,0.0,56744000.0,56744000.0,54654000.0,-9295000.0,-9295000.0,170382000.0,58268106.329299,127810000.0,66667000.0,629388000.0,26052000.0,151277000.0,,0.0,82047000.0,434911000.0,83677000.0,,-2288000.0,-763893.670701,27393000.0,0.33387,562721000.0,-59865000.0,,629388000.0,-1375000.0,-2288000.0,2221000.0
FNM.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNM.MI,2023-03-31,3M,EUR,434902568.0,0.023408,123248000.0,434902568.0,0.023408,10180000.0,16552000.0,41988000.0,24808000.0,4629000.0,4629000.0,1304000.0,1304000.0,220000.0,10180000.0,10180000.0,9960000.0,0.0,10180000.0,10180000.0,9960000.0,-3325000.0,-3325000.0,42058000.0,10238475.215969,10371000.0,14437000.0,148056000.0,6748000.0,13333000.0,,0.0,11923000.0,123248000.0,25436000.0,,-70000.0,-11524.784031,1963000.0,0.16464,133619000.0,21115000.0,,148056000.0,-70000.0,-70000.0,70000.0
FNM.MI,2023-06-30,3M,EUR,,,168191000.0,,,23300000.0,33676000.0,59718000.0,21098000.0,3501000.0,3501000.0,-410000.0,-410000.0,-84000.0,23300000.0,23300000.0,23384000.0,,23300000.0,23300000.0,23384000.0,-2686000.0,-2686000.0,59705000.0,23289925.700083,-5188000.0,26286000.0,189289000.0,1157000.0,-2258000.0,,0.0,30175000.0,168191000.0,26042000.0,,-19000.0,2925.700083,6791000.0,0.225054,163003000.0,27424000.0,,189289000.0,13000.0,13000.0,499000.0
FNM.MI,2023-09-30,3M,EUR,,,119702000.0,,,20809000.0,37144000.0,63243000.0,47683000.0,6120000.0,6120000.0,5152000.0,5152000.0,-228000.0,20809000.0,20809000.0,21037000.0,,20809000.0,20809000.0,21037000.0,-2193000.0,-2193000.0,63908000.0,21259928.474729,28432000.0,19251000.0,167385000.0,16282000.0,31228000.0,,0.0,31024000.0,119702000.0,26099000.0,,-633000.0,-214071.525271,9987000.0,0.321912,148134000.0,34900000.0,,167385000.0,-665000.0,-665000.0,153000.0
FNM.MI,2023-09-30,TTM,EUR,455575485.0,0.19,,455575485.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNM.MI,2023-12-31,3M,EUR,,,82231000.0,,,26566000.0,36941000.0,63995000.0,150087000.0,4548000.0,4548000.0,2171000.0,2171000.0,-1051000.0,26566000.0,26566000.0,27617000.0,0.0,26566000.0,26566000.0,27617000.0,2236000.0,2236000.0,62737000.0,25493478.591054,124217000.0,25870000.0,232318000.0,-5442000.0,-19365000.0,,0.0,32393000.0,82231000.0,27054000.0,,1258000.0,185478.591054,4776000.0,0.147439,206448000.0,21243000.0,,232318000.0,1258000.0,1258000.0,390000.0
FNM.MI,2023-12-31,TTM,EUR,434902568.0,0.186019,,434902568.0,0.186019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNM.MI,2024-03-31,3M,EUR,434902568.0,0.031041,148792000.0,434902568.0,0.031041,13513000.0,23144000.0,54458000.0,13917000.0,5744000.0,5744000.0,3309000.0,3309000.0,426000.0,13513000.0,13513000.0,13087000.0,0.0,13513000.0,13513000.0,13087000.0,-2435000.0,-2435000.0,54539000.0,13573922.241379,4719000.0,9198000.0,162709000.0,7412000.0,8058000.0,,0.0,17400000.0,148792000.0,31314000.0,,-81000.0,-20077.758621,4313000.0,0.247874,153511000.0,16529000.0,,162709000.0,-81000.0,-81000.0,81000.0
FNM.MI,2024-03-31,TTM,EUR,434902568.0,0.197664,518916000.0,434902568.0,0.197664,84188000.0,130905000.0,241414000.0,232785000.0,19913000.0,19913000.0,10222000.0,10222000.0,-937000.0,84188000.0,84188000.0,85125000.0,0.0,84188000.0,84188000.0,85125000.0,-5078000.0,-5078000.0,240889000.0,83785352.737134,152180000.0,80605000.0,751701000.0,19409000.0,17663000.0,,0.0,110992000.0,518916000.0,110509000.0,,525000.0,122352.737134,25867000.0,0.233053,671096000.0,100096000.0,,751701000.0,525000.0,525000.0,1123000.0
