symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RentAndLandingFees,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
MB.MI,2018-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
MB.MI,2020-06-30,12M,EUR,30222000.0,,,83773000.0,53551000.0,,,,94224000.0,,980000.0,15791000.0,502197000.0,,,,,,,0.0,,,,,,,,,,4700000.0,,83773000.0,9519000.0,20244000.0,37174000.0,,-121844000.0,,,,,-121844000.0,-121844000.0,0.0
MB.MI,2020-06-30,TTM,EUR,,,,,,,,,,,980000.0,15791000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
MB.MI,2021-06-30,12M,EUR,32368000.0,862328603.0,0.94,85793000.0,53425000.0,867244606.0,0.93,807576000.0,130677000.0,522328000.0,0.0,,402327000.0,1819894000.0,-1623000.0,807576000.0,807576000.0,809199000.0,,0.0,807576000.0,807576000.0,809199000.0,1417567000.0,929234064.6,1420275000.0,2585540000.0,,138032000.0,,1080980000.0,85793000.0,8632000.0,16588000.0,39627000.0,561955000.0,-79061000.0,-19875935.4,271781000.0,0.2514,2585540000.0,-79061000.0,-79061000.0,
MB.MI,2022-06-30,12M,EUR,29528000.0,838844304.0,1.08,86585000.0,57057000.0,842975394.0,1.08,906977000.0,-2030000.0,546623000.0,0.0,,353681000.0,1847987000.0,-2677000.0,906977000.0,906977000.0,909654000.0,,0.0,906977000.0,906977000.0,909654000.0,1494306000.0,926450812.2,1490404000.0,2513784000.0,-90100000.0,139964000.0,,1161649000.0,86585000.0,8451000.0,16963000.0,42073000.0,588696000.0,-20696000.0,-5286187.8,251995000.0,0.2514,2513784000.0,-21027000.0,-21027000.0,
MB.MI,2023-06-30,12M,EUR,30192000.0,1052396694.0,1.21,92336000.0,62144000.0,1052396694.0,1.21,1026796000.0,12085000.0,575083000.0,1253000.0,,1026491000.0,2834084000.0,-3034000.0,1026796000.0,1026796000.0,1029830000.0,,0.0,1026796000.0,1026796000.0,1029830000.0,1807593000.0,1125297631.5,1642287000.0,2909295000.0,-185800000.0,185694000.0,4000000.0,1424575000.0,92336000.0,8797000.0,19857000.0,49157000.0,624240000.0,-70646000.0,-18769368.5,394745000.0,0.2771,2909295000.0,-67735000.0,-67735000.0,67000000.0
MB.MI,2023-09-30,TTM,EUR,,843194366.0,1.32,,,843194366.0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB.MI,2023-12-31,TTM,EUR,,836316925.0,1.289946,,,836316925.0,1.279946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB.MI,2024-06-30,12M,EUR,,670588235.0,1.53,,,670588235.0,1.53,1026000000.0,,684800000.0,,,,1801000000.0,-6700000.0,1026000000.0,1026000000.0,1032700000.0,,,1026000000.0,1026000000.0,1032700000.0,1801000000.0,1026000000.0,1420400000.0,2849500000.0,-185800000.0,7300000.0,,1427100000.0,,,,,684800000.0,,0.0,394400000.0,0.276365,2849500000.0,,,
MB.MI,2024-06-30,TTM,EUR,,670588235.0,1.53,,,832948824.0,1.53,1026000000.0,,684800000.0,,,,1801000000.0,-6700000.0,1026000000.0,1026000000.0,1032700000.0,,,1026000000.0,1026000000.0,1032700000.0,1801000000.0,1026000000.0,1420400000.0,2849500000.0,-185800000.0,7300000.0,,1427100000.0,,,,,684800000.0,,0.0,394400000.0,0.276365,2849500000.0,,,
