symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
MB.MI,2018-12-31,TTM,EUR,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
MB.MI,2020-06-30,TTM,EUR,,,,,,,980000.0,15791000.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
MB.MI,2022-12-31,3M,EUR,840612789.0,0.348198,840612789.0,0.348198,292479000.0,112370000.0,,,793163000.0,120000.0,292479000.0,292479000.0,292359000.0,,,292479000.0,292479000.0,292359000.0,446151000.0,292479000.0,440921000.0,803909000.0,-35500000.0,60264000.0,,394970000.0,135133000.0,,0.0,102611000.0,0.259794,803909000.0,,,
MB.MI,2023-06-30,3M,EUR,840802545.0,0.389271,840802545.0,0.389271,236300000.0,186100000.0,,,502100000.0,-400000.0,236300000.0,236300000.0,236700000.0,,,236300000.0,236300000.0,236700000.0,502100000.0,288364888.644487,292500000.0,722100000.0,-89800000.0,-85700000.0,80000000.0,363700000.0,186100000.0,-80000000.0,-27935111.355513,127000000.0,0.349189,722100000.0,-80000000.0,-80000000.0,
MB.MI,2023-09-30,3M,EUR,856829268.0,0.41,856829268.0,0.41,351300000.0,164200000.0,,,495700000.0,-700000.0,351300000.0,351300000.0,352000000.0,,,351300000.0,351300000.0,352000000.0,495700000.0,351300000.0,344300000.0,723000000.0,,400000.0,,459400000.0,164200000.0,,0.0,107400000.0,0.233783,723000000.0,,,
MB.MI,2023-09-30,TTM,EUR,843194366.0,1.32,843194366.0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB.MI,2023-12-31,3M,EUR,841482971.0,0.308859,841482971.0,0.308859,259879000.0,115813000.0,,,1460729000.0,-1114000.0,259879000.0,259879000.0,260993000.0,,,259879000.0,259879000.0,260993000.0,496795000.0,259879000.0,473386000.0,854760000.0,-25200000.0,81735000.0,,371622000.0,139797000.0,,0.0,110629000.0,0.297692,854760000.0,,,
MB.MI,2023-12-31,TTM,EUR,836316925.0,1.289946,836316925.0,1.279946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB.MI,2024-06-30,3M,EUR,832948824.0,0.28201,832948824.0,0.28201,234900000.0,186100000.0,,,502100000.0,-400000.0,234900000.0,234900000.0,235300000.0,,,234900000.0,234900000.0,235300000.0,502100000.0,234900000.0,372500000.0,720200000.0,-89800000.0,-5700000.0,,361800000.0,186100000.0,,0.0,126500000.0,0.349641,720200000.0,,,
MB.MI,2024-06-30,TTM,EUR,670588235.0,1.53,832948824.0,1.53,1026000000.0,684800000.0,,,1801000000.0,-6700000.0,1026000000.0,1026000000.0,1032700000.0,,,1026000000.0,1026000000.0,1032700000.0,1801000000.0,1026000000.0,1420400000.0,2849500000.0,-185800000.0,7300000.0,,1427100000.0,684800000.0,,0.0,394400000.0,0.276365,2849500000.0,,,
