symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
MON.MI,2020-06-30,TTM,EUR,288000.0,,,12479000.0,,,,,,,,15467000.0,144524000.0,4421000.0,4421000.0,144000.0,144000.0,,,,,,,,,,,,,,,601000.0,,-699000.0,,,12479000.0,,10141000.0,25608000.0,-645000.0,,,,,,-104000.0,,-645000.0,-645000.0,875000.0
MON.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61479000.0,,,,,,,,,,,,,,,,436000.0,436000.0,
MON.MI,2023-03-31,3M,EUR,,203812736.0,-0.011319,20846000.0,1873000.0,1873000.0,203812736.0,-0.011319,-2307000.0,-466000.0,1407000.0,,14436000.0,,,,,-24000.0,-2307000.0,-2307000.0,-2283000.0,-2307000.0,-2307000.0,-2283000.0,-1560000.0,-1560000.0,1407000.0,-2307000.0,14902000.0,-466000.0,35282000.0,,107000.0,,0.0,-2026000.0,20846000.0,1873000.0,,,,0.0,257000.0,0.24,35748000.0,-466000.0,,35282000.0,,,
MON.MI,2023-06-30,3M,EUR,,,,-11871000.0,2030000.0,1602000.0,,,-745000.0,1207000.0,3237000.0,,48045000.0,,,,,-85000.0,-745000.0,-745000.0,-660000.0,-745000.0,-745000.0,-660000.0,-1795000.0,-1795000.0,3237000.0,-745000.0,47011000.0,1034000.0,36174000.0,,26928000.0,,0.0,-511000.0,-11871000.0,2030000.0,,,,0.0,149000.0,0.24,35140000.0,1287000.0,,36174000.0,,,
MON.MI,2023-09-30,3M,EUR,,,,51714000.0,2052000.0,2480000.0,,,-808000.0,1082000.0,3134000.0,,-15562000.0,,,,,-31000.0,-808000.0,-808000.0,-777000.0,-808000.0,-808000.0,-777000.0,-1703000.0,-1703000.0,3151000.0,-795080.0,-16817000.0,1255000.0,36152000.0,,-26707000.0,,0.0,-698000.0,51714000.0,2052000.0,,,,-4080.0,79000.0,0.24,34897000.0,1002000.0,,36152000.0,-17000.0,-17000.0,
MON.MI,2023-09-30,TTM,EUR,,,-0.001893,,,,,-0.001893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON.MI,2023-12-31,3M,EUR,,,,-44271000.0,1970000.0,1088000.0,,,2119000.0,3307000.0,5277000.0,,83492000.0,,,,,-11000.0,2119000.0,2119000.0,2130000.0,2119000.0,2119000.0,2130000.0,-1452000.0,-1452000.0,7930000.0,4713531.680441,77586000.0,5906000.0,39221000.0,,55119000.0,,0.0,2178000.0,-44271000.0,1970000.0,,,,-58468.319559,48000.0,0.022039,33315000.0,3630000.0,,39221000.0,-2653000.0,-2653000.0,
MON.MI,2023-12-31,TTM,EUR,,,-0.008542,,,,,-0.008542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON.MI,2024-03-31,3M,EUR,,203812736.0,-0.01155,18894000.0,2094000.0,2094000.0,203812736.0,-0.01155,-2354000.0,-198000.0,1896000.0,,13523000.0,,,,,-33000.0,-2354000.0,-2354000.0,-2321000.0,-2354000.0,-2354000.0,-2321000.0,-1830000.0,-1830000.0,1896000.0,-2354000.0,13721000.0,-198000.0,32417000.0,,,,0.0,-2028000.0,18894000.0,2094000.0,,,,0.0,293000.0,0.4,32615000.0,-198000.0,,32417000.0,,,
MON.MI,2024-03-31,TTM,EUR,,203812736.0,-0.008731,14466000.0,8146000.0,7264000.0,203812736.0,-0.008731,-1788000.0,5398000.0,13544000.0,,129498000.0,,,,,-160000.0,-1788000.0,-1788000.0,-1628000.0,-1788000.0,-1788000.0,-1628000.0,-6780000.0,-6780000.0,16197000.0,-196200.0,121501000.0,7997000.0,143964000.0,,,,0.0,-1059000.0,14466000.0,8146000.0,,,,-1061200.0,569000.0,0.4,135967000.0,5721000.0,,143964000.0,-2653000.0,-2653000.0,
