symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
SRS.MI,2019-09-30,TTM,EUR,37660000.0,,,,152173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22863000.0,,,,,1581000.0,22863000.0,,,,,,-12000.0,,,
SRS.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-265000.0,,,,,,,9161000.0,,,
SRS.MI,2020-12-31,12M,EUR,,947539261.0,-0.2925,5519010000.0,,947539261.0,-0.2925,-275516000.0,-337325000.0,-83293000.0,-335023000.0,17604000.0,17604000.0,1239000.0,1239000.0,0.0,-275516000.0,-275516000.0,-275516000.0,-275516000.0,-275516000.0,-275516000.0,-16365000.0,-16365000.0,-90336000.0,-280983175.654849,163497000.0,-498520000.0,5183987000.0,156289000.0,-1120000.0,0.0,-354929000.0,5519010000.0,254032000.0,,1120000.0,1575824.345151,-79413000.0,0.223743,5682507000.0,-341111000.0,,5183987000.0,7043000.0,7043000.0
SRS.MI,2021-12-31,12M,EUR,,942828283.0,0.0099,8417002000.0,,942828283.0,0.0099,9334000.0,51963000.0,248654000.0,145942000.0,19755000.0,19755000.0,47000.0,47000.0,0.0,9334000.0,9334000.0,9334000.0,9334000.0,9334000.0,9334000.0,-19538000.0,-19538000.0,246208000.0,7700072.0,142570000.0,3372000.0,8562944000.0,74713000.0,-411000.0,0.0,32208000.0,8417002000.0,196691000.0,,411000.0,812072.0,22874000.0,0.332,8559572000.0,78496000.0,-170000.0,8562944000.0,2446000.0,2446000.0
SRS.MI,2022-12-31,12M,EUR,,951000000.0,0.4384,14695607000.0,,951000000.0,0.4384,416916000.0,920956000.0,1112402000.0,1081539000.0,31786000.0,31786000.0,1286000.0,1286000.0,0.0,416916000.0,416916000.0,416916000.0,416916000.0,416916000.0,416916000.0,-30003000.0,-30003000.0,1089424000.0,399199962.0,174542000.0,906997000.0,15777146000.0,58638000.0,-272000.0,0.0,889170000.0,14695607000.0,191446000.0,,272000.0,5261962.0,472254000.0,0.229,14870149000.0,965635000.0,-497000.0,15777146000.0,22978000.0,22978000.0
SRS.MI,2023-09-30,TTM,EUR,,950825742.0,0.361,,,950825742.0,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2023-12-31,12M,EUR,,951000000.0,0.3301,10826323000.0,,951000000.0,0.3301,313937000.0,466761000.0,667401000.0,547503000.0,45852000.0,45852000.0,7539000.0,7539000.0,0.0,313937000.0,313937000.0,313937000.0,313937000.0,313937000.0,313937000.0,-38313000.0,-38313000.0,676608000.0,320833043.0,164252000.0,383251000.0,11373826000.0,69611000.0,,0.0,420909000.0,10826323000.0,200640000.0,,,-2310957.0,106972000.0,0.251,10990575000.0,452862000.0,,11373826000.0,-9207000.0,-9207000.0
SRS.MI,2024-03-31,TTM,EUR,,953418505.0,0.2638,,,953418505.0,0.2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2024-06-30,TTM,EUR,,950905132.0,0.3158,11326452000.0,,950905132.0,0.3158,300355000.0,437207000.0,642753000.0,494454000.0,55279000.0,55279000.0,7322000.0,7322000.0,0.0,300355000.0,300355000.0,300355000.0,300355000.0,300355000.0,300355000.0,-47957000.0,-47957000.0,647683000.0,304232040.044197,122850000.0,371604000.0,11820906000.0,,,0.0,381928000.0,11326452000.0,205546000.0,,,-1052959.955803,81573000.0,0.213582,11449302000.0,441215000.0,,11820906000.0,-4930000.0,-4930000.0
