symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
SRS.MI,2019-09-30,TTM,EUR,37660000.0,,,,152173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-265000.0,,,,,,,9161000.0,,,
SRS.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855000.0,69000.0,,,,,,-69000.0,,,,,,-559000.0,,,
SRS.MI,2023-03-31,3M,EUR,,941726473.0,0.1477,,,941726473.0,0.1477,,,,,,,,,,,,,,,,,,,,,,,13325000.0,-5000.0,,,,,,5000.0,,,,,,,,,
SRS.MI,2023-06-30,3M,EUR,,,,1924062000.0,,,,-16770000.0,-13293000.0,34614000.0,11721000.0,10236000.0,10236000.0,1170000.0,1170000.0,0.0,-16770000.0,-16770000.0,-16770000.0,-16770000.0,-16770000.0,-16770000.0,-9066000.0,-9066000.0,36684000.0,-15294633.431085,38302000.0,-26581000.0,1935783000.0,13812000.0,-420000.0,0.0,-23529000.0,1924062000.0,47907000.0,,420000.0,-594633.431085,-6759000.0,0.287263,1962364000.0,-12349000.0,,1935783000.0,-2070000.0,-2070000.0
SRS.MI,2023-09-30,3M,EUR,,,,2762894000.0,,,,151233000.0,230741000.0,281195000.0,270421000.0,14220000.0,14220000.0,632000.0,632000.0,0.0,151233000.0,151233000.0,151233000.0,151233000.0,151233000.0,151233000.0,-13588000.0,-13588000.0,289654000.0,157141341.209398,37287000.0,233134000.0,3033315000.0,16936000.0,-325000.0,0.0,216521000.0,2762894000.0,50454000.0,,325000.0,-2550658.790602,65288000.0,0.301532,2800181000.0,250395000.0,,3033315000.0,-8459000.0,-8459000.0
SRS.MI,2023-09-30,TTM,EUR,,950825742.0,0.361,,,950825742.0,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2023-12-31,3M,EUR,,,,2914002000.0,,,,40381000.0,44487000.0,100286000.0,38528000.0,13095000.0,13095000.0,5426000.0,5426000.0,0.0,40381000.0,40381000.0,40381000.0,40381000.0,40381000.0,40381000.0,-7669000.0,-7669000.0,98464000.0,38996280.0,48429000.0,-9901000.0,2952530000.0,25538000.0,,0.0,31392000.0,2914002000.0,55799000.0,,,437280.0,-8989000.0,0.24,2962431000.0,14887000.0,,2952530000.0,1822000.0,1822000.0
SRS.MI,2024-03-31,3M,EUR,,951400491.0,0.0814,2865617000.0,,951400491.0,0.0814,77444000.0,117626000.0,167036000.0,157522000.0,12583000.0,12583000.0,588000.0,588000.0,0.0,77444000.0,77444000.0,77444000.0,77444000.0,77444000.0,77444000.0,-11954000.0,-11954000.0,162994000.0,74463995.163885,29451000.0,128071000.0,3023139000.0,,,0.0,105043000.0,2865617000.0,49410000.0,,,1061995.163885,27599000.0,0.26274,2895068000.0,128071000.0,-41000.0,3023139000.0,4042000.0,4042000.0
SRS.MI,2024-03-31,TTM,EUR,,953418505.0,0.2638,,,953418505.0,0.2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRS.MI,2024-06-30,3M,EUR,,,,2783939000.0,,,,31297000.0,44353000.0,94236000.0,27983000.0,15381000.0,15381000.0,676000.0,676000.0,0.0,31297000.0,31297000.0,31297000.0,31297000.0,31297000.0,31297000.0,-14746000.0,-14746000.0,96996000.0,33394600.0,-19879000.0,47862000.0,2811922000.0,,,0.0,28972000.0,2783939000.0,49883000.0,,,-662400.0,-2325000.0,0.24,2764060000.0,47862000.0,,2811922000.0,-2760000.0,-2760000.0
SRS.MI,2024-06-30,TTM,EUR,,950905132.0,0.3158,11326452000.0,,950905132.0,0.3158,300355000.0,437207000.0,642753000.0,494454000.0,55279000.0,55279000.0,7322000.0,7322000.0,0.0,300355000.0,300355000.0,300355000.0,300355000.0,300355000.0,300355000.0,-47957000.0,-47957000.0,647683000.0,304232040.044197,122850000.0,371604000.0,11820906000.0,,,0.0,381928000.0,11326452000.0,205546000.0,,,-1052959.955803,81573000.0,0.213582,11449302000.0,441215000.0,,11820906000.0,-4930000.0,-4930000.0
