symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
BDB.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211000.0,,-8825000.0,,,,,-8879000.0,-8879000.0
BDB.MI,2022-12-31,TTM,EUR,,,0.60629,,,,0.60629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDB.MI,2023-03-31,3M,EUR,555000.0,134363049.0,1.179536,4764000.0,4209000.0,134363049.0,1.179536,158486000.0,-391000.0,37333000.0,,42640000.0,123513000.0,158486000.0,158486000.0,59802000.0,98684000.0,158486000.0,59802000.0,158486000.0,80873000.0,59802000.0,88789000.0,185732000.0,1184000.0,,85292000.0,4764000.0,,37333000.0,,0.0,25490000.0,0.298856,185732000.0,,
BDB.MI,2023-06-30,3M,EUR,638000.0,134363049.0,0.259439,5129000.0,4491000.0,134363049.0,0.259439,34859000.0,-6842000.0,31649000.0,0.0,58064000.0,151750000.0,34859000.0,34859000.0,35118000.0,-259000.0,34859000.0,35118000.0,34859000.0,93686000.0,35118000.0,88305000.0,148989000.0,2446000.0,,52152000.0,5129000.0,,31649000.0,0.0,0.0,17034000.0,0.326622,148989000.0,0.0,0.0
BDB.MI,2023-09-30,3M,EUR,1566000.0,,,5423000.0,3857000.0,,,32330000.0,-707000.0,78216000.0,,69346000.0,166242000.0,32330000.0,32330000.0,32637000.0,-307000.0,32330000.0,32637000.0,32330000.0,96896000.0,-89807317.89488,97714000.0,-15095000.0,-17071000.0,-101563000.0,44197000.0,5423000.0,2449000.0,77629000.0,165814000.0,43369682.10512,11560000.0,0.261556,-15095000.0,165814000.0,165814000.0
BDB.MI,2023-09-30,TTM,EUR,,134363049.0,1.813501,,,134363049.0,1.813501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDB.MI,2023-12-31,3M,EUR,1285000.0,,,7317000.0,6032000.0,,,14686000.0,466000.0,-40107000.0,,80217000.0,179198000.0,14686000.0,14686000.0,14779000.0,-93000.0,14686000.0,14779000.0,14686000.0,98981000.0,20313428.286499,120322000.0,177261000.0,53231000.0,6435000.0,22562000.0,7317000.0,-64846000.0,-38517000.0,-8449000.0,-2914571.713501,7783000.0,0.344961,177261000.0,-8449000.0,-8449000.0
BDB.MI,2023-12-31,TTM,EUR,,134363049.0,1.79,,,134363049.0,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDB.MI,2024-03-31,3M,EUR,1075000.0,134363049.0,0.2913,5681000.0,4606000.0,134363049.0,0.2913,39140000.0,1206000.0,41289000.0,,73491000.0,173309000.0,39140000.0,39140000.0,39140000.0,0.0,39140000.0,39140000.0,39140000.0,99818000.0,-45697964.306197,101481000.0,110673000.0,762000.0,,59282000.0,5681000.0,,41289000.0,51100000.0,17362035.693803,20142000.0,0.339766,110673000.0,51100000.0,51100000.0
BDB.MI,2024-03-31,TTM,EUR,4564000.0,134363049.0,0.901765,24187000.0,19623000.0,134363049.0,0.901765,121015000.0,-3676000.0,74833000.0,,281118000.0,670499000.0,121015000.0,121015000.0,121674000.0,-659000.0,121015000.0,121674000.0,121015000.0,389381000.0,-18066089.532137,405770000.0,423013000.0,54530000.0,,178193000.0,24187000.0,,76423000.0,,64910910.467863,56519000.0,0.317179,423013000.0,204651000.0,204651000.0
