symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
CMB.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1055000.0,,,,,,,,,,,,
CMB.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133000.0,,,,,,,,,,,,,,,,,,,
CMB.MI,2020-12-31,12M,EUR,842000.0,16742000.0,1.13,57179000.0,10974000.0,10132000.0,16764000.0,1.13,18975000.0,25029000.0,36003000.0,838000.0,80443000.0,123000.0,127000.0,127000.0,7000.0,7000.0,18975000.0,18975000.0,18975000.0,,18975000.0,18975000.0,18975000.0,-293000.0,-293000.0,36133000.0,19074060.0,54947000.0,25496000.0,137622000.0,1714000.0,-87000.0,0.0,24902000.0,57179000.0,10974000.0,113000.0,113000.0,-1207000.0,838000.0,-130000.0,-30940.0,5927000.0,0.238,112126000.0,25200000.0,173000.0,137622000.0,-130000.0,-130000.0,94000.0
CMB.MI,2021-12-31,12M,EUR,823000.0,16763000.0,1.51,73921000.0,11409000.0,10586000.0,16763000.0,1.51,25321000.0,34392000.0,45801000.0,75000.0,93605000.0,0.0,103000.0,103000.0,3000.0,3000.0,25321000.0,25321000.0,25321000.0,,25321000.0,25321000.0,25321000.0,-272000.0,-272000.0,45892000.0,25388203.5,59154000.0,34451000.0,167526000.0,1123000.0,24000.0,0.0,34289000.0,73921000.0,11409000.0,206000.0,206000.0,-2232000.0,75000.0,-91000.0,-23796.5,8968000.0,0.2615,133075000.0,34188000.0,172000.0,167526000.0,-91000.0,-91000.0,67000.0
CMB.MI,2022-09-30,TTM,EUR,808000.0,,,90857000.0,11810000.0,11002000.0,,,29441000.0,40058000.0,51868000.0,,101416000.0,,94000.0,94000.0,6000.0,6000.0,29441000.0,29441000.0,29441000.0,,29441000.0,29441000.0,29441000.0,-88000.0,-88000.0,50098000.0,28137062.205985,63247000.0,38169000.0,192273000.0,1391000.0,,0.0,39964000.0,90857000.0,11810000.0,243000.0,243000.0,-1937000.0,,1770000.0,466062.205985,10523000.0,0.263312,154104000.0,39939000.0,,192273000.0,1770000.0,1770000.0,170000.0
CMB.MI,2022-12-31,12M,EUR,830000.0,16744000.0,1.9,91828000.0,12021000.0,11191000.0,16744000.0,1.9,31918000.0,42723000.0,54744000.0,126000.0,107412000.0,,104000.0,104000.0,59000.0,59000.0,31918000.0,31918000.0,31918000.0,0.0,31918000.0,31918000.0,31918000.0,-239000.0,-239000.0,54938000.0,32063286.6,64453000.0,42959000.0,199240000.0,1241000.0,-49000.0,0.0,42619000.0,91828000.0,12021000.0,256000.0,256000.0,-2047000.0,126000.0,-194000.0,-48713.4,10701000.0,0.2511,156281000.0,42572000.0,194000.0,199240000.0,-194000.0,-194000.0,243000.0
CMB.MI,2023-09-30,TTM,EUR,,16782459.0,2.361817,,,,16782459.0,2.361817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMB.MI,2023-12-31,12M,EUR,1070000.0,16790000.0,2.43,98242000.0,12605000.0,11535000.0,16790000.0,2.43,40828000.0,54182000.0,66787000.0,161000.0,124897000.0,,354000.0,354000.0,225000.0,225000.0,40828000.0,40828000.0,40828000.0,0.0,40828000.0,40828000.0,40828000.0,-204000.0,-204000.0,67040000.0,41019900.5,70517000.0,54380000.0,223139000.0,1365000.0,16000.0,0.0,53828000.0,98242000.0,12604000.0,361000.0,361000.0,,161000.0,-253000.0,-61099.5,13000000.0,0.2415,168759000.0,53964000.0,75000.0,223139000.0,-253000.0,-253000.0,237000.0
CMB.MI,2023-12-31,TTM,EUR,,16801646.0,2.43,,,,16801646.0,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMB.MI,2024-03-31,TTM,EUR,1103000.0,16797459.0,2.361019,98969000.0,12735000.0,11632000.0,16797459.0,2.361019,39679000.0,52912000.0,65647000.0,,125000000.0,,364000.0,364000.0,314000.0,314000.0,39679000.0,39679000.0,39679000.0,,39679000.0,39679000.0,39679000.0,-125000.0,-125000.0,65949000.0,39907040.229885,71950000.0,53050000.0,223969000.0,1354000.0,,0.0,52548000.0,98969000.0,11923000.0,416000.0,416000.0,,,-302000.0,-73959.770115,12869000.0,0.2449,170919000.0,52585000.0,,223969000.0,-302000.0,-302000.0,286000.0
