symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
CMB.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133000.0,,,,,,,,,,,,,,,,,
CMB.MI,2022-09-30,TTM,EUR,808000.0,,,90857000.0,11810000.0,11002000.0,,,29441000.0,40058000.0,51868000.0,101416000.0,94000.0,94000.0,6000.0,6000.0,29441000.0,29441000.0,29441000.0,29441000.0,29441000.0,29441000.0,-88000.0,-88000.0,50098000.0,28137062.205985,63247000.0,38169000.0,192273000.0,1391000.0,,0.0,39964000.0,90857000.0,11810000.0,243000.0,243000.0,-1937000.0,1770000.0,466062.205985,10523000.0,0.263312,154104000.0,39939000.0,192273000.0,1770000.0,1770000.0,170000.0
CMB.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-718000.0,,,,,,,,,,
CMB.MI,2023-03-31,3M,EUR,248000.0,16782459.0,0.647343,25573000.0,3092000.0,2844000.0,16782459.0,0.647343,10864000.0,14783000.0,18685000.0,32403000.0,41000.0,41000.0,61000.0,61000.0,10864000.0,10864000.0,10864000.0,10864000.0,10864000.0,10864000.0,20000.0,20000.0,18742000.0,10906005.698006,17668000.0,14735000.0,57976000.0,438000.0,,0.0,14742000.0,25573000.0,3902000.0,80000.0,80000.0,-486000.0,-57000.0,-14994.301994,3878000.0,0.263058,43241000.0,14678000.0,57976000.0,-57000.0,-57000.0,57000.0
CMB.MI,2023-06-30,3M,EUR,270000.0,,,24141000.0,3129000.0,2859000.0,,,13016000.0,17799000.0,20928000.0,35787000.0,91000.0,91000.0,45000.0,45000.0,13016000.0,13016000.0,13016000.0,13016000.0,13016000.0,13016000.0,-137000.0,-137000.0,20962000.0,13040991.190422,17913000.0,17874000.0,59928000.0,224000.0,,0.0,17708000.0,24141000.0,3129000.0,75000.0,75000.0,-365000.0,-34000.0,-9008.809578,4692000.0,0.264965,42054000.0,17750000.0,59928000.0,-34000.0,-34000.0,100000.0
CMB.MI,2023-09-30,3M,EUR,275000.0,,,23664000.0,3207000.0,2932000.0,,,8223000.0,10802000.0,14009000.0,28115000.0,105000.0,105000.0,36000.0,36000.0,8223000.0,8223000.0,8223000.0,8223000.0,8223000.0,8223000.0,22000.0,22000.0,14134000.0,8319090.025241,17245000.0,10870000.0,51779000.0,650000.0,,0.0,10697000.0,23664000.0,3207000.0,99000.0,99000.0,,-125000.0,-28909.974759,2474000.0,0.23128,40909000.0,10835000.0,51779000.0,-125000.0,-125000.0,59000.0
CMB.MI,2023-09-30,TTM,EUR,,16782459.0,2.361817,,,,16782459.0,2.361817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMB.MI,2023-12-31,3M,EUR,277000.0,,,24864000.0,3177000.0,2900000.0,,,8725000.0,10798000.0,13975000.0,28592000.0,117000.0,117000.0,83000.0,83000.0,8725000.0,8725000.0,8725000.0,8725000.0,8725000.0,8725000.0,-109000.0,-109000.0,14012000.0,8755224.229941,17691000.0,10901000.0,53456000.0,53000.0,,0.0,10681000.0,24864000.0,3176000.0,107000.0,107000.0,,-37000.0,-6775.770059,1956000.0,0.183129,42555000.0,10701000.0,53456000.0,-37000.0,-37000.0,21000.0
CMB.MI,2023-12-31,TTM,EUR,,16801646.0,2.43,,,,16801646.0,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMB.MI,2024-03-31,3M,EUR,281000.0,16797459.0,0.578361,26300000.0,3222000.0,2941000.0,16797459.0,0.578361,9715000.0,13513000.0,16735000.0,32506000.0,51000.0,51000.0,150000.0,150000.0,9715000.0,9715000.0,9715000.0,9715000.0,9715000.0,9715000.0,99000.0,99000.0,16841000.0,9791496.062992,19101000.0,13405000.0,58806000.0,427000.0,,0.0,13462000.0,26300000.0,3221000.0,135000.0,135000.0,,-106000.0,-29503.937008,3747000.0,0.278339,45401000.0,13299000.0,58806000.0,-106000.0,-106000.0,106000.0
CMB.MI,2024-03-31,TTM,EUR,1103000.0,16797459.0,2.361019,98969000.0,12735000.0,11632000.0,16797459.0,2.361019,39679000.0,52912000.0,65647000.0,125000000.0,364000.0,364000.0,314000.0,314000.0,39679000.0,39679000.0,39679000.0,39679000.0,39679000.0,39679000.0,-125000.0,-125000.0,65949000.0,39907040.229885,71950000.0,53050000.0,223969000.0,1354000.0,,0.0,52548000.0,98969000.0,11923000.0,416000.0,416000.0,,-302000.0,-73959.770115,12869000.0,0.2449,170919000.0,52585000.0,223969000.0,-302000.0,-302000.0,286000.0
