symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
EM.MI,2022-09-30,TTM,EUR,,,322034000.0,25972000.0,20611000.0,,,31593000.0,50413000.0,76385000.0,294292000.0,3969000.0,3969000.0,2782000.0,2782000.0,-925000.0,31593000.0,31593000.0,32518000.0,31593000.0,31593000.0,32518000.0,-6968000.0,-6968000.0,76326000.0,31551690.853501,243955000.0,50337000.0,616326000.0,104278000.0,0.0,46444000.0,322034000.0,25972000.0,,17690.853501,13926000.0,0.299845,565989000.0,50046000.0,616326000.0,59000.0,59000.0,
EM.MI,2022-12-31,3M,EUR,,,,7100000.0,1220000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100000.0,,,,,,,,,,
EM.MI,2023-03-31,3M,EUR,162837602.0,0.068,93544000.0,6845000.0,6845000.0,162837602.0,0.068,11129000.0,18416000.0,18416000.0,78209000.0,3166000.0,3166000.0,414000.0,414000.0,-256000.0,11129000.0,11129000.0,11385000.0,11129000.0,11129000.0,11385000.0,-2752000.0,-2752000.0,25261000.0,16239185.245902,53205000.0,25004000.0,171753000.0,27459000.0,0.0,15250000.0,93544000.0,6845000.0,-6845000.0,-1734814.754098,3865000.0,0.253443,146749000.0,18159000.0,171753000.0,-6845000.0,-6845000.0,6845000.0
EM.MI,2023-06-30,3M,EUR,,,83429000.0,7171000.0,4018000.0,,,10396000.0,17571000.0,24742000.0,75974000.0,3124000.0,3124000.0,-53000.0,-53000.0,-277000.0,10396000.0,10396000.0,10673000.0,10396000.0,10396000.0,10673000.0,-3726000.0,-3726000.0,24742000.0,10396000.0,59787000.0,16187000.0,159403000.0,18298000.0,0.0,14447000.0,83429000.0,7171000.0,,0.0,3774000.0,0.261231,143216000.0,16667000.0,159403000.0,,,
EM.MI,2023-09-30,3M,EUR,162837602.0,0.003,61408000.0,7335000.0,7335000.0,162837602.0,0.003,542000.0,4147000.0,11482000.0,57377000.0,3443000.0,3443000.0,932000.0,932000.0,-209000.0,542000.0,542000.0,751000.0,542000.0,542000.0,751000.0,-2511000.0,-2511000.0,11482000.0,542000.0,53879000.0,3498000.0,118785000.0,22790000.0,0.0,704000.0,61408000.0,7335000.0,,0.0,-47000.0,0.24,115287000.0,3498000.0,118785000.0,,,
EM.MI,2023-09-30,TTM,EUR,162926400.0,0.099,,,,162926400.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM.MI,2023-12-31,3M,EUR,,,58892000.0,7729000.0,1098000.0,,,-2992000.0,-2624000.0,5105000.0,57484000.0,2342000.0,2342000.0,-1392000.0,-1392000.0,-105000.0,-2992000.0,-2992000.0,-2887000.0,-2992000.0,-2992000.0,-2887000.0,-5308000.0,-5308000.0,5105000.0,-2992000.0,58687000.0,-1203000.0,116376000.0,4819000.0,0.0,-4966000.0,58892000.0,7729000.0,,0.0,-2079000.0,0.24,117579000.0,-1100000.0,116376000.0,,,
EM.MI,2023-12-31,TTM,EUR,163034188.0,0.117,,,,163034188.0,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM.MI,2024-03-31,3M,EUR,162837602.0,0.047,91617000.0,,,162837602.0,0.047,7588000.0,14957000.0,14957000.0,78490000.0,4308000.0,4308000.0,1125000.0,1125000.0,-263000.0,7588000.0,7588000.0,7851000.0,7588000.0,7588000.0,7851000.0,-3183000.0,-3183000.0,22750000.0,13333407.362194,57003000.0,21487000.0,170107000.0,27520000.0,0.0,10649000.0,91617000.0,,-7793000.0,-2047592.637806,2798000.0,0.262748,148620000.0,13694000.0,170107000.0,-7793000.0,-7793000.0,7793000.0
EM.MI,2024-03-31,TTM,EUR,162837602.0,0.096,295346000.0,,,162837602.0,0.096,15534000.0,36026000.0,36026000.0,269325000.0,15192000.0,15192000.0,2170000.0,2170000.0,-854000.0,15534000.0,15534000.0,16388000.0,15534000.0,15534000.0,16388000.0,-14596000.0,-14596000.0,35535000.0,15147779.975041,235721000.0,33604000.0,564671000.0,81892000.0,0.0,20834000.0,295346000.0,,-526000.0,104779.975041,4446000.0,0.213401,531067000.0,32759000.0,564671000.0,491000.0,491000.0,1016000.0
