symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
AEF.MI,2019-12-31,12M,EUR,,,,,,,,,,,,26272000.0,,1321000.0,,,,,,,,,,,,,,,,,,,10064295.0,,,,,,7766000.0,,17486000.0,43758000.0,,,,,,,,,,
AEF.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,1706000.0,,,,,,,,,,,,,,,,,,,,,,,,,,6556000.0,,,,,,,,463000.0,,,,
AEF.MI,2020-12-31,12M,EUR,4474000.0,101175000.0,-0.214,207694393.0,26468000.0,21994000.0,101175000.0,-0.214,-21396847.0,-24878451.0,4180549.0,,71908149.0,,2709000.0,2709000.0,256000.0,256000.0,1959730.0,-21396847.0,-21396847.0,-23356577.0,-21396847.0,-21396847.0,-23356577.0,-2906000.0,-2906000.0,7550549.0,-18543677.8366,91033840.0,-19125691.0,279602542.0,10485768.0,2813000.0,0.0,-27587451.0,207694393.0,29059000.0,,6077000.0,,,-3370000.0,-516830.8366,-4230874.0,0.153362,298728233.0,453000.0,279602542.0,-3370000.0,-3370000.0,3370000.0
AEF.MI,2021-12-31,12M,EUR,4019000.0,99669000.0,0.122,230938674.0,25021000.0,21002000.0,99669000.0,0.122,12126006.0,8837492.0,33858492.0,,102174547.0,,2519000.0,2519000.0,141000.0,141000.0,0.0,12126006.0,12126006.0,12126006.0,12126006.0,12126006.0,12126006.0,-3017000.0,-3017000.0,35246492.0,13180886.0,90263252.0,11911295.0,333113221.0,,2106000.0,0.0,6318492.0,230938674.0,25021000.0,,5081000.0,,,-1388000.0,-333120.0,-5807514.0,0.24,321201926.0,639000.0,333113221.0,-1388000.0,-1388000.0,1388000.0
AEF.MI,2022-09-30,TTM,EUR,4031394.0,,,251793156.0,28412537.0,24381143.0,,,-6353887.0,5912418.0,36429418.0,,111132490.0,,4117597.0,4117597.0,590351.0,590351.0,,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-4166246.0,-4166246.0,38766446.0,-4951670.2,101646592.0,9485898.0,362925646.0,,4151994.0,0.0,1794821.0,251793156.0,30517000.0,,,,,-2337028.0,-934811.2,8148708.0,0.4,353439748.0,,362925646.0,-2337028.0,-2337028.0,2337028.0
AEF.MI,2022-12-31,12M,EUR,4218000.0,98425000.0,-0.092,251674893.0,31689000.0,27471000.0,98425000.0,-0.092,-9043968.0,451122.0,32140122.0,,111896758.0,,4247000.0,4247000.0,269000.0,269000.0,12052.0,-9043968.0,-9043968.0,-9056020.0,-9043968.0,-9043968.0,-9056020.0,-4588000.0,-4588000.0,34817122.0,-7009448.0,104145250.0,7751508.0,363571651.0,,2594000.0,0.0,-3795878.0,251674893.0,31689000.0,,4586000.0,,,-2677000.0,-642480.0,5260142.0,0.24,355820143.0,610000.0,363571651.0,-2677000.0,-2677000.0,2677000.0
AEF.MI,2023-09-30,TTM,EUR,,98228500.0,-0.136,,,,98228500.0,-0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEF.MI,2023-12-31,12M,EUR,4284000.0,98425000.0,-0.327,245587935.0,30885000.0,26601000.0,98425000.0,-0.327,-32143947.0,-28156726.0,2728274.0,,83773803.0,,9743000.0,9743000.0,54000.0,54000.0,-153713.0,-32143947.0,-32143947.0,-31990234.0,-32143947.0,-32143947.0,-31990234.0,-10852000.0,-10852000.0,4889274.0,-30319899.626307,105553173.0,-21779370.0,329361738.0,,2849000.0,0.0,-37899726.0,245587935.0,30885000.0,,5426000.0,,,-2161000.0,-336952.626307,-5909492.0,0.155924,351141108.0,1163000.0,329361738.0,-2161000.0,-2161000.0,2161000.0
AEF.MI,2023-12-31,TTM,EUR,,98424985.0,-0.326584,,,,98424985.0,-0.326584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEF.MI,2024-03-31,TTM,EUR,4288112.0,98425000.0,-0.381,236715098.0,30717454.0,26429342.0,98425000.0,-0.381,-37435736.0,-33213555.0,-2328752.0,,77623601.0,,10647812.0,10647812.0,-209.0,-209.0,-392072.0,-37435736.0,-37435736.0,-37043664.0,-37435736.0,-37435736.0,-37043664.0,-11811021.0,-11811021.0,-196765.0,-35635139.815199,104434604.0,-26811003.0,314338699.0,,2134175.0,0.0,-43861367.0,236715098.0,30884803.0,,,,,-2131987.0,-331390.815199,-6817703.0,0.155438,341149702.0,,314338699.0,-2131987.0,-2131987.0,2131987.0
