symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
AEF.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,1706000.0,,,,,,,,,,,,,,,,,,,,,,,,6556000.0,,,,,,,463000.0,,,,
AEF.MI,2022-09-30,TTM,EUR,4031394.0,,,251793156.0,28412537.0,24381143.0,,,-6353887.0,5912418.0,36429418.0,111132490.0,,4117597.0,4117597.0,590351.0,590351.0,,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-6353887.0,-4166246.0,-4166246.0,38766446.0,-4951670.2,101646592.0,9485898.0,362925646.0,4151994.0,0.0,1794821.0,251793156.0,30517000.0,,-2337028.0,-934811.2,8148708.0,0.4,353439748.0,,,362925646.0,-2337028.0,-2337028.0,2337028.0
AEF.MI,2023-03-31,3M,EUR,1043919.0,98425000.0,-0.003,64193617.0,8068851.0,7024932.0,98425000.0,-0.003,-315709.0,3353383.0,11422234.0,32696971.0,,2355850.0,2355850.0,135235.0,135235.0,14561.0,-315709.0,-315709.0,-330270.0,-315709.0,-315709.0,-330270.0,-2220615.0,-2220615.0,11652971.0,-140348.88,29248086.0,3448885.0,96890588.0,1679337.0,0.0,997533.0,64193617.0,8300.0,,-230737.0,-55376.88,1327803.0,0.24,93441703.0,3218148.0,,96890588.0,-230737.0,-230737.0,230737.0
AEF.MI,2023-06-30,3M,EUR,1057081.0,,,55274345.0,7665149.0,6608068.0,,,-11336269.0,-11682820.0,4677880.0,16404163.0,,2091150.0,2091150.0,-118235.0,-118235.0,-64613.0,-11336269.0,-11336269.0,-11271656.0,-11336269.0,-11336269.0,-11271656.0,-2810385.0,-2810385.0,5162143.0,-10939981.949169,24659913.0,-8255750.0,71678508.0,-373337.0,0.0,-13773970.0,55274345.0,16360700.0,,-484263.0,-87975.949169,-2502314.0,0.18167,79934258.0,,,71678508.0,-484263.0,-484263.0,484263.0
AEF.MI,2023-09-30,3M,EUR,1067654.0,98424985.0,-0.063798,69543088.0,7412070.0,6344416.0,98424985.0,-0.063798,-6279342.0,-3844616.0,3710384.0,22105463.0,,2642318.0,2642318.0,9100.0,9100.0,-112258.0,-6279342.0,-6279342.0,-6167084.0,-6279342.0,-6279342.0,-6167084.0,-2633218.0,-2633218.0,3853584.0,-6143202.734701,25815979.0,-3710516.0,91648551.0,358018.0,0.0,-6486934.0,69543088.0,7555000.0,,-143200.0,-7060.734701,-319850.0,0.049307,95359067.0,-3853716.0,,91648551.0,-143200.0,-143200.0,143200.0
AEF.MI,2023-09-30,TTM,EUR,,98228500.0,-0.136,,,,98228500.0,-0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEF.MI,2023-12-31,3M,EUR,1115592.0,,,56577098.0,7739630.0,6624038.0,,,-14212627.0,-16732565.0,-8992935.0,12566993.0,,1903790.0,1903790.0,-245886.0,-245886.0,8597.0,-14212627.0,-14212627.0,-14221224.0,-14212627.0,-14212627.0,-14221224.0,-3312676.0,-3312676.0,-7610709.0,-13157863.578471,23401090.0,-10834097.0,69144091.0,-1243823.0,0.0,-18636355.0,56577098.0,6961000.0,,-1382226.0,-327462.578471,-4415131.0,0.23691,79978188.0,,,69144091.0,-1382226.0,-1382226.0,1382226.0
AEF.MI,2023-12-31,TTM,EUR,,98424985.0,-0.326584,,,,98424985.0,-0.326584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEF.MI,2024-03-31,3M,EUR,1048031.0,98425000.0,-0.057,55320780.0,7901305.0,6853274.0,98425000.0,-0.057,-5607498.0,-1703446.0,6197859.0,26546769.0,,3260662.0,3260662.0,81026.0,81026.0,-223798.0,-5607498.0,-5607498.0,-5383700.0,-5607498.0,-5607498.0,-5383700.0,-3179636.0,-3179636.0,6399583.0,-5486463.6,28129517.0,-1582748.0,81867549.0,964512.0,0.0,-4964108.0,55320780.0,8103.0,,-201724.0,-80689.6,419592.0,0.4,83450297.0,-1784472.0,,81867549.0,-201724.0,-201724.0,201724.0
AEF.MI,2024-03-31,TTM,EUR,4288112.0,98425000.0,-0.381,236715098.0,30717454.0,26429342.0,98425000.0,-0.381,-37435736.0,-33213555.0,-2328752.0,77623601.0,,10647812.0,10647812.0,-209.0,-209.0,-392072.0,-37435736.0,-37435736.0,-37043664.0,-37435736.0,-37435736.0,-37043664.0,-11811021.0,-11811021.0,-196765.0,-35635139.815199,104434604.0,-26811003.0,314338699.0,2134175.0,0.0,-43861367.0,236715098.0,30884803.0,,-2131987.0,-331390.815199,-6817703.0,0.155438,341149702.0,,,314338699.0,-2131987.0,-2131987.0,2131987.0
