symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
MN.MI,2019-12-31,12M,EUR,,259643000.0,0.109,,,,259643000.0,0.108,,,,,,,,,,,,,,,-1069000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,7070000.0,7070000.0,256000.0,256000.0,,,,,,,,,,,,,,,,,2180000.0,-820000.0,,,,,11352000.0,,-4835000.0,,,,,,,,-5619000.0,-5619000.0
MN.MI,2020-12-31,12M,EUR,49946000.0,259116000.0,0.017,534174000.0,69826000.0,19880000.0,259116000.0,0.017,4503000.0,6627000.0,76453000.0,,209819000.0,,5077000.0,5077000.0,25000.0,25000.0,-1000.0,4503000.0,4503000.0,4504000.0,,4503000.0,4503000.0,4504000.0,-6546000.0,-6546000.0,76465000.0,4512120.0,214634000.0,-4815000.0,743993000.0,19627000.0,15527000.0,12000.0,0.0,1550000.0,534174000.0,69825000.0,9311000.0,,-12000.0,-2880.0,-2954000.0,0.24,748808000.0,14800000.0,1494000.0,743993000.0,-12000.0,-12000.0
MN.MI,2021-12-31,12M,EUR,21013000.0,260317000.0,0.17,576630000.0,38565000.0,17552000.0,260317000.0,0.17,44206000.0,41255000.0,87196000.0,34672000.0,230714000.0,7374000.0,2689000.0,2689000.0,40000.0,40000.0,-6000.0,44206000.0,44206000.0,44212000.0,0.0,44206000.0,44206000.0,44212000.0,-3089000.0,-3089000.0,96038000.0,50925920.0,190238000.0,40476000.0,807344000.0,11637000.0,15533000.0,-465000.0,0.0,38566000.0,576630000.0,45941000.0,9093000.0,34672000.0,-6909000.0,-2122080.0,-5646000.0,0.24,766868000.0,45199000.0,440000.0,807344000.0,-8842000.0,-8842000.0
MN.MI,2022-09-30,TTM,EUR,27168000.0,,,632040000.0,53938000.0,26770000.0,,,53109000.0,64499000.0,118437000.0,,264576000.0,,,,,,113000.0,53109000.0,53109000.0,52996000.0,,53109000.0,53109000.0,52996000.0,-3364000.0,-3364000.0,117972000.0,52754901.370808,210788000.0,53788000.0,896616000.0,16923000.0,,,0.0,69594000.0,632040000.0,53938000.0,,,,110901.370808,16598000.0,0.238498,842828000.0,71173000.0,,896616000.0,465000.0,465000.0
MN.MI,2022-12-31,12M,EUR,31912000.0,260355000.0,0.2,639186000.0,50297000.0,18385000.0,260355000.0,0.2,52067000.0,69784000.0,127820000.0,40276000.0,263817000.0,7738000.0,2928000.0,2928000.0,71000.0,71000.0,524000.0,52067000.0,52067000.0,51543000.0,0.0,52067000.0,52067000.0,51543000.0,-5558000.0,-5558000.0,133446000.0,56404083.4,199734000.0,64083000.0,903003000.0,14386000.0,12474000.0,-1961000.0,0.0,66856000.0,639186000.0,58036000.0,11914000.0,40276000.0,-5777000.0,-1288916.6,15313000.0,0.2291,838920000.0,72691000.0,2701000.0,903003000.0,-5626000.0,-5626000.0
MN.MI,2023-09-30,TTM,EUR,,260240347.0,0.231,,,,260240347.0,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN.MI,2023-12-31,12M,EUR,35438000.0,,,626471000.0,57369000.0,21931000.0,,,62411000.0,91105000.0,155817000.0,,278266000.0,7343000.0,10605000.0,10605000.0,326000.0,326000.0,-165000.0,62411000.0,62411000.0,62576000.0,0.0,62411000.0,62411000.0,62576000.0,-11842000.0,-11842000.0,155443000.0,62120252.4,203175000.0,75091000.0,904737000.0,12839000.0,9179000.0,-3596000.0,0.0,80500000.0,626471000.0,64712000.0,15864000.0,,-3747000.0,83252.4,17924000.0,0.2226,829646000.0,84183000.0,1563000.0,904737000.0,374000.0,374000.0
MN.MI,2023-12-31,TTM,EUR,,260278000.0,0.24,,,,260278000.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN.MI,2024-03-31,TTM,EUR,36541000.0,260953926.0,0.233,629882000.0,58888000.0,22347000.0,260953926.0,0.233,60518000.0,90659000.0,149547000.0,,280993000.0,,,,,,-1207000.0,60518000.0,60518000.0,61725000.0,0.0,60518000.0,60518000.0,61725000.0,-12116000.0,-12116000.0,149173000.0,60226281.41783,206348000.0,74645000.0,910875000.0,,,,0.0,79135000.0,629882000.0,58888000.0,,,,82281.41783,17410000.0,0.220004,836230000.0,83737000.0,,910875000.0,374000.0,374000.0
