symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
MN.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,7070000.0,7070000.0,256000.0,256000.0,,,,,,,,,,,,,,,,,2180000.0,-820000.0,,,,,11352000.0,-4835000.0,,,,,,,-5619000.0,-5619000.0
MN.MI,2022-09-30,TTM,EUR,27168000.0,,,632040000.0,53938000.0,26770000.0,,,53109000.0,64499000.0,118437000.0,264576000.0,,,,,113000.0,53109000.0,53109000.0,52996000.0,,53109000.0,53109000.0,52996000.0,-3364000.0,-3364000.0,117972000.0,52754901.370808,210788000.0,53788000.0,896616000.0,16923000.0,,,0.0,69594000.0,632040000.0,53938000.0,,,110901.370808,16598000.0,0.238498,842828000.0,71173000.0,896616000.0,465000.0,465000.0
MN.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9347000.0,,,,,,,,,,,,,,,,
MN.MI,2023-03-31,3M,EUR,7666000.0,260000000.0,-0.02,124726000.0,12916000.0,5250000.0,260000000.0,-0.02,-5200000.0,-8245000.0,4671000.0,35237000.0,,,,,27000.0,-5200000.0,-5200000.0,-5227000.0,0.0,-5200000.0,-5200000.0,-5227000.0,-1166000.0,-1166000.0,4671000.0,-5200000.0,43482000.0,-8245000.0,159963000.0,,,,0.0,-8847000.0,124726000.0,12916000.0,,,0.0,-3620000.0,0.24,168208000.0,-8245000.0,159963000.0,,
MN.MI,2023-06-30,3M,EUR,8108000.0,,,136762000.0,13476000.0,5368000.0,,,17421000.0,23615000.0,37091000.0,65656000.0,,,,,-173000.0,17421000.0,17421000.0,17594000.0,0.0,17421000.0,17421000.0,17594000.0,-3960000.0,-3960000.0,37091000.0,17421000.0,54864000.0,10792000.0,202418000.0,,,,0.0,21125000.0,136762000.0,13476000.0,,,0.0,3531000.0,0.167148,191626000.0,22200000.0,202418000.0,,
MN.MI,2023-09-30,3M,EUR,9074000.0,,,195771000.0,14636000.0,5562000.0,,,54081000.0,66309000.0,80945000.0,121783000.0,,,,,-160000.0,54081000.0,54081000.0,54240000.0,0.0,54081000.0,54081000.0,54240000.0,-1037000.0,-1037000.0,80945000.0,54081000.0,42651000.0,79132000.0,317554000.0,231000.0,,,0.0,74843000.0,195771000.0,14636000.0,,,0.0,20602000.0,0.27527,238422000.0,76510000.0,317554000.0,,
MN.MI,2023-09-30,TTM,EUR,,260240347.0,0.231,,,,260240347.0,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN.MI,2023-12-31,3M,EUR,10590000.0,,,169212000.0,16341000.0,5751000.0,,,-3891000.0,9426000.0,25767000.0,55590000.0,,,,,141000.0,-3891000.0,-3891000.0,-4031000.0,0.0,-3891000.0,-3891000.0,-4031000.0,-5679000.0,-5679000.0,25767000.0,-3891000.0,62178000.0,-6588000.0,224802000.0,4054000.0,,,0.0,-6621000.0,169212000.0,16341000.0,,,0.0,-2589000.0,0.391029,231390000.0,-6282000.0,224802000.0,,
MN.MI,2023-12-31,TTM,EUR,,260278000.0,0.24,,,,260278000.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN.MI,2024-03-31,3M,EUR,8769000.0,262703704.0,-0.027,128137000.0,14435000.0,5666000.0,262703704.0,-0.027,-7093000.0,-8691000.0,5744000.0,37964000.0,,,,,-1015000.0,-7093000.0,-7093000.0,-6078000.0,0.0,-7093000.0,-7093000.0,-6078000.0,-1440000.0,-1440000.0,5744000.0,-7093000.0,46655000.0,-8691000.0,166101000.0,,,,0.0,-10212000.0,128137000.0,14435000.0,,,0.0,-4134000.0,0.4,174792000.0,-8691000.0,166101000.0,,
MN.MI,2024-03-31,TTM,EUR,36541000.0,260953926.0,0.233,629882000.0,58888000.0,22347000.0,260953926.0,0.233,60518000.0,90659000.0,149547000.0,280993000.0,,,,,-1207000.0,60518000.0,60518000.0,61725000.0,0.0,60518000.0,60518000.0,61725000.0,-12116000.0,-12116000.0,149173000.0,60226281.41783,206348000.0,74645000.0,910875000.0,,,,0.0,79135000.0,629882000.0,58888000.0,,,82281.41783,17410000.0,0.220004,836230000.0,83737000.0,910875000.0,374000.0,374000.0
