symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
DLG.MI,2022-09-30,TTM,EUR,30786000.0,,,2285227000.0,102579000.0,71793000.0,,,178198000.0,252760000.0,355339000.0,914184000.0,-1851000.0,178198000.0,178198000.0,180049000.0,178198000.0,178198000.0,180049000.0,-37240000.0,-37240000.0,310859000.0,144499090.590824,682305000.0,231879000.0,3199411000.0,185089000.0,-19213000.0,0.0,237651000.0,2285227000.0,102579000.0,44480000.0,10781090.590824,57602000.0,0.242381,2967532000.0,3199411000.0,44480000.0,44480000.0
DLG.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-537465000.0,,,,,,,,,,,,,
DLG.MI,2023-03-31,3M,EUR,25400000.0,150164650.0,0.257717,464100000.0,25400000.0,0.0,150164650.0,0.257717,38700000.0,49000000.0,74400000.0,138300000.0,0.0,38700000.0,38700000.0,38700000.0,38700000.0,38700000.0,38800000.0,-600000.0,-600000.0,73200000.0,37761818.181818,89300000.0,49000000.0,602400000.0,,-1200000.0,0.0,49500000.0,464100000.0,25400000.0,1200000.0,261818.181818,10800000.0,0.218182,553400000.0,602400000.0,1200000.0,1200000.0
DLG.MI,2023-06-30,3M,EUR,-15071000.0,,,441711000.0,25505000.0,40576000.0,,,43986000.0,59439000.0,84944000.0,245450000.0,-35000.0,43986000.0,43986000.0,43921000.0,43986000.0,43986000.0,43921000.0,-3900000.0,-3900000.0,85076000.0,44088769.127374,187377000.0,58073000.0,687161000.0,,132000.0,0.0,56542000.0,441711000.0,25505000.0,-132000.0,-29230.872626,12521000.0,0.221446,629088000.0,687161000.0,-132000.0,-132000.0
DLG.MI,2023-09-30,3M,EUR,67771000.0,,,105789000.0,27195000.0,-40576000.0,,,59514000.0,78561000.0,105756000.0,602450000.0,35000.0,59514000.0,59514000.0,59479000.0,59514000.0,59514000.0,59479000.0,3400000.0,3400000.0,111024000.0,63655470.459172,522523000.0,79927000.0,708239000.0,493393000.0,5268000.0,0.0,75658000.0,105789000.0,27195000.0,-5268000.0,-1126529.540828,16179000.0,0.213844,628312000.0,708239000.0,-5268000.0,-5268000.0
DLG.MI,2023-09-30,TTM,EUR,,150164650.0,1.464297,,,,150164650.0,1.444297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG.MI,2023-12-31,3M,EUR,-50550000.0,,,1152030000.0,30091000.0,80641000.0,,,108177000.0,142194000.0,172285000.0,-76325000.0,-35000.0,108177000.0,108177000.0,108212000.0,108177000.0,108177000.0,108212000.0,-2611000.0,-2611000.0,167348000.0,104507700.668965,-218216000.0,141891000.0,1075705000.0,-447567000.0,-5301000.0,0.0,145598000.0,1152030000.0,30091000.0,4937000.0,1267700.668965,37386000.0,0.256776,933814000.0,1075705000.0,4937000.0,4937000.0
DLG.MI,2023-12-31,TTM,EUR,,150248220.0,1.67,,,,151568623.0,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG.MI,2024-03-31,3M,EUR,26400000.0,150164650.0,0.341625,494500000.0,26400000.0,0.0,150164650.0,0.341625,51300000.0,67400000.0,93800000.0,164300000.0,-1700000.0,51300000.0,51300000.0,53000000.0,51300000.0,51300000.0,53000000.0,4100000.0,4100000.0,96400000.0,53302906.976744,96900000.0,67400000.0,658800000.0,,2600000.0,0.0,68800000.0,494500000.0,26400000.0,-2600000.0,-597093.023256,15800000.0,0.229651,591400000.0,658800000.0,-2600000.0,-2600000.0
DLG.MI,2024-03-31,TTM,EUR,28550000.0,150164650.0,1.753908,2194030000.0,109191000.0,80641000.0,150164650.0,1.733908,262977000.0,347594000.0,456785000.0,935875000.0,-1735000.0,262977000.0,262977000.0,264712000.0,262977000.0,262977000.0,264612000.0,989000.0,989000.0,459848000.0,265316346.60904,588584000.0,347291000.0,3129905000.0,,2699000.0,0.0,346598000.0,2194030000.0,109191000.0,-3063000.0,-723653.39096,81886000.0,0.236256,2782614000.0,3129905000.0,-3063000.0,-3063000.0
