symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SalariesAndWages,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
ENI.MI,2022-12-31,3M,EUR,3371900000.0,0.19,,3378200000.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI.MI,2023-03-31,3M,EUR,3345400000.0,0.71,,3351700000.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,,,,,,,,,,,,-66000000.0,,,,
ENI.MI,2023-06-30,3M,EUR,,,17004000000.0,,,240000000.0,3428000000.0,5301000000.0,333000000.0,-233000000.0,746000000.0,2587000000.0,433000000.0,1371000000.0,1371000000.0,1189000000.0,1189000000.0,-20000000.0,294000000.0,240000000.0,314000000.0,294000000.0,294000000.0,314000000.0,-182000000.0,-182000000.0,5501000000.0,446000000.0,702000000.0,1885000000.0,29341000000.0,354000000.0,221000000.0,-85000000.0,2057000000.0,17004000000.0,1873000000.0,746000000.0,746000000.0,33000000.0,-48000000.0,1743000000.0,0.24,17706000000.0,1762000000.0,-59000000.0,19591000000.0,-200000000.0,-200000000.0,-48000000.0
ENI.MI,2023-09-30,3M,EUR,3290200000.0,0.57,18713000000.0,3300000000.0,0.57,1916000000.0,5564000000.0,7333000000.0,357000000.0,79000000.0,663000000.0,3606000000.0,121000000.0,2126000000.0,2126000000.0,1874000000.0,1874000000.0,-19000000.0,1916000000.0,1916000000.0,1935000000.0,1916000000.0,1916000000.0,1935000000.0,-124000000.0,-124000000.0,7425000000.0,1985920000.0,640000000.0,2966000000.0,26513000000.0,596000000.0,331000000.0,-23000000.0,3438000000.0,18713000000.0,1769000000.0,663000000.0,663000000.0,-171000000.0,-22080000.0,1503000000.0,0.24,19353000000.0,3126000000.0,-128000000.0,22319000000.0,-92000000.0,-92000000.0,50000000.0
ENI.MI,2023-09-30,TTM,EUR,3335883816.0,1.58,,3345278805.0,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI.MI,2023-12-31,3M,EUR,3242800000.0,0.05,21770000000.0,3306100000.0,0.05,73000000.0,3587000000.0,5572000000.0,288000000.0,144000000.0,933000000.0,2852000000.0,1692000000.0,2435000000.0,2435000000.0,2347000000.0,2347000000.0,-31000000.0,173000000.0,73000000.0,204000000.0,173000000.0,173000000.0,204000000.0,-88000000.0,-88000000.0,6802000000.0,1107800000.0,997000000.0,1855000000.0,29789000000.0,-615000000.0,327000000.0,,1152000000.0,21770000000.0,1985000000.0,933000000.0,933000000.0,-1374000000.0,-295200000.0,948000000.0,0.24,22767000000.0,856000000.0,-31000000.0,24622000000.0,-1230000000.0,-1230000000.0,139000000.0
ENI.MI,2023-12-31,TTM,EUR,3303766512.0,1.41,,3327133797.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI.MI,2024-03-31,3M,EUR,3201300000.0,0.37,19319000000.0,3264600000.0,0.37,1211000000.0,4550000000.0,6508000000.0,261000000.0,53000000.0,839000000.0,3617000000.0,101000000.0,1825000000.0,1825000000.0,1439000000.0,1439000000.0,-26000000.0,1211000000.0,1211000000.0,1237000000.0,1211000000.0,1211000000.0,1237000000.0,-259000000.0,-259000000.0,6607000000.0,1286240000.0,1028000000.0,2589000000.0,22936000000.0,395000000.0,233000000.0,189000000.0,2725000000.0,19319000000.0,1958000000.0,839000000.0,839000000.0,-152000000.0,-23760000.0,1488000000.0,0.24,20347000000.0,2670000000.0,-127000000.0,22936000000.0,-99000000.0,-99000000.0,51000000.0
ENI.MI,2024-03-31,TTM,EUR,3267741512.0,1.07,,3305358797.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI.MI,2024-06-30,3M,EUR,,,19015000000.0,,,661000000.0,3682000000.0,5610000000.0,350000000.0,360000000.0,822000000.0,2700000000.0,1505000000.0,1610000000.0,1610000000.0,1391000000.0,1391000000.0,-34000000.0,661000000.0,661000000.0,695000000.0,661000000.0,661000000.0,695000000.0,-219000000.0,-219000000.0,6780000000.0,1550200000.0,931000000.0,1769000000.0,21715000000.0,522000000.0,1342000000.0,109000000.0,2072000000.0,19015000000.0,1928000000.0,822000000.0,822000000.0,-1530000000.0,-280800000.0,1377000000.0,0.24,19946000000.0,1581000000.0,,21715000000.0,-1170000000.0,-1170000000.0,25000000.0
ENI.MI,2024-06-30,TTM,EUR,,,78817000000.0,,,3861000000.0,17383000000.0,25023000000.0,1256000000.0,891000000.0,3257000000.0,12775000000.0,3419000000.0,7996000000.0,7996000000.0,7051000000.0,7051000000.0,-110000000.0,3961000000.0,3861000000.0,4071000000.0,3961000000.0,3961000000.0,4071000000.0,-945000000.0,-945000000.0,27359000000.0,5736360000.0,3596000000.0,9179000000.0,110703000000.0,1153000000.0,2233000000.0,,9387000000.0,78817000000.0,7640000000.0,3257000000.0,3257000000.0,-3227000000.0,-560640000.0,5316000000.0,0.24,82413000000.0,8233000000.0,,91592000000.0,-2336000000.0,-2336000000.0,265000000.0
