symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
SRG.MI,2022-09-30,TTM,EUR,,,,971000000.0,849000000.0,749000000.0,,,1498000000.0,1722000000.0,2571000000.0,2528000000.0,132000000.0,132000000.0,,1491000000.0,1491000000.0,1495000000.0,1491000000.0,1491000000.0,1495000000.0,-115000000.0,-115000000.0,2596000000.0,1514506289.308176,1130000000.0,1398000000.0,3499000000.0,0.0,1590000000.0,971000000.0,741000000.0,-1493710.691824,95000000.0,0.059748,2101000000.0,3499000000.0,-25000000.0,-25000000.0
SRG.MI,2022-12-31,3M,EUR,,,,59000000.0,226000000.0,106000000.0,,,-264000000.0,-113000000.0,428000000.0,889000000.0,63000000.0,63000000.0,,-264000000.0,-264000000.0,-263000000.0,-264000000.0,-264000000.0,-263000000.0,-51000000.0,-51000000.0,428000000.0,-264000000.0,575000000.0,314000000.0,948000000.0,0.0,-176000000.0,59000000.0,541000000.0,0.0,87000000.0,0.24,634000000.0,948000000.0,,
SRG.MI,2023-03-31,3M,EUR,,3352756372.0,0.090672,382000000.0,225000000.0,225000000.0,3352756372.0,0.090672,304000000.0,449000000.0,674000000.0,597000000.0,42000000.0,42000000.0,-4000000.0,304000000.0,304000000.0,308000000.0,304000000.0,304000000.0,308000000.0,-42000000.0,-42000000.0,674000000.0,304000000.0,225000000.0,372000000.0,979000000.0,0.0,407000000.0,382000000.0,150000000.0,0.0,99000000.0,0.243243,607000000.0,979000000.0,,
SRG.MI,2023-06-30,3M,EUR,,,,343000000.0,230000000.0,161000000.0,,,394000000.0,570000000.0,875000000.0,749000000.0,64000000.0,64000000.0,-8000000.0,394000000.0,394000000.0,402000000.0,394000000.0,394000000.0,402000000.0,-45000000.0,-45000000.0,875000000.0,394000000.0,353000000.0,396000000.0,1092000000.0,0.0,506000000.0,343000000.0,305000000.0,0.0,104000000.0,0.205534,696000000.0,1092000000.0,,
SRG.MI,2023-09-30,3M,EUR,624000000.0,,,566000000.0,238000000.0,-386000000.0,,,349000000.0,142000000.0,380000000.0,508000000.0,,,-2000000.0,349000000.0,349000000.0,351000000.0,349000000.0,349000000.0,351000000.0,-68000000.0,-68000000.0,380000000.0,349000000.0,115000000.0,393000000.0,1074000000.0,0.0,455000000.0,566000000.0,-121000000.0,0.0,104000000.0,0.228571,681000000.0,1074000000.0,,
SRG.MI,2023-09-30,TTM,EUR,,3352756372.0,0.223282,,,,3352756372.0,0.223282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRG.MI,2023-12-31,3M,EUR,-554000000.0,,,133000000.0,232000000.0,786000000.0,,,88000000.0,643000000.0,1234000000.0,966000000.0,,,4000000.0,88000000.0,88000000.0,84000000.0,88000000.0,88000000.0,84000000.0,-66000000.0,-66000000.0,1234000000.0,88000000.0,644000000.0,322000000.0,1099000000.0,0.0,166000000.0,133000000.0,591000000.0,0.0,82000000.0,0.24,777000000.0,1099000000.0,,
SRG.MI,2023-12-31,TTM,EUR,1126000000.0,,0.338527,1891000000.0,1126000000.0,0.0,,0.338527,1135000000.0,1755000000.0,2881000000.0,2397000000.0,221000000.0,221000000.0,-10000000.0,1135000000.0,1135000000.0,1145000000.0,1135000000.0,1135000000.0,1145000000.0,-221000000.0,-221000000.0,2881000000.0,1135000000.0,1126000000.0,1271000000.0,4288000000.0,0.0,1534000000.0,1891000000.0,1126000000.0,0.0,389000000.0,0.253585,3017000000.0,4288000000.0,,
SRG.MI,2024-03-31,3M,EUR,,,0.100489,,,,,0.100489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRG.MI,2024-03-31,TTM,EUR,167000000.0,,,1293000000.0,953000000.0,786000000.0,,,1166000000.0,1882000000.0,2836000000.0,2926000000.0,306000000.0,306000000.0,-7000000.0,1166000000.0,1166000000.0,1175000000.0,1166000000.0,1166000000.0,1175000000.0,-257000000.0,-257000000.0,3048000000.0,1324058375.634518,1365000000.0,1561000000.0,4219000000.0,0.0,1576000000.0,1293000000.0,954000000.0,-53941624.365482,401000000.0,0.254442,2658000000.0,4219000000.0,-212000000.0,-212000000.0
