symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RentAndLandingFees,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
BST.MI,2022-09-30,TTM,EUR,,,,293000.0,,,,26306000.0,1424000.0,14809000.0,2923000.0,1134000.0,12924000.0,103285000.0,-456000.0,26306000.0,26306000.0,26805000.0,-43000.0,26306000.0,26349000.0,26762000.0,90361000.0,28827022.495093,59405000.0,114972000.0,8611000.0,,39742000.0,293000.0,3953000.0,0.0,1367000.0,16176000.0,-3674000.0,-1195977.504907,12937000.0,0.325525,114972000.0,-3674000.0,-3674000.0
BST.MI,2022-12-31,3M,EUR,80000.0,80140133.0,0.052396,,,80140133.0,0.052396,,,,,,,,,,,,,,,,,,,,,,,,813000.0,0.0,592000.0,,-47000.0,,,,,-47000.0,-47000.0
BST.MI,2023-03-31,3M,EUR,93000.0,80140133.0,0.046406,899000.0,806000.0,80140133.0,0.046406,3719000.0,323000.0,6945000.0,,,19460000.0,40103000.0,-114000.0,3719000.0,3719000.0,3833000.0,0.0,3719000.0,3719000.0,3833000.0,20643000.0,3719000.0,18913000.0,25845000.0,2159000.0,-196000.0,5874000.0,763000.0,836000.0,0.0,545000.0,7490000.0,0.0,0.0,2041000.0,0.347463,25845000.0,0.0,0.0
BST.MI,2023-06-30,3M,EUR,147000.0,,,977000.0,830000.0,,,2952000.0,220000.0,5943000.0,,,28083000.0,43284000.0,-125000.0,3736000.0,2952000.0,3861000.0,0.0,3736000.0,3736000.0,3861000.0,15201000.0,3736000.0,17579000.0,25134000.0,1588000.0,,5735000.0,816000.0,888000.0,,918000.0,6861000.0,,0.0,1874000.0,0.326765,25134000.0,,
BST.MI,2023-09-30,3M,EUR,107000.0,80140133.0,0.048552,932000.0,825000.0,80140133.0,0.048552,4675000.0,5343000.0,5628000.0,,,31852000.0,46167000.0,-347000.0,3891000.0,4675000.0,4238000.0,0.0,3891000.0,3891000.0,4238000.0,14315000.0,3891000.0,15566000.0,22433000.0,1132000.0,,5989000.0,753000.0,984000.0,,759000.0,6387000.0,,0.0,1751000.0,0.292369,22433000.0,,
BST.MI,2023-09-30,TTM,EUR,,80140133.0,0.194028,,,80140133.0,0.194028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BST.MI,2023-12-31,3M,EUR,,80253048.0,0.064297,949000.0,949000.0,80253048.0,0.064297,5160000.0,8039000.0,8955000.0,,,32084000.0,48880000.0,-135000.0,5160000.0,5160000.0,5295000.0,0.0,5160000.0,5160000.0,5295000.0,16796000.0,5160000.0,19636000.0,28701000.0,725000.0,,8131000.0,949000.0,,,,8955000.0,,0.0,2836000.0,0.348789,28701000.0,,
BST.MI,2023-12-31,TTM,EUR,,80216544.0,0.206,,,80216544.0,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BST.MI,2024-03-31,3M,EUR,152000.0,80253048.0,0.051637,943000.0,791000.0,80253048.0,0.051637,4144000.0,1605000.0,6306000.0,,,36408000.0,48207000.0,-238000.0,4144000.0,4144000.0,4382000.0,0.0,4144000.0,4144000.0,4382000.0,11799000.0,4144000.0,19103000.0,27417000.0,2343000.0,,6997000.0,777000.0,884000.0,,494000.0,6800000.0,,0.0,2615000.0,0.373732,27417000.0,,
BST.MI,2024-03-31,TTM,EUR,657000.0,80253048.0,0.21123,3971000.0,3314000.0,80253048.0,0.21123,16931000.0,2599000.0,23802000.0,,,128427000.0,186538000.0,-845000.0,16931000.0,16931000.0,17776000.0,0.0,16931000.0,16931000.0,17776000.0,58111000.0,17550631.163414,75756000.0,108563000.0,11238000.0,,26852000.0,3295000.0,3452000.0,,2734000.0,26536000.0,,-316368.836586,9076000.0,0.338001,108563000.0,-936000.0,-936000.0
