symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
GE.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,0.0,,,,,,,,,,,,,701000.0,,-373000.0,,,,,990000.0,,,,,,-11000.0,,,,
GE.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,202000.0,,,,,,,,,,
GE.MI,2023-03-31,3M,EUR,478000.0,14418519.0,0.27,16001000.0,1870000.0,1392000.0,14418519.0,0.27,3893000.0,6343000.0,8213000.0,20063000.0,0.0,3893000.0,3893000.0,3924000.0,-31000.0,3893000.0,3924000.0,3893000.0,7500000.0,3477777.990431,13720000.0,6343000.0,36064000.0,-802000.0,260000.0,,0.0,6270000.0,16001000.0,1870000.0,244000.0,26000.0,266777.990431,2346000.0,0.374163,29721000.0,,36064000.0,713000.0,713000.0,-26000.0
GE.MI,2023-06-30,3M,EUR,453000.0,,,16103000.0,1870000.0,1417000.0,,,3520000.0,5125000.0,6995000.0,19263000.0,0.0,3520000.0,3520000.0,3699000.0,-179000.0,3520000.0,3699000.0,3520000.0,7628000.0,4163668.981941,14228000.0,5035000.0,35366000.0,,235000.0,,0.0,5039000.0,16103000.0,1870000.0,189000.0,54000.0,-168331.018059,1340000.0,0.265926,30331000.0,,35366000.0,-633000.0,-633000.0,-54000.0
GE.MI,2023-09-30,3M,EUR,403000.0,,,13877000.0,1882000.0,1479000.0,,,2113000.0,2529000.0,4411000.0,15919000.0,0.0,2113000.0,2113000.0,2110000.0,3000.0,2113000.0,2110000.0,2113000.0,2713000.0,789402.875046,13300000.0,2619000.0,29796000.0,,241000.0,,0.0,2713000.0,13877000.0,1882000.0,,-22000.0,377402.875046,603000.0,0.222263,27177000.0,,29796000.0,1698000.0,1698000.0,22000.0
GE.MI,2023-09-30,TTM,EUR,,14323788.0,0.81,,,,14323788.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE.MI,2023-12-31,3M,EUR,421000.0,,,14932000.0,1973000.0,1552000.0,,,2127000.0,3248000.0,5221000.0,15149000.0,,2127000.0,2127000.0,2125000.0,2000.0,2127000.0,2125000.0,2127000.0,7050000.0,3534218.636693,13943000.0,1206000.0,30081000.0,3175000.0,158000.0,,0.0,2758000.0,14932000.0,1973000.0,,-115000.0,-419781.363307,633000.0,0.229514,28875000.0,,30081000.0,-1829000.0,-1829000.0,-12000.0
GE.MI,2023-12-31,TTM,EUR,,14260955.0,0.817,,,,14260955.0,0.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE.MI,2024-03-31,3M,EUR,452000.0,14103704.0,0.27,15000000.0,2021000.0,1569000.0,14103704.0,0.27,3808000.0,5083000.0,7104000.0,19156000.0,0.0,3808000.0,3808000.0,3808000.0,0.0,3808000.0,3808000.0,3808000.0,6542000.0,3393573.973664,14073000.0,5083000.0,34156000.0,-483000.0,202000.0,,0.0,5164000.0,15000000.0,2021000.0,202000.0,24000.0,147573.973664,1356000.0,0.262587,29073000.0,,34156000.0,562000.0,562000.0,-24000.0
GE.MI,2024-03-31,TTM,EUR,1729000.0,14182251.0,0.817,59912000.0,7746000.0,6017000.0,14182251.0,0.817,11568000.0,15985000.0,23731000.0,69487000.0,,11568000.0,11568000.0,11742000.0,-174000.0,11568000.0,11742000.0,11568000.0,23933000.0,11893326.017609,55544000.0,13943000.0,129399000.0,1723000.0,836000.0,,0.0,15674000.0,59912000.0,7746000.0,802000.0,-59000.0,-50673.982391,3932000.0,0.250861,115456000.0,,129399000.0,-202000.0,-202000.0,-68000.0
