symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
TRN.MI,2023-03-31,3M,EUR,,2005616091.0,0.09982,,,,2005616091.0,0.09982,,,,,,,,,,,,,,-500000.0,-500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRN.MI,2023-06-30,3M,EUR,,,,146100000.0,193900000.0,137200000.0,,,211200000.0,359800000.0,553700000.0,602400000.0,,,,,,2800000.0,211200000.0,211200000.0,211400000.0,-3000000.0,,211200000.0,214200000.0,208400000.0,-27300000.0,-27300000.0,553700000.0,214200000.0,296500000.0,305900000.0,748500000.0,,10600000.0,,0.0,298600000.0,146100000.0,180200000.0,,,0.0,87200000.0,0.292029,442600000.0,325600000.0,,748500000.0,,,
TRN.MI,2023-09-30,3M,EUR,,2005778340.0,0.114818,133900000.0,196300000.0,196300000.0,2005778340.0,0.114818,230300000.0,340700000.0,537000000.0,627900000.0,,,,,,500000.0,230300000.0,230300000.0,225500000.0,4300000.0,,230300000.0,226000000.0,229800000.0,-22100000.0,-22100000.0,537000000.0,226000000.0,287200000.0,340700000.0,761800000.0,,9700000.0,,0.0,318600000.0,133900000.0,196300000.0,,,0.0,93100000.0,0.292216,421100000.0,340700000.0,,761800000.0,,,
TRN.MI,2023-09-30,TTM,EUR,,2005778340.0,0.454297,,,,2005778340.0,0.454297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRN.MI,2023-12-31,3M,EUR,,,,201100000.0,220500000.0,94100000.0,,,243700000.0,452100000.0,672600000.0,699400000.0,,,,,,-1400000.0,243700000.0,243700000.0,243400000.0,1700000.0,,243700000.0,242000000.0,245100000.0,-38700000.0,-38700000.0,672600000.0,242000000.0,336700000.0,362700000.0,900500000.0,,10300000.0,,0.0,346100000.0,201100000.0,220500000.0,,,0.0,102700000.0,0.296735,537800000.0,382600000.0,,900500000.0,,,
TRN.MI,2023-12-31,TTM,EUR,,2005778340.0,0.441425,,,,2005778340.0,0.441425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRN.MI,2024-03-31,3M,EUR,,2005778340.0,0.133714,131400000.0,209200000.0,209200000.0,2005778340.0,0.133714,268200000.0,418700000.0,627900000.0,726700000.0,,,,,,600000.0,268200000.0,268200000.0,270600000.0,,-3000000.0,271200000.0,271200000.0,267600000.0,-36500000.0,-36500000.0,627900000.0,271200000.0,308000000.0,418700000.0,858100000.0,,11100000.0,,0.0,382200000.0,131400000.0,209200000.0,,,0.0,111600000.0,0.292,439400000.0,418700000.0,,858100000.0,,,
TRN.MI,2024-03-31,TTM,EUR,,2005778340.0,0.474894,,,,2005778340.0,0.474894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRN.MI,2024-06-30,3M,EUR,,,,162000000.0,209800000.0,136900000.0,,,276600000.0,480900000.0,690700000.0,716000000.0,,,,,,-700000.0,276600000.0,276600000.0,274900000.0,,2400000.0,274200000.0,274200000.0,277300000.0,-27700000.0,-27700000.0,690700000.0,274200000.0,312300000.0,403700000.0,878000000.0,,11000000.0,,0.0,390500000.0,162000000.0,209800000.0,,,0.0,115600000.0,0.296031,474300000.0,417400000.0,,878000000.0,,,
TRN.MI,2024-06-30,TTM,EUR,142600000.0,2005273625.0,0.508,632700000.0,837300000.0,694700000.0,2005273625.0,0.508,1018800000.0,1658200000.0,2495500000.0,2789100000.0,8300000.0,220800000.0,220800000.0,102100000.0,102100000.0,-1000000.0,1018800000.0,1018800000.0,1014400000.0,,,1015900000.0,1013400000.0,1019800000.0,-124700000.0,-124700000.0,2486400000.0,1006977960.205927,1249400000.0,1539700000.0,3421800000.0,10600000.0,45400000.0,-19000000.0,0.0,1437400000.0,632700000.0,825300000.0,19600000.0,9100000.0,2677960.205927,423000000.0,0.294281,1882100000.0,1559400000.0,6000000.0,3421800000.0,9100000.0,9100000.0,1600000.0
