symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
FM.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21525000.0,-3822000.0,,,,,,,,-4555000.0,-4555000.0,69000.0
FM.MI,2023-03-31,3M,EUR,,71234071.0,0.119325,,,,71234071.0,0.119325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253000.0,-20000.0,,,,,-4217000.0,,,-20000.0,-20000.0,20000.0
FM.MI,2023-06-30,3M,EUR,,,,38774000.0,12357000.0,10087000.0,,,17366000.0,22422000.0,34779000.0,45330000.0,,,,,62000.0,17366000.0,17366000.0,17304000.0,0.0,17366000.0,17366000.0,17304000.0,-2842000.0,-2842000.0,34589000.0,17183670.807453,27196000.0,18134000.0,84104000.0,982000.0,1895000.0,,0.0,18032000.0,38774000.0,12357000.0,13648000.0,13000.0,7670.807453,728000.0,0.040373,65970000.0,,,84104000.0,190000.0,190000.0,29000.0
FM.MI,2023-09-30,3M,EUR,,71491819.0,-0.027796,23279000.0,12883000.0,12883000.0,71491819.0,-0.027796,-1980000.0,-1251000.0,11632000.0,22327000.0,,,,,44000.0,-1980000.0,-1980000.0,-2024000.0,0.0,-1980000.0,-1980000.0,-2024000.0,-2270000.0,-2270000.0,11632000.0,-1980000.0,23578000.0,-1251000.0,45606000.0,769000.0,839000.0,,0.0,-596000.0,23279000.0,12883000.0,169000.0,,0.0,1428000.0,0.24,46857000.0,1674000.0,,45606000.0,,,
FM.MI,2023-09-30,TTM,EUR,,71491819.0,0.24302,,,,71491819.0,0.24302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM.MI,2023-12-31,3M,EUR,,,,50325000.0,13171000.0,8230000.0,,,21582000.0,37509000.0,50680000.0,55685000.0,,,,,-176000.0,21582000.0,21582000.0,21758000.0,0.0,21582000.0,21582000.0,21758000.0,-3884000.0,-3884000.0,50680000.0,21582000.0,31517000.0,24168000.0,106010000.0,2799000.0,1190000.0,,0.0,25500000.0,50325000.0,13171000.0,,,0.0,3742000.0,0.146745,81842000.0,,,106010000.0,,,
FM.MI,2023-12-31,TTM,EUR,,71141819.0,0.639118,,,,71141819.0,0.639118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM.MI,2024-03-31,3M,EUR,,71141819.0,0.107897,33778000.0,12940000.0,12940000.0,71141819.0,0.107897,7676000.0,12407000.0,25347000.0,38574000.0,,,,,51000.0,7676000.0,7676000.0,7625000.0,0.0,7676000.0,7676000.0,7625000.0,-1756000.0,-1756000.0,25467000.0,7759061.002179,26167000.0,12407000.0,72352000.0,840000.0,1055000.0,,0.0,11016000.0,33778000.0,12940000.0,,-120000.0,-36938.997821,3391000.0,0.307825,59945000.0,12772000.0,,72352000.0,-120000.0,-120000.0,120000.0
FM.MI,2024-03-31,TTM,EUR,,71141819.0,0.625972,,,,71141819.0,0.625972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM.MI,2024-06-30,3M,EUR,,,,33776000.0,12934000.0,10520000.0,,,15051000.0,19008000.0,31942000.0,38254000.0,,,,,32000.0,15051000.0,15051000.0,15019000.0,0.0,15051000.0,15051000.0,15019000.0,-2380000.0,-2380000.0,31587000.0,14781200.0,25815000.0,12439000.0,72030000.0,757000.0,1538000.0,,0.0,13931000.0,33776000.0,12934000.0,,155000.0,85200.0,-1088000.0,0.24,59591000.0,,,72030000.0,355000.0,355000.0,-120000.0
FM.MI,2024-06-30,TTM,EUR,5085000.0,71255000.0,0.5941,141128000.0,51928000.0,46843000.0,71255000.0,0.5941,42329000.0,63073000.0,115001000.0,154870000.0,13222000.0,13222000.0,3658000.0,3658000.0,-49000.0,42329000.0,42329000.0,42378000.0,0.0,42329000.0,42329000.0,42378000.0,-9777000.0,-9777000.0,116863000.0,43911873.683577,107360000.0,47510000.0,295998000.0,5233000.0,4363000.0,-727000.0,0.0,49851000.0,141128000.0,51928000.0,27878000.0,-3685000.0,-279126.316423,7473000.0,0.149907,248488000.0,,213000.0,295998000.0,-1862000.0,-1862000.0,254000.0
