symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
EDNR.MI,2023-03-31,3M,EUR,4736117250.0,0.060809,,,,4736117250.0,0.060809,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNR.MI,2023-06-30,3M,EUR,,,3153000000.0,124000000.0,124000000.0,,,-101000000.0,-75000000.0,49000000.0,,700000000.0,,-13000000.0,-101000000.0,-101000000.0,-88000000.0,0.0,-101000000.0,-101000000.0,-88000000.0,16000000.0,16000000.0,216000000.0,7058823.529412,717000000.0,-17000000.0,3853000000.0,5000000.0,386000000.0,,0.0,-136000000.0,3153000000.0,124000000.0,,,9000000.0,-58941176.470588,-48000000.0,0.352941,3870000000.0,,-1000000.0,3853000000.0,-167000000.0,-167000000.0,-2000000.0
EDNR.MI,2023-09-30,3M,EUR,,,3296000000.0,116000000.0,116000000.0,,,299000000.0,471000000.0,587000000.0,,834000000.0,0.0,-22000000.0,299000000.0,299000000.0,321000000.0,0.0,299000000.0,299000000.0,321000000.0,-2000000.0,-2000000.0,446000000.0,197517937.219731,421000000.0,413000000.0,4130000000.0,-113000000.0,310000000.0,,0.0,446000000.0,3296000000.0,116000000.0,,,-11000000.0,39517937.219731,125000000.0,0.280269,3717000000.0,453000000.0,11000000.0,4130000000.0,141000000.0,141000000.0,4000000.0
EDNR.MI,2023-09-30,TTM,EUR,4736117250.0,0.078545,,,,4736117250.0,0.078545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNR.MI,2023-12-31,3M,EUR,,,3568000000.0,104000000.0,-8000000.0,,,29000000.0,422000000.0,526000000.0,,765000000.0,9000000.0,-23000000.0,29000000.0,29000000.0,38000000.0,14000000.0,29000000.0,15000000.0,52000000.0,-47000000.0,-47000000.0,553000000.0,40024390.243902,343000000.0,422000000.0,4333000000.0,-323000000.0,-111000000.0,,0.0,41000000.0,3568000000.0,104000000.0,,,-27000000.0,-1975609.756098,3000000.0,0.073171,3911000000.0,,0.0,4333000000.0,-27000000.0,-27000000.0,32000000.0
EDNR.MI,2023-12-31,TTM,EUR,,0.108739,,,,,0.108739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNR.MI,2024-03-31,3M,EUR,4736117250.0,0.067988,3406000000.0,116000000.0,116000000.0,4736117250.0,0.067988,322000000.0,416000000.0,532000000.0,,660000000.0,0.0,-20000000.0,322000000.0,322000000.0,334000000.0,8000000.0,322000000.0,314000000.0,342000000.0,-14000000.0,-14000000.0,516000000.0,302889812.889813,244000000.0,416000000.0,4066000000.0,62000000.0,19000000.0,,0.0,481000000.0,3406000000.0,116000000.0,,,-2000000.0,4889812.889813,147000000.0,0.305613,3650000000.0,,7000000.0,4066000000.0,16000000.0,16000000.0,2000000.0
EDNR.MI,2024-03-31,TTM,EUR,,0.115918,,,,,0.115918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNR.MI,2024-06-30,3M,EUR,,,2299000000.0,122000000.0,122000000.0,,,-101000000.0,-96000000.0,26000000.0,,903000000.0,0.0,-8000000.0,-101000000.0,-101000000.0,-101000000.0,8000000.0,-101000000.0,-109000000.0,-93000000.0,20000000.0,20000000.0,14000000.0,-116345454.545455,1066000000.0,-163000000.0,3202000000.0,-35000000.0,692000000.0,,0.0,-165000000.0,2299000000.0,122000000.0,,,25000000.0,4654545.454545,-64000000.0,0.387879,3365000000.0,,1000000.0,3202000000.0,12000000.0,12000000.0,2000000.0
EDNR.MI,2024-06-30,TTM,EUR,4736117250.0,0.115918,12614000000.0,467000000.0,355000000.0,4736117250.0,0.115918,549000000.0,1225000000.0,1701000000.0,196000000.0,3154000000.0,9000000.0,-73000000.0,549000000.0,549000000.0,600000000.0,22000000.0,549000000.0,527000000.0,622000000.0,-48000000.0,-48000000.0,1559000000.0,422331695.331695,2050000000.0,1104000000.0,15768000000.0,-409000000.0,921000000.0,-34000000.0,0.0,814000000.0,12614000000.0,476000000.0,24000000.0,220000000.0,-15000000.0,37331695.331695,214000000.0,0.262899,14664000000.0,,23000000.0,15768000000.0,142000000.0,142000000.0,40000000.0
