symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
MARR.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464000.0,464000.0,,,,,,,,,,,
MARR.MI,2022-12-31,3M,EUR,,,,,,,,,,,,3347000.0,,,,,,,,,,,,,,,,,,,,,,,,,,191000.0,191000.0,45444000.0,48791000.0,,,,,,,,,0.0
MARR.MI,2023-03-31,3M,EUR,150000.0,66325386.0,0.02,335368000.0,4906000.0,4756000.0,66325386.0,0.02,1470000.0,6115000.0,11021000.0,,82197000.0,3940000.0,3940000.0,194000.0,194000.0,0.0,1470000.0,1470000.0,1470000.0,1470000.0,1470000.0,1470000.0,-3746000.0,-3746000.0,10970000.0,1435529.1,76090000.0,6107000.0,417565000.0,59495000.0,-51000.0,0.0,2175000.0,335368000.0,4906000.0,140000.0,140000.0,,,51000.0,16529.1,705000.0,0.3241,411458000.0,417565000.0,51000.0,51000.0,0.0
MARR.MI,2023-06-30,3M,EUR,181000.0,,,442218000.0,5059000.0,4878000.0,,,17199000.0,28927000.0,33990000.0,,120942000.0,4824000.0,4824000.0,344000.0,344000.0,0.0,17199000.0,17199000.0,17199000.0,17199000.0,17199000.0,17199000.0,-4480000.0,-4480000.0,33986000.0,17196145.749492,92362000.0,28580000.0,563160000.0,75207000.0,-4000.0,0.0,24103000.0,442218000.0,5063000.0,,,,,4000.0,1145.749492,6904000.0,0.286437,534580000.0,563160000.0,4000.0,4000.0,
MARR.MI,2023-09-30,3M,EUR,190000.0,65868641.0,0.33,476575000.0,5227000.0,5037000.0,65868641.0,0.33,21880000.0,36406000.0,41633000.0,,133787000.0,5434000.0,5434000.0,464000.0,464000.0,0.0,21880000.0,21880000.0,21880000.0,21880000.0,21880000.0,21880000.0,-4970000.0,-4970000.0,41625000.0,21874348.443756,97920000.0,35867000.0,610362000.0,16620000.0,-8000.0,0.0,30972000.0,476575000.0,5223000.0,270000.0,270000.0,64055000.0,64055000.0,8000.0,2348.443756,9092000.0,0.293555,574495000.0,610362000.0,8000.0,8000.0,
MARR.MI,2023-09-30,TTM,EUR,,66205009.0,0.64,,,,66205009.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARR.MI,2023-12-31,3M,EUR,194000.0,,,353866000.0,5358000.0,5164000.0,,,6585000.0,15379000.0,20743000.0,3006000.0,91957000.0,5709000.0,5709000.0,1392000.0,1392000.0,0.0,6585000.0,6585000.0,6585000.0,6585000.0,6585000.0,6585000.0,-4317000.0,-4317000.0,23289000.0,8318754.912099,75122000.0,16835000.0,445823000.0,8321000.0,-10000.0,0.0,9670000.0,353866000.0,5364000.0,270000.0,270000.0,48110000.0,51116000.0,-2546000.0,-812245.087901,3085000.0,0.319028,428988000.0,445823000.0,-2546000.0,-2546000.0,
MARR.MI,2023-12-31,TTM,EUR,,65297560.0,0.721834,,,,65297560.0,0.721834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARR.MI,2024-03-31,3M,EUR,178000.0,65244260.0,0.026485,323624000.0,5249000.0,5071000.0,65244260.0,0.026485,1728000.0,8590000.0,13839000.0,,85142000.0,5609000.0,5609000.0,777000.0,777000.0,0.0,1728000.0,1728000.0,1728000.0,1728000.0,1728000.0,1728000.0,-4832000.0,-4832000.0,13822000.0,1717800.0,77647000.0,7495000.0,408766000.0,60379000.0,-17000.0,0.0,2981000.0,323624000.0,5249000.0,192000.0,192000.0,,,17000.0,6800.0,1253000.0,0.4,401271000.0,408766000.0,17000.0,17000.0,
MARR.MI,2024-03-31,TTM,EUR,743000.0,65651997.0,0.73,1596283000.0,20893000.0,20150000.0,65651997.0,0.73,47392000.0,89302000.0,110201000.0,,431828000.0,21576000.0,21576000.0,2977000.0,2977000.0,0.0,47392000.0,47392000.0,47392000.0,47392000.0,47392000.0,47392000.0,-18599000.0,-18599000.0,112718000.0,49153297.9358,343051000.0,88777000.0,2028111000.0,45382000.0,-39000.0,0.0,67726000.0,1596283000.0,20899000.0,974000.0,974000.0,,,-2517000.0,-755702.0642,20334000.0,0.300239,1939334000.0,2028111000.0,-2517000.0,-2517000.0,
