symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
REC.MI,2019-12-31,TTM,EUR,,,,,,,,,,,453000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2020-12-31,12M,EUR,205758125.0,1.725,406831000.0,209060071.0,1.698,354984000.0,473159000.0,566831000.0,72785000.0,1042036000.0,0.0,17503000.0,17503000.0,-43000.0,354984000.0,354984000.0,355027000.0,354984000.0,354984000.0,355027000.0,-17660000.0,-17660000.0,573442000.0,360134998.773197,568093000.0,473943000.0,1448867000.0,1705000.0,6125000.0,0.0,455656000.0,406831000.0,93672000.0,146236000.0,507000.0,349072000.0,421857000.0,-6632000.0,-1460001.226803,100629000.0,0.220844,974924000.0,469016000.0,157000.0,1448867000.0,-6611000.0,-6611000.0
REC.MI,2021-12-31,12M,EUR,206011089.0,1.874,427727000.0,209082340.0,1.846,385966000.0,480769000.0,578354000.0,84495000.0,1152347000.0,52000.0,17420000.0,17420000.0,0.0,385966000.0,385966000.0,385966000.0,385966000.0,385966000.0,385966000.0,-17543000.0,-17543000.0,596313000.0,400925847.0,647027000.0,505320000.0,1580074000.0,-652000.0,2453000.0,0.0,463349000.0,427727000.0,97585000.0,166138000.0,11973000.0,396394000.0,480889000.0,-14478000.0,-2999153.0,77383000.0,0.167,1074754000.0,490190000.0,123000.0,1580074000.0,-17959000.0,-17959000.0
REC.MI,2022-09-30,TTM,EUR,,,537526000.0,,,331038000.0,446833000.0,561760000.0,104980000.0,1263901000.0,,24502000.0,24502000.0,0.0,331038000.0,331038000.0,331038000.0,331038000.0,331038000.0,331038000.0,-30266000.0,-30266000.0,609886000.0,368760863.791671,747740000.0,516161000.0,1801427000.0,1857000.0,2458000.0,0.0,422331000.0,537526000.0,114927000.0,202147000.0,42364000.0,440613000.0,545593000.0,-44874000.0,-10403136.208329,91293000.0,0.216165,1285266000.0,473144000.0,5764000.0,1801427000.0,-48126000.0,-48126000.0
REC.MI,2022-12-31,12M,EUR,205582127.0,1.519,566737000.0,209125156.0,1.494,312336000.0,433593000.0,559349000.0,109493000.0,1286570000.0,10934000.0,32158000.0,32158000.0,0.0,312336000.0,312336000.0,312336000.0,312336000.0,312336000.0,312336000.0,-32303000.0,-32303000.0,614614000.0,356105880.0,792260000.0,494310000.0,1853307000.0,497000.0,-1616000.0,0.0,401435000.0,566737000.0,125756000.0,220102000.0,43657000.0,462665000.0,572158000.0,-52975000.0,-11495120.0,89099000.0,0.208,1358997000.0,437326000.0,145000.0,1853307000.0,-55265000.0,-55265000.0
REC.MI,2023-09-30,TTM,EUR,205501845.0,1.826,,209116173.0,1.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2023-12-31,12M,EUR,205634136.0,1.893,659707000.0,209125156.0,1.861,389214000.0,565491000.0,708161000.0,128253000.0,1422624000.0,369000.0,74455000.0,74455000.0,0.0,389214000.0,389214000.0,389214000.0,389214000.0,389214000.0,389214000.0,-74857000.0,-74857000.0,712441000.0,392638000.0,856857000.0,565767000.0,2082331000.0,2248000.0,-909000.0,0.0,491036000.0,659707000.0,142670000.0,255747000.0,9001000.0,472857000.0,601110000.0,-8461000.0,-856000.0,101822000.0,0.2,1516564000.0,558008000.0,402000.0,2082331000.0,-4280000.0,-4280000.0
REC.MI,2023-12-31,TTM,EUR,205606973.0,1.893,,209142397.0,1.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2024-03-31,TTM,EUR,205825730.0,1.889,,209125156.0,1.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2024-06-30,TTM,EUR,206073011.0,1.877,731634000.0,209074435.0,1.851,387013000.0,578074000.0,733276000.0,140094000.0,1492092000.0,4915000.0,84161000.0,84161000.0,0.0,387013000.0,387013000.0,387013000.0,387013000.0,387013000.0,387013000.0,-84557000.0,-84557000.0,740962000.0,393035481.526099,902699000.0,589393000.0,2223726000.0,6766000.0,397000.0,0.0,493913000.0,731634000.0,155202000.0,275839000.0,8106000.0,486766000.0,626860000.0,-13418000.0,-1663518.473901,106900000.0,0.216435,1634333000.0,583098000.0,396000.0,2223726000.0,-7686000.0,-7686000.0
