symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfPPE,StockBasedCompensation,TaxesRefundPaid
REC.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14070000.0,,,,,,,,,,
REC.MI,2022-09-30,TTM,EUR,88886000.0,341926000.0,-94300000.0,-227370000.0,-21604000.0,-20710000.0,32719000.0,-44990000.0,-32981000.0,-21604000.0,13798000.0,-74067000.0,91293000.0,26041000.0,114927000.0,26287000.0,320322000.0,240191000.0,390899000.0,-21188000.0,1103000.0,-746994000.0,13798000.0,1357032000.0,1357032000.0,-810632000.0,-653759000.0,-60269000.0,331038000.0,331038000.0,-71290000.0,537135000.0,546400000.0,,-21945000.0,-9265000.0,485199000.0,,77322000.0,-653759000.0,-71805000.0,-22495000.0,-810632000.0,-74067000.0,515000.0,550000.0,7497000.0,-86039000.0
REC.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-19500000.0,,,,,,,,,,,,,-19500000.0,,,,,,,,
REC.MI,2023-03-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,3000000.0,,,,,,0.0,,,,,,,,
REC.MI,2023-06-30,3M,EUR,26878000.0,231294000.0,-18916000.0,-120904000.0,295756000.0,-14906000.0,-2233000.0,18291000.0,1152000.0,295756000.0,5268000.0,0.0,25312000.0,6862000.0,33740000.0,1518000.0,528568000.0,151219000.0,144612000.0,-11042000.0,1189000.0,-18991000.0,5268000.0,348371000.0,348371000.0,-65474000.0,0.0,5268000.0,103617000.0,103617000.0,-13806000.0,269311000.0,282897000.0,0.0,-5185000.0,-13586000.0,163528000.0,,30159000.0,0.0,-13609000.0,-5307000.0,-65474000.0,0.0,-197000.0,122000.0,1967000.0,-22566000.0
REC.MI,2023-09-30,3M,EUR,28238000.0,528568000.0,-327122000.0,-2028000.0,-230987000.0,1826000.0,9389000.0,-9819000.0,1396000.0,-230987000.0,12005000.0,0.0,23906000.0,7711000.0,35949000.0,4699000.0,302280000.0,-42099000.0,-189028000.0,-21454000.0,1340000.0,-326982000.0,12005000.0,-115000.0,-115000.0,-75006000.0,0.0,12005000.0,76921000.0,76921000.0,-319017000.0,-49648000.0,-75121000.0,0.0,-7965000.0,25473000.0,138094000.0,,34756000.0,0.0,-319037000.0,-8085000.0,-75006000.0,0.0,20000.0,120000.0,3582000.0,-18386000.0
REC.MI,2023-12-31,3M,EUR,31491000.0,302280000.0,-19669000.0,-116887000.0,-77337000.0,-18656000.0,10187000.0,-26812000.0,-35281000.0,-77337000.0,10416000.0,-16227000.0,16616000.0,7298000.0,38789000.0,-3131000.0,221812000.0,-133472000.0,56105000.0,-20025000.0,1180000.0,-19639000.0,10416000.0,-645000.0,-645000.0,-65533000.0,0.0,-5811000.0,84722000.0,84722000.0,-7950000.0,-8718000.0,-66178000.0,0.0,-11689000.0,57460000.0,75774000.0,,38246000.0,0.0,-7980000.0,-11689000.0,-65533000.0,-16227000.0,30000.0,0.0,3355000.0,-52112000.0
REC.MI,2024-03-31,3M,EUR,32518000.0,221812000.0,-8982000.0,-686000.0,71104000.0,-12006000.0,25900000.0,-59871000.0,-45977000.0,71104000.0,16526000.0,-11964000.0,37554000.0,7471000.0,39989000.0,1735000.0,294651000.0,-71863000.0,142063000.0,-20848000.0,1420000.0,-8078000.0,16526000.0,69723000.0,69723000.0,-76873000.0,,4562000.0,123595000.0,123595000.0,-4147000.0,-72174000.0,-7150000.0,,-3931000.0,-65024000.0,151045000.0,,24845000.0,,-4158000.0,-4824000.0,-76873000.0,-11964000.0,11000.0,893000.0,2766000.0,-14323000.0
REC.MI,2024-06-30,3M,EUR,32355000.0,294651000.0,-11383000.0,-128066000.0,-96871000.0,-17458000.0,-25728000.0,15516000.0,-27670000.0,-96871000.0,13317000.0,-25599000.0,28823000.0,8120000.0,40475000.0,2799000.0,200579000.0,-201473000.0,104736000.0,-21179000.0,1500000.0,-11517000.0,13317000.0,74886000.0,74886000.0,-149928000.0,,-12282000.0,101775000.0,101775000.0,-4917000.0,-58694000.0,-75042000.0,,-6600000.0,16348000.0,116119000.0,,26961000.0,,-4944000.0,-6439000.0,-149928000.0,-25599000.0,27000.0,-161000.0,3351000.0,-40439000.0
REC.MI,2024-06-30,TTM,EUR,124602000.0,528568000.0,-367156000.0,-247667000.0,-334091000.0,-46294000.0,19748000.0,-80986000.0,-107532000.0,-334091000.0,52264000.0,-53790000.0,106899000.0,30600000.0,155202000.0,6102000.0,194477000.0,-448907000.0,113876000.0,-83506000.0,5440000.0,-366216000.0,52264000.0,143849000.0,143849000.0,-367340000.0,,-1526000.0,387013000.0,387013000.0,-336031000.0,-189234000.0,-223491000.0,,-30185000.0,34257000.0,481032000.0,,124808000.0,,-336119000.0,-31037000.0,-367340000.0,-53790000.0,88000.0,852000.0,13054000.0,-125260000.0
