symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
REC.MI,2019-12-31,TTM,EUR,,,,,,,,,,,453000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2022-09-30,TTM,EUR,,,537526000.0,,,331038000.0,446833000.0,561760000.0,104980000.0,1263901000.0,,24502000.0,24502000.0,0.0,331038000.0,331038000.0,331038000.0,331038000.0,331038000.0,331038000.0,-30266000.0,-30266000.0,609886000.0,368760863.791671,747740000.0,516161000.0,1801427000.0,1857000.0,2458000.0,0.0,422331000.0,537526000.0,114927000.0,202147000.0,42364000.0,440613000.0,545593000.0,-44874000.0,-10403136.208329,91293000.0,0.216165,1285266000.0,473144000.0,5764000.0,1801427000.0,-48126000.0,-48126000.0
REC.MI,2023-03-31,3M,EUR,205447036.0,0.603,,209125156.0,0.593,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2023-06-30,3M,EUR,,,148300000.0,,,103617000.0,145928000.0,179668000.0,31404000.0,344609000.0,,16999000.0,16999000.0,0.0,103617000.0,103617000.0,103617000.0,103617000.0,103617000.0,103617000.0,-17090000.0,-17090000.0,179767000.0,103696563.814192,203791000.0,140818000.0,492909000.0,1195000.0,271000.0,0.0,128929000.0,148300000.0,33740000.0,58585000.0,824000.0,113802000.0,145206000.0,-1095000.0,-19436.185808,25312000.0,0.196325,352091000.0,140879000.0,91000.0,492909000.0,-99000.0,-99000.0
REC.MI,2023-09-30,3M,EUR,,,178541000.0,,,76921000.0,122297000.0,158246000.0,31789000.0,333361000.0,,21470000.0,21470000.0,0.0,76921000.0,76921000.0,76921000.0,76921000.0,76921000.0,76921000.0,-21562000.0,-21562000.0,157695000.0,76500641.653525,206697000.0,126664000.0,511902000.0,93000.0,-846000.0,0.0,100827000.0,178541000.0,35949000.0,63196000.0,1424000.0,111712000.0,143501000.0,-578000.0,130641.653525,23906000.0,0.237099,385238000.0,125307000.0,92000.0,511902000.0,551000.0,551000.0
REC.MI,2023-09-30,TTM,EUR,205501845.0,1.826,,209116173.0,1.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2023-12-31,3M,EUR,,,169212000.0,,,84722000.0,122874000.0,161663000.0,34623000.0,356945000.0,,21535000.0,21535000.0,0.0,84722000.0,84722000.0,84722000.0,84722000.0,84722000.0,84722000.0,-21662000.0,-21662000.0,164973000.0,87489244.792232,235482000.0,121463000.0,526157000.0,2432000.0,222000.0,0.0,101339000.0,169212000.0,38789000.0,73508000.0,4260000.0,127351000.0,161974000.0,-4851000.0,-542755.207768,16617000.0,0.163974,404694000.0,119257000.0,127000.0,526157000.0,-3310000.0,-3310000.0
REC.MI,2023-12-31,TTM,EUR,205606973.0,1.893,,209142397.0,1.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2024-03-31,3M,EUR,206213410.0,0.599,192260000.0,209125156.0,0.591,123595000.0,181871000.0,221860000.0,35506000.0,415560000.0,2024000.0,20722000.0,20722000.0,0.0,123595000.0,123595000.0,123595000.0,123595000.0,123595000.0,123595000.0,-20810000.0,-20810000.0,226988000.0,127528176.0,223783000.0,191777000.0,607820000.0,-2020000.0,3230000.0,0.0,161149000.0,192260000.0,39989000.0,67318000.0,834000.0,120959000.0,156465000.0,-6088000.0,-1194824.0,37554000.0,0.233,416043000.0,186899000.0,88000.0,607820000.0,-5128000.0,-5128000.0
REC.MI,2024-03-31,TTM,EUR,205825730.0,1.889,,209125156.0,1.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC.MI,2024-06-30,3M,EUR,,,191621000.0,,,101775000.0,151032000.0,191507000.0,38176000.0,386226000.0,2522000.0,20434000.0,20434000.0,0.0,101775000.0,101775000.0,101775000.0,101775000.0,101775000.0,101775000.0,-20523000.0,-20523000.0,191306000.0,101618360.732936,236737000.0,149489000.0,577847000.0,6261000.0,-2209000.0,0.0,130598000.0,191621000.0,40475000.0,71817000.0,1588000.0,126744000.0,164920000.0,-1901000.0,44360.732936,28823000.0,0.2207,428358000.0,151635000.0,89000.0,577847000.0,201000.0,201000.0
