symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
LDO.MI,2022-12-31,3M,EUR,,,,4149000000.0,145000000.0,,,,,,,647000000.0,,,,,,,-275000000.0,,,,134000000.0,134000000.0,,,313000000.0,334000000.0,,326000000.0,,,,4149000000.0,145000000.0,,30000000.0,,,,4462000000.0,-155000000.0,,,,
LDO.MI,2023-03-31,3M,EUR,,575307275.0,0.062575,2776000000.0,135000000.0,,575307275.0,0.062575,,,,258000000.0,30000000.0,30000000.0,-4000000.0,,,,0.0,,,,-46000000.0,-46000000.0,,,139000000.0,119000000.0,,4000000.0,3000000.0,,,2776000000.0,135000000.0,1000000.0,-12000000.0,,,,2915000000.0,16000000.0,,,,
LDO.MI,2023-06-30,3M,EUR,-55000000.0,,,3483000000.0,132000000.0,187000000.0,,,160000000.0,257000000.0,389000000.0,377000000.0,27000000.0,27000000.0,-8000000.0,160000000.0,160000000.0,168000000.0,,160000000.0,160000000.0,168000000.0,-34000000.0,-34000000.0,417000000.0,180452173.913043,126000000.0,251000000.0,3860000000.0,33000000.0,,0.0,230000000.0,3483000000.0,132000000.0,3000000.0,-25000000.0,-7547826.086957,62000000.0,0.269565,3609000000.0,7000000.0,3860000000.0,-28000000.0,-28000000.0,
LDO.MI,2023-09-30,3M,EUR,8000000.0,575307275.0,0.161653,3022000000.0,162000000.0,154000000.0,575307275.0,0.161653,93000000.0,182000000.0,344000000.0,353000000.0,,,,93000000.0,93000000.0,93000000.0,,93000000.0,93000000.0,93000000.0,-73000000.0,-73000000.0,357000000.0,105593750.0,171000000.0,182000000.0,3375000000.0,9000000.0,37000000.0,0.0,96000000.0,3022000000.0,162000000.0,8000000.0,-37000000.0,-406250.0,3000000.0,0.03125,3193000000.0,,3375000000.0,-13000000.0,-13000000.0,
LDO.MI,2023-09-30,TTM,EUR,,575307275.0,0.943531,,,,575307275.0,0.943531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO.MI,2023-12-31,3M,EUR,162000000.0,574886536.0,0.661,4418000000.0,117000000.0,-45000000.0,574886536.0,0.661,380000000.0,515000000.0,632000000.0,604000000.0,58000000.0,58000000.0,-14000000.0,380000000.0,380000000.0,405000000.0,-11000000.0,380000000.0,391000000.0,394000000.0,-108000000.0,-108000000.0,664000000.0,419358862.14442,166000000.0,438000000.0,5022000000.0,232000000.0,-80000000.0,0.0,457000000.0,4418000000.0,117000000.0,,32000000.0,-3641137.85558,52000000.0,0.113786,4584000000.0,83000000.0,5022000000.0,-32000000.0,-32000000.0,
LDO.MI,2023-12-31,TTM,EUR,,575174825.0,1.144,,,,575174825.0,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO.MI,2024-03-31,3M,EUR,163000000.0,575307275.0,0.776976,,,-163000000.0,575307275.0,0.776976,447000000.0,185000000.0,185000000.0,,17000000.0,17000000.0,-12000000.0,447000000.0,447000000.0,93000000.0,366000000.0,447000000.0,81000000.0,459000000.0,,,193000000.0,87523809.52381,,,3664000000.0,,,0.0,168000000.0,,,5000000.0,,-1476190.47619,31000000.0,0.184524,,,3664000000.0,-8000000.0,-8000000.0,
LDO.MI,2024-03-31,TTM,EUR,,575307275.0,1.858401,,,,575307275.0,1.858401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO.MI,2024-06-30,3M,EUR,-46000000.0,,,,,363000000.0,,,79000000.0,514000000.0,514000000.0,,16000000.0,16000000.0,-17000000.0,79000000.0,79000000.0,462000000.0,-366000000.0,79000000.0,445000000.0,96000000.0,,,548000000.0,473538152.610442,,,4321000000.0,,,0.0,498000000.0,,,-4000000.0,,-5461847.389558,80000000.0,0.160643,,,4321000000.0,-34000000.0,-34000000.0,
LDO.MI,2024-06-30,TTM,EUR,217000000.0,575307000.0,1.717,14614000000.0,611000000.0,394000000.0,575307000.0,1.717,988000000.0,1331000000.0,1953000000.0,1768000000.0,123000000.0,123000000.0,-54000000.0,988000000.0,988000000.0,1042000000.0,0.0,988000000.0,988000000.0,1042000000.0,115000000.0,115000000.0,2068000000.0,1087197019.86755,708000000.0,1060000000.0,16382000000.0,295000000.0,,0.0,1208000000.0,14614000000.0,622000000.0,0.0,-57000000.0,-15802980.13245,166000000.0,0.137417,15322000000.0,-205000000.0,16382000000.0,-115000000.0,-115000000.0,56000000.0
