symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
AMP.MI,2020-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631000.0
AMP.MI,2022-12-31,3M,EUR,,,,-237733000.0,,,,,,,,817164000.0,128000.0,,,,,,,0.0,,,,,,,,,,,4877000.0,,,,-237733000.0,,,,,,,,,,,,128000.0
AMP.MI,2023-03-31,3M,EUR,20984000.0,224551388.0,0.13048,428087000.0,62055000.0,41071000.0,226224496.0,0.12952,29299000.0,50833000.0,112908000.0,112164000.0,20000.0,9215000.0,9215000.0,40000.0,29299000.0,29299000.0,29259000.0,,29299000.0,29299000.0,29259000.0,-10417000.0,-10417000.0,112607000.0,29087397.0,62055000.0,50109000.0,540251000.0,3477000.0,,0.0,41618000.0,428087000.0,62075000.0,-20000.0,89397.0,12359000.0,0.297,490142000.0,53566000.0,1202000.0,540251000.0,301000.0,301000.0,20000.0
AMP.MI,2023-06-30,3M,EUR,22284000.0,,,425059000.0,66314000.0,44030000.0,,,52058000.0,79583000.0,146049000.0,148460000.0,152000.0,8702000.0,8702000.0,-6000.0,52058000.0,52058000.0,52064000.0,,52058000.0,52058000.0,52064000.0,-9425000.0,-9425000.0,145996000.0,52019070.075196,66314000.0,82146000.0,573519000.0,657000.0,,0.0,70881000.0,425059000.0,66466000.0,-152000.0,14070.075196,18817000.0,0.265473,491373000.0,198292000.0,723000.0,573519000.0,53000.0,53000.0,152000.0
AMP.MI,2023-09-30,3M,EUR,22051000.0,225510487.0,0.09792,423203000.0,64344000.0,42293000.0,225510487.0,0.09792,22081000.0,42242000.0,106617000.0,108093000.0,,11965000.0,11965000.0,-37000.0,22081000.0,22081000.0,22118000.0,,22081000.0,22081000.0,22118000.0,-13568000.0,-13568000.0,119650000.0,31601886.943885,1327348000.0,56968000.0,531295000.0,-264000.0,,0.0,30277000.0,423203000.0,64375000.0,-13252000.0,-3512113.056115,8159000.0,0.269478,474327000.0,43452000.0,1603000.0,531295000.0,-13033000.0,-13033000.0,31000.0
AMP.MI,2023-09-30,TTM,EUR,,224183508.0,0.74248,,,,226068402.0,0.73959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP.MI,2023-12-31,3M,EUR,28129000.0,225510487.0,0.229262,,74418000.0,46289000.0,225510487.0,0.229262,51701000.0,81711000.0,156432000.0,,,14740000.0,14740000.0,117000.0,51701000.0,51701000.0,51584000.0,,51701000.0,51701000.0,51584000.0,-15101000.0,-15101000.0,133519000.0,34052402.965463,-436490000.0,61293000.0,615019000.0,,-811542000.0,0.0,66971000.0,,74721000.0,21995000.0,5264402.965463,15387000.0,0.229756,553726000.0,79543000.0,2438000.0,615019000.0,22913000.0,22913000.0,
AMP.MI,2023-12-31,TTM,EUR,,225510487.0,0.687946,,,,225510487.0,0.687946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP.MI,2024-03-31,3M,EUR,24297000.0,225787617.0,0.15441,440691000.0,70543000.0,46246000.0,227219641.0,0.15344,34864000.0,63314000.0,134376000.0,132418000.0,519000.0,13136000.0,13136000.0,-464000.0,34864000.0,34864000.0,35328000.0,,34864000.0,34864000.0,35328000.0,-13711000.0,-13711000.0,135232000.0,35466624.0,70543000.0,61875000.0,573109000.0,3277000.0,,0.0,50178000.0,440691000.0,71062000.0,-519000.0,-253376.0,14850000.0,0.296,511234000.0,64633000.0,575000.0,573109000.0,-856000.0,-856000.0,
AMP.MI,2024-03-31,TTM,EUR,96761000.0,224221845.0,0.71678,1002820000.0,275619000.0,178858000.0,225711444.0,0.71201,160704000.0,266850000.0,543474000.0,1290122000.0,1005000.0,48543000.0,48543000.0,-390000.0,160704000.0,160704000.0,161094000.0,,160704000.0,160704000.0,161094000.0,-51805000.0,-51805000.0,534397000.0,154005862.798719,1027715000.0,262407000.0,2292942000.0,,,0.0,218307000.0,1002820000.0,276624000.0,8072000.0,2378862.798719,57213000.0,0.262076,2030535000.0,270279000.0,5339000.0,2292942000.0,9077000.0,9077000.0,
