symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ASC.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,715000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,459523000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000.0,1075000.0
ASC.MI,2020-12-31,12M,EUR,31742000.0,216644717.0,0.271,38559000.0,34082000.0,2340000.0,216644717.0,0.271,58701000.0,50851000.0,84933000.0,125336000.0,383000.0,1543000.0,1543000.0,68000.0,68000.0,0.0,58701000.0,58701000.0,58701000.0,0.0,58701000.0,58701000.0,58701000.0,-1644000.0,-1644000.0,86673000.0,60023400.0,94448000.0,30888000.0,163895000.0,44700000.0,0.0,49308000.0,38559000.0,32509000.0,1357000.0,-1740000.0,-417600.0,-9393000.0,0.24,133007000.0,29151000.0,169000.0,163895000.0,-1740000.0,-1740000.0
ASC.MI,2021-12-31,12M,EUR,30148000.0,216709997.0,0.209,40791000.0,32509000.0,2361000.0,216709997.0,0.209,45326000.0,56838000.0,89347000.0,94120000.0,0.0,1575000.0,1575000.0,36000.0,36000.0,0.0,45326000.0,45326000.0,45326000.0,0.0,45326000.0,45326000.0,45326000.0,-1956000.0,-1956000.0,90870000.0,46574860.0,58759000.0,35361000.0,134911000.0,11327000.0,0.0,55263000.0,40791000.0,32509000.0,1523000.0,-1523000.0,-274140.0,9937000.0,0.18,99550000.0,33838000.0,417000.0,134911000.0,-1523000.0,-1523000.0
ASC.MI,2022-12-31,12M,EUR,36758000.0,216709997.0,0.151,53844000.0,45975000.0,9217000.0,216709997.0,0.151,32664000.0,43101000.0,89076000.0,109808000.0,,5130000.0,5130000.0,81000.0,81000.0,226000.0,32664000.0,32664000.0,30972000.0,1466000.0,32664000.0,31198000.0,32438000.0,-6117000.0,-6117000.0,90950000.0,32727184.0,76022000.0,33786000.0,163652000.0,21691000.0,0.0,37971000.0,53844000.0,45975000.0,1874000.0,-1874000.0,-344816.0,6999000.0,0.184,129866000.0,31911000.0,1068000.0,163652000.0,-1874000.0,-1874000.0
ASC.MI,2023-09-30,TTM,EUR,,218489658.0,0.092,,,,218489658.0,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2023-12-31,12M,EUR,38689000.0,216709997.0,0.167,52740000.0,48232000.0,9543000.0,216709997.0,0.167,36176000.0,52738000.0,100970000.0,128054000.0,,11112000.0,11112000.0,1792000.0,1792000.0,-501000.0,36176000.0,36176000.0,36621000.0,56000.0,36176000.0,36120000.0,36677000.0,-12159000.0,-12159000.0,102486000.0,37454080.0,80549000.0,47505000.0,180794000.0,29884000.0,0.0,41626000.0,52740000.0,48232000.0,1516000.0,-1516000.0,-181920.0,5005000.0,0.12,133289000.0,45990000.0,2839000.0,180794000.0,-1516000.0,-1516000.0
ASC.MI,2023-12-31,TTM,EUR,,216709997.0,0.167,,,,216709997.0,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2024-03-31,TTM,EUR,,217361849.0,0.17,,,,217361849.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2024-06-30,TTM,EUR,39416000.0,216718765.0,0.193641,53815000.0,49799000.0,10383000.0,217744187.0,0.193299,41950000.0,63714000.0,113513000.0,142175000.0,,13348000.0,13348000.0,640000.0,640000.0,274000.0,41950000.0,41950000.0,41675000.0,0.0,41950000.0,41950000.0,41675000.0,-15871000.0,-15871000.0,115042000.0,43215221.240519,85439000.0,56736000.0,195990000.0,29996000.0,0.0,50366000.0,53815000.0,49799000.0,1529000.0,-1529000.0,-263778.759481,8689000.0,0.172517,139254000.0,55203000.0,3163000.0,195990000.0,-1529000.0,-1529000.0
