symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ASC.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,459523000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000.0,1075000.0
ASC.MI,2023-03-31,3M,EUR,,215592593.0,0.027,,,,215592593.0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335000.0,-335000.0,,,,,,,,-335000.0,-335000.0
ASC.MI,2023-06-30,3M,EUR,9451000.0,,,13108000.0,11708000.0,2257000.0,,,6250000.0,11764000.0,23472000.0,30069000.0,2274000.0,2274000.0,1480000.0,1480000.0,-1646000.0,6250000.0,6250000.0,7884000.0,12000.0,6250000.0,6238000.0,7896000.0,-1086000.0,-1086000.0,23472000.0,6238000.0,23242000.0,6827000.0,43177000.0,6334000.0,0.0,9490000.0,13108000.0,11708000.0,,,0.0,1607000.0,0.169336,36350000.0,6120000.0,292000.0,43177000.0,,
ASC.MI,2023-09-30,3M,EUR,9708000.0,,,12236000.0,12004000.0,2296000.0,,,810000.0,4915000.0,16919000.0,29021000.0,3943000.0,3943000.0,59000.0,59000.0,-96000.0,810000.0,810000.0,905000.0,0.0,810000.0,810000.0,906000.0,-4484000.0,-4484000.0,16919000.0,810000.0,24390000.0,4631000.0,41257000.0,6824000.0,0.0,972000.0,12236000.0,12004000.0,,,0.0,66000.0,0.067901,36626000.0,5340000.0,600000.0,41257000.0,,
ASC.MI,2023-09-30,TTM,EUR,,218489658.0,0.092,,,,218489658.0,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2023-12-31,3M,EUR,10078000.0,,,14666000.0,12797000.0,2719000.0,,,23295000.0,27665000.0,40462000.0,40975000.0,2792000.0,2792000.0,206000.0,206000.0,1053000.0,23295000.0,23295000.0,22243000.0,0.0,23295000.0,23295000.0,22242000.0,-3936000.0,-3936000.0,40462000.0,23295000.0,13307000.0,27668000.0,55641000.0,10015000.0,0.0,24873000.0,14666000.0,12797000.0,,,0.0,2630000.0,0.105737,27973000.0,26152000.0,1350000.0,55641000.0,,
ASC.MI,2023-12-31,TTM,EUR,,216709997.0,0.167,,,,216709997.0,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2024-03-31,3M,EUR,9742000.0,218200000.0,0.03,12718000.0,12450000.0,2708000.0,218200000.0,0.03,6546000.0,13101000.0,25551000.0,34724000.0,3914000.0,3914000.0,175000.0,175000.0,-146000.0,6546000.0,6546000.0,6692000.0,0.0,6546000.0,6546000.0,6692000.0,-4467000.0,-4467000.0,25895000.0,6796576.684445,23503000.0,11221000.0,47442000.0,6368000.0,0.0,9187000.0,12718000.0,12450000.0,344000.0,-344000.0,-93423.315555,2495000.0,0.271579,36221000.0,10875000.0,728000.0,47442000.0,-344000.0,-344000.0
ASC.MI,2024-03-31,TTM,EUR,,217361849.0,0.17,,,,217361849.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC.MI,2024-06-30,3M,EUR,9888000.0,,,14195000.0,12548000.0,2660000.0,,,11299000.0,18033000.0,30581000.0,37455000.0,2699000.0,2699000.0,200000.0,200000.0,-537000.0,11299000.0,11299000.0,11835000.0,0.0,11299000.0,11299000.0,11835000.0,-2984000.0,-2984000.0,30961000.0,11592314.20373,24239000.0,13216000.0,51650000.0,6789000.0,0.0,15334000.0,14195000.0,12548000.0,380000.0,-380000.0,-86685.79627,3498000.0,0.228121,38434000.0,12836000.0,485000.0,51650000.0,-380000.0,-380000.0
ASC.MI,2024-06-30,TTM,EUR,39416000.0,216718765.0,0.193641,53815000.0,49799000.0,10383000.0,217744187.0,0.193299,41950000.0,63714000.0,113513000.0,142175000.0,13348000.0,13348000.0,640000.0,640000.0,274000.0,41950000.0,41950000.0,41675000.0,0.0,41950000.0,41950000.0,41675000.0,-15871000.0,-15871000.0,115042000.0,43215221.240519,85439000.0,56736000.0,195990000.0,29996000.0,0.0,50366000.0,53815000.0,49799000.0,1529000.0,-1529000.0,-263778.759481,8689000.0,0.172517,139254000.0,55203000.0,3163000.0,195990000.0,-1529000.0,-1529000.0
