symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
MOL.MI,2022-09-30,TTM,EUR,,,64337000.0,20553000.0,5577000.0,,,22347000.0,62751000.0,83304000.0,245002000.0,0.0,,,,,-817000.0,22347000.0,22347000.0,23164000.0,22347000.0,22347000.0,23164000.0,,,80506000.0,20668200.0,177593000.0,67409000.0,309339000.0,56186000.0,0.0,70651000.0,64337000.0,20553000.0,0.0,1119200.0,47487000.0,0.4,241930000.0,70389000.0,309339000.0,2798000.0,2798000.0
MOL.MI,2022-12-31,3M,EUR,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
MOL.MI,2023-03-31,3M,EUR,37490944.0,0.250994,70412000.0,6258000.0,6258000.0,37490944.0,0.250994,9410000.0,16528000.0,22786000.0,23499000.0,,3344000.0,3344000.0,17000.0,17000.0,-122000.0,9410000.0,9410000.0,9532000.0,9410000.0,9410000.0,9532000.0,-3327000.0,-3327000.0,23449000.0,9889347.390777,6325000.0,17174000.0,93911000.0,2985000.0,0.0,13184000.0,70412000.0,6258000.0,,-183652.609223,3652000.0,0.277002,76737000.0,17174000.0,93911000.0,-663000.0,-663000.0
MOL.MI,2023-06-30,3M,EUR,,,-18877000.0,11353000.0,-2178000.0,,,9208000.0,17446000.0,28799000.0,122062000.0,,4410000.0,4410000.0,4622000.0,4622000.0,-217000.0,9208000.0,9208000.0,9425000.0,9208000.0,9208000.0,9425000.0,212000.0,212000.0,33594000.0,12674774.700828,104482000.0,17580000.0,103185000.0,24085000.0,0.0,13036000.0,-18877000.0,11353000.0,,-1328225.299172,3611000.0,0.277002,85605000.0,17580000.0,103185000.0,-4795000.0,-4795000.0
MOL.MI,2023-09-30,3M,EUR,37316948.0,0.300587,67499000.0,8757000.0,8757000.0,37316948.0,0.300587,11217000.0,19474000.0,28231000.0,27108000.0,,3828000.0,3828000.0,1811000.0,1811000.0,-95000.0,11217000.0,11217000.0,11312000.0,11217000.0,11217000.0,11312000.0,-2017000.0,-2017000.0,26916000.0,10266259.874728,10758000.0,16350000.0,94607000.0,3954000.0,0.0,15646000.0,67499000.0,8757000.0,,364259.874728,4334000.0,0.277004,78257000.0,16350000.0,94607000.0,1315000.0,1315000.0
MOL.MI,2023-09-30,TTM,EUR,37316948.0,1.034849,,,,37316948.0,1.014849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL.MI,2023-12-31,3M,EUR,,,-113736000.0,18735000.0,-18963000.0,,,4856000.0,-2670000.0,16065000.0,226220000.0,,-10876000.0,-10876000.0,,,-236000.0,4856000.0,4856000.0,5092000.0,4856000.0,4856000.0,5092000.0,10423000.0,10423000.0,16322000.0,5015474.043383,228323000.0,-2103000.0,112484000.0,50329000.0,0.0,8206000.0,-113736000.0,18735000.0,,-97525.956617,3114000.0,0.379478,114587000.0,11997000.0,112484000.0,-257000.0,-257000.0
MOL.MI,2023-12-31,TTM,EUR,37302151.0,0.93,,,,38121978.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL.MI,2024-03-31,3M,EUR,37428260.0,0.288044,76803000.0,11697000.0,11697000.0,37428260.0,0.288044,10781000.0,19827000.0,31524000.0,29545000.0,,4306000.0,4306000.0,4776000.0,4776000.0,-180000.0,10781000.0,10781000.0,10961000.0,10781000.0,10781000.0,10961000.0,470000.0,470000.0,31864000.0,11021109.529025,14154000.0,15391000.0,106348000.0,4774000.0,0.0,15521000.0,76803000.0,11697000.0,,-99890.470975,4560000.0,0.293796,90957000.0,15391000.0,106348000.0,-340000.0,-340000.0
MOL.MI,2024-03-31,TTM,EUR,37428260.0,0.96705,104345000.0,50542000.0,12844000.0,37428260.0,0.94705,36062000.0,54077000.0,104619000.0,312279000.0,,1668000.0,1668000.0,,,-728000.0,36062000.0,36062000.0,36790000.0,36062000.0,36062000.0,36790000.0,9088000.0,9088000.0,108696000.0,38923967.028564,265061000.0,47218000.0,416624000.0,61718000.0,0.0,52409000.0,104345000.0,50542000.0,,-1215032.971436,15619000.0,0.298021,369406000.0,61318000.0,416624000.0,-4077000.0,-4077000.0
