symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
MAIRE.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9309000.0,,,,
MAIRE.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,-408000.0,-408000.0,,,,,,,,,,,,,,,,,,,,,,,,,43711000.0,,,,,
MAIRE.MI,2023-03-31,3M,EUR,326818182.0,0.077,726563000.0,12070000.0,12070000.0,326818182.0,0.077,25165000.0,61461000.0,73531000.0,224915000.0,23920000.0,23920000.0,14622000.0,14622000.0,-1076000.0,25165000.0,25165000.0,26241000.0,25165000.0,25165000.0,26241000.0,-9298000.0,-9298000.0,73565000.0,25188766.0,178988000.0,45927000.0,951478000.0,26477000.0,0.0,37541000.0,726563000.0,12070000.0,-34000.0,-10234.0,11300000.0,0.301,905551000.0,45892000.0,,951478000.0,-34000.0,-34000.0,34000.0
MAIRE.MI,2023-06-30,3M,EUR,,,758779000.0,12691000.0,4045000.0,,,26403000.0,21854000.0,34545000.0,248130000.0,-17966000.0,-17966000.0,,,-1343000.0,26403000.0,26403000.0,27746000.0,26403000.0,26403000.0,27746000.0,-12333000.0,-12333000.0,35496000.0,27065643.043697,162288000.0,85842000.0,1006909000.0,-8366000.0,0.0,39820000.0,758779000.0,12691000.0,-2657000.0,-288356.956303,12074000.0,0.303214,921067000.0,,,1006909000.0,-951000.0,-951000.0,1382000.0
MAIRE.MI,2023-09-30,3M,EUR,,,884774000.0,12972000.0,21618000.0,,,30630000.0,99632000.0,112604000.0,235703000.0,49880000.0,49880000.0,,,-4008000.0,30630000.0,30630000.0,34638000.0,30630000.0,30630000.0,34638000.0,-9129000.0,-9129000.0,113037000.0,30931460.323203,209274000.0,26429000.0,1120477000.0,74214000.0,0.0,49752000.0,884774000.0,12972000.0,1273000.0,-131539.676797,15114000.0,0.303787,1094048000.0,,,1120477000.0,-433000.0,-433000.0,2000.0
MAIRE.MI,2023-09-30,TTM,EUR,329153361.0,0.338,,,,329153361.0,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIRE.MI,2023-12-31,3M,EUR,,,900923000.0,17971000.0,-4942000.0,,,43158000.0,18236000.0,37046000.0,251934000.0,-40866000.0,-40866000.0,-7049000.0,-7049000.0,2275000.0,43158000.0,43158000.0,40883000.0,43158000.0,43158000.0,40883000.0,-19092000.0,-19092000.0,17229000.0,29449861.34141,193999000.0,57935000.0,1152857000.0,-28695000.0,0.0,59102000.0,900923000.0,18810000.0,-847000.0,6108861.34141,18219000.0,0.308264,1094922000.0,,,1152857000.0,19817000.0,19817000.0,852000.0
MAIRE.MI,2023-12-31,TTM,EUR,328517346.0,0.382,,,,328517346.0,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIRE.MI,2024-03-31,3M,EUR,326731343.0,0.134,998713000.0,14969000.0,14969000.0,326731343.0,0.134,43782000.0,83904000.0,98873000.0,245782000.0,16812000.0,16812000.0,17071000.0,17071000.0,-2838000.0,43782000.0,43782000.0,46620000.0,43782000.0,43782000.0,46620000.0,259000.0,259000.0,99156000.0,43978685.0,178657000.0,67125000.0,1244495000.0,25098000.0,0.0,67092000.0,998713000.0,14969000.0,-283000.0,-86315.0,20474000.0,0.305,1177370000.0,66842000.0,,1244495000.0,-283000.0,-283000.0,283000.0
MAIRE.MI,2024-03-31,TTM,EUR,328495636.0,0.439,3543189000.0,58603000.0,35690000.0,328495636.0,0.439,143973000.0,223626000.0,283068000.0,981549000.0,7860000.0,7860000.0,20474000.0,20474000.0,-5914000.0,143973000.0,143973000.0,149887000.0,143973000.0,143973000.0,149887000.0,-40295000.0,-40295000.0,264918000.0,131364837.68527,744218000.0,237331000.0,4524738000.0,62251000.0,0.0,215766000.0,3543189000.0,59442000.0,-2514000.0,5541837.68527,65881000.0,0.305335,4287407000.0,237490000.0,,4524738000.0,18150000.0,18150000.0,2519000.0
