symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
IGV.MI,2023-01-31,3M,EUR,47597000.0,-0.02,,,,47597000.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-747000.0,,,
IGV.MI,2023-04-30,3M,EUR,,,6805000.0,580000.0,580000.0,,,-2421000.0,-2906000.0,-2326000.0,-750000.0,-349000.0,-349000.0,37000.0,37000.0,94000.0,-2421000.0,-2421000.0,-2515000.0,-2421000.0,-2421000.0,-2515000.0,386000.0,386000.0,-2326000.0,-2421000.0,2193000.0,-2943000.0,6055000.0,1613000.0,0.0,-2557000.0,6805000.0,580000.0,0.0,-42000.0,0.016425,8998000.0,,6055000.0,,
IGV.MI,2023-07-31,3M,EUR,,,15635000.0,722000.0,722000.0,,,1664000.0,1927000.0,2649000.0,4521000.0,106000.0,106000.0,202000.0,202000.0,-122000.0,1664000.0,1664000.0,1786000.0,1664000.0,1664000.0,1786000.0,96000.0,96000.0,2649000.0,1664000.0,2796000.0,1725000.0,20156000.0,2074000.0,0.0,1821000.0,15635000.0,722000.0,0.0,35000.0,0.01922,18431000.0,,20156000.0,,
IGV.MI,2023-07-31,TTM,EUR,47597000.0,0.056281,,,,47597000.0,0.056281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGV.MI,2023-10-31,3M,EUR,,,15778000.0,918000.0,918000.0,,,4638000.0,5013000.0,5931000.0,11122000.0,-255000.0,-255000.0,-27000.0,-27000.0,-183000.0,4638000.0,4638000.0,4821000.0,4638000.0,4638000.0,4821000.0,-46000.0,-46000.0,5931000.0,4638000.0,5415000.0,5707000.0,26900000.0,-1258000.0,0.0,5268000.0,15778000.0,918000.0,0.0,447000.0,0.084852,21193000.0,5235000.0,26900000.0,,
IGV.MI,2023-10-31,TTM,EUR,45400000.0,0.06,,,,45400000.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGV.MI,2024-01-31,3M,EUR,47597000.0,-0.02,6529000.0,670000.0,670000.0,47597000.0,-0.02,-1179000.0,-1223000.0,-553000.0,990000.0,73000.0,73000.0,281000.0,281000.0,101000.0,-1179000.0,-1179000.0,-1280000.0,-1179000.0,-1179000.0,-1280000.0,208000.0,208000.0,-553000.0,-1179000.0,2493000.0,-1503000.0,7519000.0,1374000.0,0.0,-1296000.0,6529000.0,670000.0,0.0,-16000.0,0.012346,9022000.0,-1504000.0,7519000.0,,
IGV.MI,2024-01-31,TTM,EUR,47597000.0,0.06,,,,47597000.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGV.MI,2024-04-30,3M,EUR,,,8132000.0,499000.0,499000.0,,,-2548000.0,-2283000.0,-1784000.0,-1528000.0,411000.0,411000.0,729000.0,729000.0,133000.0,-2548000.0,-2548000.0,-2681000.0,-2548000.0,-2548000.0,-2681000.0,318000.0,318000.0,-1784000.0,-2548000.0,1485000.0,-3013000.0,6604000.0,1435000.0,0.0,-2694000.0,8132000.0,499000.0,0.0,-13000.0,0.004826,9617000.0,-3012000.0,6604000.0,,
IGV.MI,2024-04-30,TTM,EUR,47597000.0,0.06,46074000.0,2809000.0,2809000.0,47597000.0,0.06,2575000.0,3434000.0,6243000.0,15105000.0,335000.0,335000.0,1185000.0,1185000.0,-71000.0,2575000.0,2575000.0,2646000.0,2575000.0,2575000.0,2646000.0,576000.0,576000.0,6524000.0,2814924.491772,12189000.0,2916000.0,61179000.0,3625000.0,0.0,3099000.0,46074000.0,2809000.0,-41075.508228,453000.0,0.146176,58263000.0,2444000.0,61179000.0,-281000.0,-281000.0
