symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
CLE.MI,2020-03-31,TTM,EUR,,,50303000.0,,,,,,,,26531000.0,,,,,,,,,,,,,,,,,,,50303000.0,,,,,,,,,
CLE.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-48951000.0,,,,,47139000.0,,,,,,47086000.0,47086000.0
CLE.MI,2023-03-31,3M,EUR,276524556.0,-0.00222,,1973000.0,1973000.0,276524556.0,-0.00222,-614000.0,253000.0,2226000.0,,-337000.0,-614000.0,-614000.0,-277000.0,-614000.0,-614000.0,-277000.0,-530000.0,-530000.0,2226000.0,-614000.0,18205000.0,253000.0,18458000.0,17800000.0,73000.0,0.0,-277000.0,,1973000.0,-73000.0,0.0,0.0,18205000.0,253000.0,18458000.0,-73000.0,-73000.0
CLE.MI,2023-06-30,3M,EUR,,,,1404000.0,-208000.0,,,237000.0,734000.0,2138000.0,,-76000.0,237000.0,237000.0,313000.0,237000.0,237000.0,313000.0,-631000.0,-631000.0,2098000.0,206600.0,-2184000.0,-1143000.0,20569000.0,-14104000.0,-2382000.0,0.0,575000.0,,1404000.0,73000.0,9600.0,0.24,21712000.0,1239000.0,20569000.0,40000.0,40000.0
CLE.MI,2023-09-30,3M,EUR,,,,3312000.0,4924000.0,,,740000.0,1402000.0,4714000.0,,261000.0,740000.0,740000.0,479000.0,740000.0,740000.0,479000.0,-786000.0,-786000.0,4714000.0,740000.0,40936000.0,3279000.0,20319000.0,48140000.0,,0.0,217000.0,,3312000.0,,0.0,0.24,17040000.0,970000.0,20319000.0,,
CLE.MI,2023-09-30,TTM,EUR,276524556.0,0.085204,,,,276524556.0,0.085204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE.MI,2023-12-31,3M,EUR,,,,411000.0,-3122000.0,,,665000.0,1910000.0,2321000.0,,-680000.0,665000.0,665000.0,1345000.0,665000.0,665000.0,1345000.0,-806000.0,-806000.0,2321000.0,665000.0,-36623000.0,1207000.0,12600000.0,-51047000.0,,0.0,2171000.0,,411000.0,,0.0,0.24,11393000.0,3050000.0,12600000.0,,
CLE.MI,2023-12-31,TTM,EUR,276524556.0,0.003718,,,,276524556.0,0.003718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE.MI,2024-03-31,3M,EUR,276524556.0,-0.002611,,2008000.0,2008000.0,276524556.0,-0.002611,-722000.0,321000.0,2329000.0,,3000.0,-722000.0,-722000.0,-725000.0,-722000.0,-722000.0,-725000.0,-1046000.0,-1046000.0,2329000.0,-722000.0,17978000.0,321000.0,18299000.0,17654000.0,,0.0,-725000.0,,2008000.0,,0.0,0.0,17978000.0,321000.0,18299000.0,,
CLE.MI,2024-03-31,TTM,EUR,276524556.0,0.003327,,7135000.0,3602000.0,276524556.0,0.003327,920000.0,4440000.0,11575000.0,,-492000.0,920000.0,920000.0,1412000.0,920000.0,920000.0,1412000.0,-3269000.0,-3269000.0,9833000.0,-403920.0,21155000.0,3737000.0,72908000.0,123000.0,,0.0,2238000.0,,7135000.0,,418080.0,0.24,69171000.0,5580000.0,72908000.0,1742000.0,1742000.0
