symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
AIM.MI,2019-12-31,12M,EUR,49650.0,-8.738328,,49650.0,-8.738328,,,,,,422428.0,,,,,,,,,,,,,,,,,,,,,,,,,,-422428.0,,,,,,,,,
AIM.MI,2020-12-31,12M,EUR,49695.0,-37.042278,624684.0,49695.0,-37.042278,-1840816.0,-1830079.0,-1830079.0,337126.0,1346712.0,,14449.0,14449.0,1333.0,1333.0,3712.0,-1840816.0,-1840816.0,-1844528.0,-1840816.0,-1840816.0,-1844528.0,-14825.0,-14825.0,236868.0,226131.0,1146090.0,200622.0,1971396.0,36622.0,195049.0,,0.0,-1844528.0,624684.0,337126.0,,0.0,,0.0,1770774.0,-1705711.0,376.0,1971396.0,-2066947.0,-2066947.0
AIM.MI,2021-12-31,12M,EUR,49695.0,84.106671,614395.0,49695.0,84.106671,4179681.0,4487893.0,4487893.0,-2221.0,5884923.0,505040.0,19922.0,19922.0,,,-8428.0,4179681.0,4179681.0,4188109.0,4179681.0,4179681.0,4188109.0,-20246.0,-20246.0,4991871.0,4652091.138204,887934.0,4996989.0,6499318.0,-4794.0,3705.0,-1062.0,0.0,4467971.0,614395.0,-2221.0,-503978.0,-31567.861796,279862.0,0.062637,1502329.0,4481868.0,324.0,6499318.0,-503978.0,-503978.0
AIM.MI,2022-12-31,12M,EUR,49745.0,-96.19222,760621.0,49745.0,-96.19222,-4785082.0,-4793328.0,-4793328.0,226178.0,-3590273.0,258940.0,9783.0,9783.0,23.0,23.0,9640.0,-4785082.0,-4785082.0,-4794722.0,-4785082.0,-4785082.0,-4794722.0,-10074.0,-10074.0,-4533285.0,-4525493.18495,887787.0,-4478060.0,-2829652.0,-37902.0,30517.0,1103.0,0.0,-4803111.0,760621.0,226178.0,-260043.0,-454.18495,-8389.0,0.001747,1648408.0,-4771621.0,314.0,-2829652.0,-260043.0,-260043.0
AIM.MI,2023-09-30,TTM,EUR,49745.0,-58.076057,,49745.0,-58.076057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2023-12-31,12M,EUR,,,759864.0,,,-5918963.0,-5937804.0,-5937804.0,47740.0,-4303103.0,259433.0,62.0,62.0,,,11923.0,-5918963.0,-5918963.0,-5930886.0,-5918963.0,-5918963.0,-5930886.0,-398.0,-398.0,-5678464.0,-5659927.855852,653382.0,-4956485.0,-3543239.0,9222.0,6264.0,-93.0,0.0,-5937866.0,759864.0,47740.0,-259340.0,-304.855852,-6980.0,0.001176,1413246.0,-5995588.0,336.0,-3543239.0,-259340.0,-259340.0
AIM.MI,2023-12-31,TTM,EUR,49745.0,-118.986089,,49745.0,-118.986089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2024-03-31,TTM,EUR,49745.0,-138.218816,630879.0,49745.0,-138.218816,-6875695.0,-6895354.0,-6895354.0,,-4333291.0,200957.0,-757.0,-757.0,,,,-6875695.0,-6875695.0,-6887618.0,-6875695.0,-6875695.0,-6887618.0,1992.0,1992.0,-5981275.0,-5961616.0,624169.0,-4957460.0,-3702412.0,-294185.0,33297.0,,0.0,-6894597.0,630879.0,,-200864.0,0.0,,0.0,1255048.0,-6708959.0,,-3702412.0,-914079.0,-914079.0
AIM.MI,2019-12-31 00:00:00,12M,EUR,49650.0,-8.738328,,49650.0,-8.738328,,,,,,422428.0,,,,,,,,,,,,,,,,,,,,,,,,,,-422428.0,,,,,,,,,
AIM.MI,2020-12-31 00:00:00,12M,EUR,49695.0,-37.042278,624684.0,49695.0,-37.042278,-1840816.0,-1830079.0,-1830079.0,337126.0,1346712.0,,14449.0,14449.0,1333.0,1333.0,3712.0,-1840816.0,-1840816.0,-1844528.0,-1840816.0,-1840816.0,-1844528.0,-14825.0,-14825.0,236868.0,226131.0,1146090.0,200622.0,1971396.0,36622.0,195049.0,,0.0,-1844528.0,624684.0,337126.0,,0.0,,0.0,1770774.0,-1705711.0,376.0,1971396.0,-2066947.0,-2066947.0
