symbol,asOfDate,periodType,currencyCode,NetIncome
AIM.MI,2023-03-31,3M,EUR,-1035936.0
AIM.MI,2023-06-30,3M,EUR,-904924.0
AIM.MI,2023-09-30,3M,EUR,-2210615.0
AIM.MI,2023-12-31,3M,EUR,-1767488.0
AIM.MI,2024-03-31,3M,EUR,-1992668.0
AIM.MI,2024-03-31,TTM,EUR,-6875695.0
AIM.MI,2023-03-31 00:00:00,3M,EUR,-1035936.0
AIM.MI,2023-06-30 00:00:00,3M,EUR,-904924.0
AIM.MI,2023-09-30 00:00:00,3M,EUR,-2210615.0
AIM.MI,2023-12-31 00:00:00,3M,EUR,-1767488.0
AIM.MI,2024-03-31 00:00:00,3M,EUR,-1992668.0
AIM.MI,2024-03-31 00:00:00,TTM,EUR,-6875695.0
