symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
AIM.MI,2022-12-31,3M,EUR,,,,,,,,,,,-5959.0,-5959.0,,,,,,,,,,,,,,,,,-661342.0,,,,,,,,,,,
AIM.MI,2023-03-31,3M,EUR,49745.0,-20.824927,267132.0,49745.0,-20.824927,-1035936.0,-1035070.0,-1035070.0,-269467.0,81790.0,866.0,866.0,60.0,60.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-806.0,-806.0,-291600.0,-292466.0,320487.0,-589954.0,-2335.0,298294.0,104914.0,0.0,-1035936.0,267132.0,-81790.0,0.0,0.0,587619.0,-1252500.0,-2335.0,-743470.0,-743470.0
AIM.MI,2023-06-30,3M,EUR,,,239058.0,,,-904924.0,-102485.0,-102485.0,-303583.0,81790.0,,,37.0,37.0,-904924.0,-904924.0,-909375.0,-904924.0,-904924.0,-909375.0,-64.0,-64.0,252067.0,-550372.0,244018.0,-547601.0,-64525.0,-7251.0,,0.0,-909375.0,239058.0,-81790.0,0.0,0.0,483076.0,-820371.0,-64525.0,-354552.0,-354552.0
AIM.MI,2023-09-30,3M,EUR,,,216906.0,,,-2210615.0,348731.0,348731.0,558957.0,81790.0,,,651.0,651.0,-2210615.0,-2210615.0,-2206164.0,-2210615.0,-2210615.0,-2206164.0,1618.0,1618.0,2890745.0,331399.0,210226.0,348731.0,775863.0,-14406.0,,0.0,-2206164.0,216906.0,-81790.0,0.0,0.0,427132.0,-2110595.0,775863.0,-2542014.0,-2542014.0
AIM.MI,2023-09-30,TTM,EUR,49745.0,-58.076057,,49745.0,-58.076057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2023-12-31,3M,EUR,,,36768.0,,,-1767488.0,-5148980.0,-5148980.0,-4289010.0,14063.0,,,,,-1767488.0,-1767488.0,-1779411.0,-1767488.0,-1767488.0,-1779411.0,-1146.0,-1146.0,-8529676.0,-5148184.0,-121349.0,-4167661.0,-4252242.0,-267415.0,-524034.0,0.0,-1786391.0,36768.0,-13970.0,0.0,0.0,-84581.0,-1812122.0,-4252242.0,3380696.0,3380696.0
AIM.MI,2023-12-31,TTM,EUR,49745.0,-118.986089,,49745.0,-118.986089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2024-03-31,3M,EUR,49745.0,-40.057654,138147.0,49745.0,-40.057654,-1992668.0,-1992620.0,-1992620.0,-299655.0,23314.0,47.0,47.0,1631.0,1631.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,1584.0,1584.0,-594411.0,-594459.0,291274.0,-590929.0,-161508.0,-5113.0,131947.0,0.0,-1992667.0,138147.0,-23314.0,0.0,0.0,429421.0,-1965871.0,-161508.0,-1398209.0,-1398209.0
AIM.MI,2024-03-31,TTM,EUR,49745.0,-138.218816,630879.0,49745.0,-138.218816,-6875695.0,-6895354.0,-6895354.0,-4333291.0,200957.0,-757.0,-757.0,,,-6875695.0,-6875695.0,-6887618.0,-6875695.0,-6875695.0,-6887618.0,1992.0,1992.0,-5981275.0,-5961616.0,624169.0,-4957460.0,-3702412.0,-294185.0,33297.0,0.0,-6894597.0,630879.0,-200864.0,0.0,0.0,1255048.0,-6708959.0,-3702412.0,-914079.0,-914079.0
AIM.MI,2022-12-31 00:00:00,3M,EUR,,,,,,,,,,,-5959.0,-5959.0,,,,,,,,,,,,,,,,,-661342.0,,,,,,,,,,,
AIM.MI,2023-03-31 00:00:00,3M,EUR,49745.0,-20.824927,267132.0,49745.0,-20.824927,-1035936.0,-1035070.0,-1035070.0,-269467.0,81790.0,866.0,866.0,60.0,60.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-806.0,-806.0,-291600.0,-292466.0,320487.0,-589954.0,-2335.0,298294.0,104914.0,0.0,-1035936.0,267132.0,-81790.0,0.0,0.0,587619.0,-1252500.0,-2335.0,-743470.0,-743470.0
AIM.MI,2023-06-30 00:00:00,3M,EUR,,,239058.0,,,-904924.0,-102485.0,-102485.0,-303583.0,81790.0,,,37.0,37.0,-904924.0,-904924.0,-909375.0,-904924.0,-904924.0,-909375.0,-64.0,-64.0,252067.0,-550372.0,244018.0,-547601.0,-64525.0,-7251.0,,0.0,-909375.0,239058.0,-81790.0,0.0,0.0,483076.0,-820371.0,-64525.0,-354552.0,-354552.0
AIM.MI,2023-09-30 00:00:00,3M,EUR,,,216906.0,,,-2210615.0,348731.0,348731.0,558957.0,81790.0,,,651.0,651.0,-2210615.0,-2210615.0,-2206164.0,-2210615.0,-2210615.0,-2206164.0,1618.0,1618.0,2890745.0,331399.0,210226.0,348731.0,775863.0,-14406.0,,0.0,-2206164.0,216906.0,-81790.0,0.0,0.0,427132.0,-2110595.0,775863.0,-2542014.0,-2542014.0
AIM.MI,2023-09-30 00:00:00,TTM,EUR,49745.0,-58.076057,,49745.0,-58.076057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2023-12-31 00:00:00,3M,EUR,,,36768.0,,,-1767488.0,-5148980.0,-5148980.0,-4289010.0,14063.0,,,,,-1767488.0,-1767488.0,-1779411.0,-1767488.0,-1767488.0,-1779411.0,-1146.0,-1146.0,-8529676.0,-5148184.0,-121349.0,-4167661.0,-4252242.0,-267415.0,-524034.0,0.0,-1786391.0,36768.0,-13970.0,0.0,0.0,-84581.0,-1812122.0,-4252242.0,3380696.0,3380696.0
AIM.MI,2023-12-31 00:00:00,TTM,EUR,49745.0,-118.986089,,49745.0,-118.986089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM.MI,2024-03-31 00:00:00,3M,EUR,49745.0,-40.057654,138147.0,49745.0,-40.057654,-1992668.0,-1992620.0,-1992620.0,-299655.0,23314.0,47.0,47.0,1631.0,1631.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,1584.0,1584.0,-594411.0,-594459.0,291274.0,-590929.0,-161508.0,-5113.0,131947.0,0.0,-1992667.0,138147.0,-23314.0,0.0,0.0,429421.0,-1965871.0,-161508.0,-1398209.0,-1398209.0
AIM.MI,2024-03-31 00:00:00,TTM,EUR,49745.0,-138.218816,630879.0,49745.0,-138.218816,-6875695.0,-6895354.0,-6895354.0,-4333291.0,200957.0,-757.0,-757.0,,,-6875695.0,-6875695.0,-6887618.0,-6875695.0,-6875695.0,-6887618.0,1992.0,1992.0,-5981275.0,-5961616.0,624169.0,-4957460.0,-3702412.0,-294185.0,33297.0,0.0,-6894597.0,630879.0,-200864.0,0.0,0.0,1255048.0,-6708959.0,-3702412.0,-914079.0,-914079.0
