symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
UNIR.MI,2020-02-29,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11309000.0,11309000.0,,,,,,,,,,,,,,0.0
UNIR.MI,2020-02-29,TTM,EUR,6665000.0,,,,,,,,,,,34558000.0,,440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,11309000.0,11309000.0,8162000.0,64685000.0,99243000.0,-8354000.0,,,,,,11841000.0,,-8354000.0,-8354000.0,-248000.0
UNIR.MI,2021-02-28,12M,EUR,7124000.0,20016000.0,2.68,2212387000.0,90195000.0,83071000.0,20016000.0,2.68,53550000.0,60922000.0,151117000.0,48541000.0,472837000.0,991000.0,2007000.0,2007000.0,1000.0,1000.0,53550000.0,53550000.0,53550000.0,,53550000.0,53550000.0,53550000.0,-13289000.0,-13289000.0,160241000.0,61843716.0,392305000.0,80532000.0,2685224000.0,796000.0,19726000.0,-109000.0,0.0,58915000.0,2212387000.0,90195000.0,,,8242000.0,65562000.0,114103000.0,-9124000.0,-830284.0,5365000.0,0.091,2604692000.0,72204000.0,11283000.0,2685224000.0,-9124000.0,-9124000.0,0.0
UNIR.MI,2022-02-28,12M,EUR,9599000.0,20421000.0,2.18,2415599000.0,96905000.0,87306000.0,20421000.0,2.18,44601000.0,45598000.0,142503000.0,79106000.0,534125000.0,628000.0,871000.0,871000.0,2000.0,2000.0,44601000.0,44601000.0,44601000.0,,44601000.0,44601000.0,44601000.0,-12805000.0,-12805000.0,152427000.0,54497043.195385,467414000.0,66711000.0,2949724000.0,745000.0,21026000.0,-293000.0,0.0,44727000.0,2415599000.0,96905000.0,,,9589000.0,71949000.0,151055000.0,-9924000.0,-27956.804615,126000.0,0.002817,2883013000.0,57532000.0,11936000.0,2949724000.0,-9924000.0,-9924000.0,
UNIR.MI,2023-02-28,12M,EUR,12360000.0,20099000.0,0.65,2309700000.0,106341000.0,93981000.0,20099000.0,0.51,10193000.0,14582000.0,121013000.0,79912000.0,501469000.0,0.0,136000.0,136000.0,237000.0,237000.0,10193000.0,10193000.0,12970000.0,-2777000.0,10193000.0,12970000.0,10193000.0,-13025000.0,-13025000.0,130165000.0,21188496.0,465430000.0,36039000.0,2811169000.0,865000.0,22222000.0,-561000.0,0.0,14446000.0,2309700000.0,106431000.0,,,9713000.0,60360000.0,140272000.0,-9152000.0,-933504.0,1476000.0,0.102,2775130000.0,27472000.0,13126000.0,2811169000.0,-9152000.0,-9152000.0,
UNIR.MI,2023-08-31,TTM,EUR,,20215000.0,0.103,,,,20215000.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2023-11-30,TTM,EUR,,20098621.0,-0.475043,,,,20098621.0,-0.475043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2024-02-29,12M,EUR,15425000.0,20329000.0,-0.86,2163867000.0,107623000.0,92198000.0,20329000.0,-0.86,-17395000.0,8941000.0,116564000.0,63719000.0,471067000.0,2062000.0,1150000.0,1150000.0,1221000.0,1221000.0,-17395000.0,-17395000.0,-1629000.0,-15766000.0,-17395000.0,-1629000.0,-17395000.0,-10216000.0,-10216000.0,127807000.0,6915680.0,442445000.0,28622000.0,2634934000.0,628000.0,23319000.0,-40000.0,0.0,7791000.0,2163867000.0,107623000.0,,,9221000.0,50652000.0,114371000.0,-11243000.0,-2698320.0,9420000.0,0.24,2606312000.0,18007000.0,10287000.0,2634934000.0,-11243000.0,-11243000.0,
UNIR.MI,2024-02-29,TTM,EUR,,20329000.0,-0.86,,,,20329000.0,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2024-05-31,TTM,EUR,,20329845.0,-0.690895,2117732000.0,108698000.0,93273000.0,20329845.0,-0.690895,-14137000.0,12225000.0,120923000.0,,477323000.0,,1772000.0,1772000.0,821000.0,821000.0,-14137000.0,-14137000.0,1033000.0,-15158000.0,-14137000.0,1021000.0,-14125000.0,-11238000.0,-11238000.0,132166000.0,9565680.0,445171000.0,32152000.0,2595055000.0,782000.0,24343000.0,,0.0,10453000.0,2117732000.0,108605000.0,,,,,,,-2698320.0,,0.24,2562903000.0,21691000.0,,2595055000.0,-11243000.0,-11243000.0,
