symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
UNIR.MI,2020-02-29,TTM,EUR,6665000.0,,,,,,,,,,,34558000.0,,440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,11309000.0,11309000.0,8162000.0,64685000.0,99243000.0,-8354000.0,,,,,11841000.0,,-8354000.0,-8354000.0,-248000.0
UNIR.MI,2023-05-31,3M,EUR,,20098621.0,-0.777914,508316000.0,26298000.0,26298000.0,20098621.0,-0.777914,-15635000.0,-11677000.0,14714000.0,,65442000.0,,3037000.0,3037000.0,499000.0,499000.0,0.0,-15635000.0,-15635000.0,-14714000.0,-921000.0,-15635000.0,-14714000.0,-15635000.0,-2538000.0,-2538000.0,14714000.0,-14714000.0,77797000.0,-12355000.0,573758000.0,179000.0,836000.0,0.0,-14714000.0,508316000.0,26391000.0,,,,,,,0.0,0.0,586113000.0,-12176000.0,,573758000.0,,,
UNIR.MI,2023-08-31,3M,EUR,,,,486519000.0,27107000.0,19877000.0,,,8575000.0,3257000.0,30364000.0,,152120000.0,,-2638000.0,-2638000.0,233000.0,233000.0,,8575000.0,8575000.0,8575000.0,,8575000.0,8575000.0,8575000.0,-2852000.0,-2852000.0,30364000.0,8575000.0,138923000.0,13197000.0,638639000.0,185000.0,10237000.0,0.0,5895000.0,486519000.0,27107000.0,,,,,,,0.0,0.24,625442000.0,8747000.0,,638639000.0,,,
UNIR.MI,2023-08-31,TTM,EUR,,20215000.0,0.103,,,,20215000.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2023-11-30,3M,EUR,,,,675525000.0,26466000.0,33696000.0,,,-14303000.0,17021000.0,43487000.0,,23006000.0,,8518000.0,8518000.0,221000.0,221000.0,,-14303000.0,-14303000.0,5823000.0,,-14303000.0,5823000.0,-14303000.0,-2574000.0,-2574000.0,43487000.0,5823000.0,16661000.0,6345000.0,698531000.0,97000.0,-6869000.0,0.0,8503000.0,675525000.0,26466000.0,,,,,,,0.0,0.24,692186000.0,11077000.0,,698531000.0,,,
UNIR.MI,2023-11-30,TTM,EUR,,20098621.0,-0.475043,,,,20098621.0,-0.475043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2024-02-29,3M,EUR,,,,477747000.0,27659000.0,12234000.0,,,3967000.0,1246000.0,28905000.0,,230736000.0,,-7781000.0,-7781000.0,259000.0,259000.0,,3967000.0,3967000.0,-393000.0,4360000.0,3967000.0,-393000.0,3967000.0,-2247000.0,-2247000.0,28905000.0,-393000.0,208413000.0,22323000.0,708483000.0,194000.0,19109000.0,0.0,9027000.0,477747000.0,27659000.0,,,,,,,0.0,0.24,686160000.0,11274000.0,,708483000.0,,,
UNIR.MI,2024-02-29,TTM,EUR,,20329000.0,-0.86,,,,20329000.0,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIR.MI,2024-05-31,3M,EUR,,20329845.0,-0.608809,462181000.0,27373000.0,27373000.0,20329845.0,-0.608809,-12377000.0,-8393000.0,18980000.0,,71698000.0,,3659000.0,3659000.0,99000.0,99000.0,-12000.0,-12377000.0,-12377000.0,-12052000.0,-313000.0,-12377000.0,-12064000.0,-12365000.0,-3560000.0,-3560000.0,18980000.0,-12064000.0,80523000.0,-8825000.0,533879000.0,333000.0,1860000.0,0.0,-12052000.0,462181000.0,27373000.0,,,,,,,0.0,0.0,542704000.0,-8492000.0,,533879000.0,,,
UNIR.MI,2024-05-31,TTM,EUR,,20329845.0,-0.690895,2117732000.0,108698000.0,93273000.0,20329845.0,-0.690895,-14137000.0,12225000.0,120923000.0,,477323000.0,,1772000.0,1772000.0,821000.0,821000.0,,-14137000.0,-14137000.0,1033000.0,-15158000.0,-14137000.0,1021000.0,-14125000.0,-11238000.0,-11238000.0,132166000.0,9565680.0,445171000.0,32152000.0,2595055000.0,782000.0,24343000.0,0.0,10453000.0,2117732000.0,108605000.0,,,,,,,-2698320.0,0.24,2562903000.0,21691000.0,,2595055000.0,-11243000.0,-11243000.0,
