symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
BFF.MI,2021-09-30,TTM,EUR,,,,,,,,275292081.0,-9567231.0,76256792.0,12211505.0,39944804.0,231659313.0,275292081.0,275292081.0,275292081.0,,275292081.0,275292081.0,275292081.0,191714200.0,287374014.485905,146335684.0,436174445.1,6999669.0,278244424.0,,,76256792.0,-12211505.0,-129571.514095,2952343.0,0.010611,436174445.1,-12211505.0,-12211505.0
BFF.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5621000.0,,113482000.0,,,,,113482000.0,113482000.0
BFF.MI,2023-03-31,3M,EUR,1908368.0,184804207.0,0.261889,3039389.0,1131021.0,184804207.0,0.261889,48398109.0,-1006922.0,19712969.0,,62810633.0,125138085.0,48398109.0,48398109.0,48398109.0,0.0,48398109.0,48398109.0,48398109.0,62327452.0,48398109.0,44759891.0,111835472.0,-123838.0,66548341.0,3039389.0,3200000.0,19712969.0,-3200000.0,0.0,18150232.0,0.272738,111835472.0,-3200000.0,-3200000.0
BFF.MI,2023-06-30,3M,EUR,2019167.0,,,3219797.0,1200630.0,,,27748219.0,456457.0,21878031.0,,82875367.0,146172915.0,27748219.0,27748219.0,27748219.0,,27748219.0,27748219.0,27748219.0,63297412.0,26108053.713883,54128915.0,91129736.0,11560458.0,37354813.0,3219797.0,-2208000.0,21878031.0,2208000.0,567834.713883,9606594.0,0.257172,91129736.0,2208000.0,2208000.0
BFF.MI,2023-09-30,3M,EUR,2185211.0,,,3475515.0,1290304.0,,,38879822.0,447773.0,31042135.0,,93593412.0,162512302.0,38879822.0,38879822.0,38879822.0,,38879822.0,38879822.0,38879822.0,68919026.0,41148660.589466,40896374.0,96141156.0,-12745000.0,51546419.0,3475515.0,3008000.0,31042135.0,-3008000.0,-739161.410534,12666597.0,0.245732,96141156.0,-3008000.0,-3008000.0
BFF.MI,2023-09-30,TTM,EUR,,186163229.0,1.364501,,,186163229.0,1.294501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFF.MI,2023-12-31,3M,EUR,2138254.0,,,3320299.0,1182045.0,,,56635607.0,1800121.0,14648865.0,,105975588.0,195584698.0,56635607.0,56635607.0,56635607.0,0.0,56635607.0,56635607.0,56635607.0,89607860.0,58409811.562907,55562955.0,138696393.0,22533515.0,79548850.0,3320299.0,1192000.0,14648865.0,-2492000.0,-717795.437093,22913243.0,0.28804,138696393.0,-2492000.0,-2492000.0
BFF.MI,2023-12-31,TTM,EUR,,185626946.0,0.92,,,188195353.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFF.MI,2024-03-31,3M,EUR,2538460.0,186723190.0,0.210516,3661775.0,1123315.0,186723190.0,0.210516,39308287.0,397251.0,22565009.0,,100948076.0,162072332.0,39308287.0,39308287.0,39308287.0,0.0,39308287.0,39308287.0,39308287.0,61124255.0,39308287.0,47234673.0,98751324.0,-36218.0,52517621.0,3661775.0,,22565009.0,,0.0,13209333.0,0.251522,98751324.0,,
BFF.MI,2024-03-31,TTM,EUR,8881092.0,186723190.0,0.868628,13677386.0,4796294.0,186723190.0,0.858628,162571935.0,3101602.0,90134040.0,,383392443.0,666342247.0,162571935.0,162571935.0,162571935.0,,162571935.0,162571935.0,162571935.0,282948553.0,167348275.588163,194622917.0,424718609.0,18112755.0,220967703.0,13677386.0,,90134040.0,,-1715659.411837,58395767.0,0.264273,424718609.0,-6492000.0,-6492000.0
