symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
REY.MI,2022-09-30,TTM,EUR,,,,1492947000.0,50300000.0,35503000.0,,,169760000.0,235861000.0,286161000.0,290758000.0,3494000.0,3494000.0,1656000.0,1656000.0,169760000.0,169760000.0,171496000.0,169760000.0,169760000.0,171496000.0,-5174000.0,-5174000.0,292416000.0,173513000.0,47411000.0,243347000.0,1783705000.0,,-4543000.0,0.0,232367000.0,1492947000.0,50300000.0,7326000.0,,2063000.0,-2502000.0,0.4,1540358000.0,245413000.0,3336000.0,1783705000.0,-6255000.0,-6255000.0
REY.MI,2022-12-31,3M,EUR,9527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4533000.0,,,,,,-1144000.0,-3389000.0,,,,,,,,
REY.MI,2023-03-31,3M,EUR,3994000.0,37278236.0,1.664939,440730000.0,15437000.0,11443000.0,37278236.0,1.664939,62066000.0,63120000.0,78557000.0,79832000.0,1054000.0,1054000.0,1090000.0,1090000.0,62066000.0,62066000.0,62066000.0,62066000.0,62066000.0,62066000.0,-3432000.0,-3432000.0,78644000.0,62132120.0,14250000.0,65582000.0,520562000.0,-1187000.0,,0.0,62066000.0,440730000.0,15437000.0,1908000.0,,0.0,-20880.0,0.24,454980000.0,65585000.0,3468000.0,520562000.0,-87000.0,-87000.0
REY.MI,2023-06-30,3M,EUR,-7317000.0,,,454742000.0,15970000.0,23287000.0,,,16385000.0,53973000.0,69943000.0,63604000.0,2478000.0,2478000.0,1110000.0,1110000.0,16385000.0,16385000.0,17878000.0,16385000.0,16385000.0,17878000.0,-1156000.0,-1156000.0,73748000.0,19276800.0,14652000.0,48952000.0,518346000.0,-1318000.0,,0.0,51495000.0,454742000.0,15970000.0,2119000.0,,,-913200.0,0.24,469394000.0,58092000.0,-212000.0,518346000.0,-3805000.0,-3805000.0
REY.MI,2023-09-30,3M,EUR,,37278236.0,1.522577,427451000.0,16134000.0,16134000.0,37278236.0,1.522577,56759000.0,58079000.0,74213000.0,81629000.0,1320000.0,1320000.0,1976000.0,1976000.0,56759000.0,56759000.0,56759000.0,56759000.0,56759000.0,56759000.0,2222000.0,2222000.0,85305000.0,65188920.0,16000000.0,65629000.0,509080000.0,-134000.0,1639000.0,0.0,56759000.0,427451000.0,16134000.0,2179000.0,,-1639000.0,-2662080.0,0.24,443451000.0,63990.0,-1566000.0,509080000.0,-11092000.0,-11092000.0
REY.MI,2023-09-30,TTM,EUR,,37278236.0,5.152813,,,,37278236.0,5.152813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REY.MI,2023-12-31,3M,EUR,,,,402088000.0,27651000.0,39537000.0,,,16378000.0,102942000.0,130593000.0,167907000.0,1682000.0,1682000.0,2693000.0,2693000.0,16378000.0,16378000.0,18138000.0,16378000.0,16378000.0,18138000.0,-3905000.0,-3905000.0,132597000.0,17901040.0,84683000.0,83224000.0,569995000.0,,,0.0,101260000.0,402088000.0,27651000.0,2608000.0,,,-480960.0,0.24,486771000.0,292557333.0,4916000.0,569995000.0,-2004000.0,-2004000.0
REY.MI,2023-12-31,TTM,EUR,,37278236.0,5.01,,,,37278236.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REY.MI,2024-03-31,3M,EUR,3653000.0,37278236.0,1.960366,467936000.0,15235000.0,11582000.0,37278236.0,1.960366,73079000.0,74157000.0,89392000.0,86365000.0,1078000.0,1078000.0,3316000.0,3316000.0,73079000.0,73079000.0,73079000.0,73079000.0,73079000.0,73079000.0,1009000.0,1009000.0,89392000.0,73079000.0,14294000.0,72071000.0,554301000.0,-941000.0,,0.0,73079000.0,467936000.0,15235000.0,2007000.0,,0.0,0.0,0.4,482230000.0,72071000.0,1229000.0,554301000.0,0.0,0.0
REY.MI,2024-03-31,TTM,EUR,,37278236.0,5.305427,1744152000.0,75003000.0,75344000.0,37278236.0,5.305427,197712000.0,288407000.0,363410000.0,407570000.0,5813000.0,5813000.0,9228000.0,9228000.0,197712000.0,197712000.0,199472000.0,197712000.0,197712000.0,199472000.0,-2845000.0,-2845000.0,377200000.0,205986000.0,132281000.0,275289000.0,2151722000.0,-14127000.0,,0.0,282594000.0,1744152000.0,75003000.0,8913000.0,,,-5516000.0,0.4,1876433000.0,299231000.0,6260000.0,2151722000.0,-13790000.0,-13790000.0
