symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
S24.MI,2019-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4503000.0,,,,,,,,,,,,,
S24.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,4212000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S24.MI,2023-03-31,3M,EUR,1856000.0,65015595.0,0.01,2272000.0,3838000.0,1982000.0,65015595.0,0.01,365000.0,446000.0,4284000.0,2483000.0,46591000.0,,79000.0,79000.0,0.0,365000.0,365000.0,365000.0,0.0,365000.0,365000.0,365000.0,-1370000.0,-1370000.0,4624000.0,702220.708447,44552000.0,2039000.0,48863000.0,38000.0,9309000.0,-7000.0,0.0,367000.0,2272000.0,3838000.0,1806000.0,1806000.0,,11294000.0,13777000.0,-340000.0,-2779.291553,3000.0,0.008174,46824000.0,1555000.0,1291000.0,48863000.0,-340000.0,-340000.0,347000.0
S24.MI,2023-06-30,3M,EUR,1825000.0,,,1868000.0,3777000.0,1952000.0,,,5048000.0,6919000.0,10696000.0,2590000.0,53851000.0,,1196000.0,1196000.0,0.0,5048000.0,5048000.0,5048000.0,0.0,5048000.0,5048000.0,5048000.0,-1452000.0,-1452000.0,9550000.0,4037165.123187,47881000.0,5970000.0,55719000.0,41000.0,10495000.0,-1093000.0,0.0,5723000.0,1868000.0,3777000.0,1800000.0,1800000.0,,12056000.0,14646000.0,1146000.0,135165.123187,675000.0,0.117945,49749000.0,6918000.0,256000.0,55719000.0,1146000.0,1146000.0,-53000.0
S24.MI,2023-09-30,3M,EUR,1763000.0,,,1467000.0,3683000.0,1920000.0,,,-364000.0,173000.0,3856000.0,2639000.0,42827000.0,,639000.0,639000.0,0.0,-364000.0,-364000.0,-364000.0,0.0,-364000.0,-364000.0,-364000.0,-1024000.0,-1024000.0,3780000.0,-423364.806867,42397000.0,430000.0,44294000.0,37000.0,8165000.0,-17000.0,0.0,-466000.0,1467000.0,3683000.0,1924000.0,1924000.0,,10078000.0,12717000.0,76000.0,16635.193133,-102000.0,0.218884,43864000.0,362000.0,385000.0,44294000.0,76000.0,76000.0,-59000.0
S24.MI,2023-09-30,TTM,EUR,,65015595.0,0.08,,,,65015595.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S24.MI,2023-12-31,3M,EUR,1846000.0,,,2468000.0,3754000.0,1908000.0,,,2647000.0,5703000.0,9457000.0,3789000.0,63724000.0,3000000.0,639000.0,639000.0,0.0,2647000.0,2647000.0,2647000.0,0.0,2647000.0,2647000.0,2647000.0,-488000.0,-488000.0,16105000.0,7775480.0,51330000.0,12394000.0,66192000.0,50000.0,14200000.0,-738000.0,0.0,5064000.0,2468000.0,3754000.0,2146000.0,2146000.0,,13916000.0,17705000.0,-6748000.0,-1619520.0,2416000.0,0.24,53798000.0,5546000.0,1236000.0,66192000.0,-6648000.0,-6748000.0,330000.0
S24.MI,2023-12-31,TTM,EUR,,65015595.0,0.12,,,,65015595.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S24.MI,2024-03-31,3M,EUR,1896000.0,65015595.0,-0.01,2106000.0,3804000.0,1908000.0,65015595.0,-0.01,-469000.0,-603000.0,3201000.0,2254000.0,47683000.0,,84000.0,84000.0,0.0,-469000.0,-469000.0,-469000.0,0.0,-469000.0,-469000.0,-469000.0,-828000.0,-828000.0,3357000.0,-362502.183406,47423000.0,260000.0,49789000.0,42000.0,10081000.0,-10000.0,0.0,-687000.0,2106000.0,3804000.0,2022000.0,2022000.0,,11082000.0,13336000.0,-156000.0,-49502.183406,-218000.0,0.317322,49529000.0,-19000.0,744000.0,49789000.0,-156000.0,-156000.0,166000.0
S24.MI,2024-03-31,TTM,EUR,7330000.0,65015595.0,0.1,7909000.0,15018000.0,7688000.0,65015595.0,0.1,6862000.0,12192000.0,27210000.0,11308000.0,208085000.0,,2558000.0,2558000.0,0.0,6862000.0,6862000.0,6862000.0,0.0,6862000.0,6862000.0,6862000.0,-3792000.0,-3792000.0,32792000.0,10909702.511937,189031000.0,19054000.0,215994000.0,170000.0,42905000.0,-1858000.0,0.0,9634000.0,7909000.0,15018000.0,7892000.0,7892000.0,,47132000.0,58440000.0,-5682000.0,-1634297.488063,2771000.0,0.287627,196940000.0,12807000.0,2621000.0,215994000.0,-5582000.0,-5682000.0,384000.0
