symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
ALK.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,-725000.0,-725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127000.0
ALK.MI,2022-12-31,TTM,EUR,,5530892.0,1.01,,,,5530892.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK.MI,2023-03-31,3M,EUR,255000.0,5534596.0,0.11654,11792000.0,923000.0,668000.0,5534596.0,0.11654,645000.0,1263000.0,2186000.0,16242000.0,479000.0,479000.0,21000.0,21000.0,-5000.0,645000.0,645000.0,650000.0,645000.0,645000.0,650000.0,-471000.0,-471000.0,2234000.0,684795.918367,14925000.0,1317000.0,28034000.0,,0.0,784000.0,11792000.0,923000.0,93000.0,,-13000.0,-8204.081633,134000.0,0.170918,26717000.0,1304000.0,13000.0,28034000.0,-48000.0,-48000.0,13000.0
ALK.MI,2023-06-30,3M,EUR,340000.0,,,12359000.0,1056000.0,716000.0,,,782000.0,1835000.0,2891000.0,16989000.0,529000.0,529000.0,,,23000.0,782000.0,782000.0,759000.0,782000.0,782000.0,759000.0,-569000.0,-569000.0,3438000.0,1197720.0,14646000.0,2343000.0,29348000.0,,0.0,1306000.0,12359000.0,1056000.0,41000.0,,-642000.0,-131280.0,547000.0,0.24,27005000.0,1701000.0,19000.0,29348000.0,-547000.0,-547000.0,
ALK.MI,2023-09-30,3M,EUR,357000.0,,,53541000.0,1071000.0,714000.0,,,949000.0,1701000.0,2772000.0,-25709000.0,526000.0,526000.0,,,5000.0,949000.0,949000.0,944000.0,949000.0,949000.0,944000.0,-319000.0,-319000.0,2666000.0,863839.148936,-27181000.0,1472000.0,27832000.0,-657000.0,0.0,1175000.0,53541000.0,1071000.0,38000.0,,301000.0,20839.148936,231000.0,0.196596,26360000.0,1771000.0,-207000.0,27832000.0,106000.0,106000.0,
ALK.MI,2023-09-30,TTM,EUR,,5536145.0,0.781498,,,,5536145.0,0.781498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK.MI,2023-12-31,3M,EUR,385000.0,,,-25126000.0,1139000.0,754000.0,,,1087000.0,2116000.0,3255000.0,57391000.0,542000.0,542000.0,,,-95000.0,1087000.0,1087000.0,1182000.0,1087000.0,1087000.0,1182000.0,-413000.0,-413000.0,3785000.0,1485005.082592,54794000.0,2597000.0,32265000.0,0.0,0.0,1574000.0,-25126000.0,1139000.0,68000.0,,-356000.0,-131994.917408,392000.0,0.249047,29668000.0,2114000.0,238000.0,32265000.0,-530000.0,-530000.0,483000.0
ALK.MI,2023-12-31,TTM,EUR,,5536145.0,0.625526,,,,5536145.0,0.625526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK.MI,2024-03-31,3M,EUR,459000.0,5532645.0,0.039583,26155000.0,1208000.0,749000.0,5532645.0,0.039583,219000.0,922000.0,2130000.0,2231000.0,495000.0,495000.0,85000.0,85000.0,-19000.0,219000.0,219000.0,238000.0,219000.0,219000.0,238000.0,-435000.0,-435000.0,2300000.0,321000.0,1197000.0,1034000.0,28386000.0,,0.0,427000.0,26155000.0,1208000.0,65000.0,-4000.0,-152000.0,-68000.0,189000.0,0.4,27352000.0,878000.0,25000.0,28386000.0,-170000.0,-170000.0,156000.0
ALK.MI,2024-03-31,TTM,EUR,1541000.0,5532645.0,0.553044,52927000.0,4474000.0,2933000.0,5532645.0,0.553044,3037000.0,6574000.0,11048000.0,64915000.0,2092000.0,2092000.0,431000.0,431000.0,-86000.0,3037000.0,3037000.0,3123000.0,3037000.0,3037000.0,3123000.0,-1736000.0,-1736000.0,12189000.0,3832034.136546,57469000.0,7446000.0,117842000.0,,0.0,4482000.0,52927000.0,4474000.0,212000.0,-131000.0,-849000.0,-345965.863454,1359000.0,0.303213,110396000.0,6464000.0,75000.0,117842000.0,-1141000.0,-1141000.0,982000.0
