symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
GHC.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20502000.0,,,,,2695000.0
GHC.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20502000.0,,,,,
GHC.MI,2020-12-31,12M,EUR,425000.0,81610864.0,0.14,116760000.0,11588000.0,11163000.0,81610864.0,0.14,11781000.0,15559000.0,27147000.0,93451000.0,220000.0,2537000.0,2537000.0,3000.0,3000.0,-3000.0,11781000.0,11781000.0,11784000.0,11781000.0,11781000.0,11784000.0,-2694000.0,-2694000.0,31495000.0,15715636.154201,73618000.0,19833000.0,210211000.0,9233000.0,4128000.0,0.0,13022000.0,116760000.0,11588000.0,462000.0,-4348000.0,-413363.845799,1238000.0,0.09507,190378000.0,,160000.0,210211000.0,-4348000.0,-4348000.0,
GHC.MI,2021-12-31,12M,EUR,671000.0,89234456.0,0.21,157352000.0,15520000.0,14849000.0,89234456.0,0.21,18834000.0,28202000.0,43722000.0,125573000.0,187000.0,4214000.0,4214000.0,3000.0,3000.0,-9000.0,18834000.0,18834000.0,18843000.0,18834000.0,18834000.0,18843000.0,-4456000.0,-4456000.0,49039000.0,23425761.2,92027000.0,33546000.0,282925000.0,10768000.0,5130000.0,0.0,23988000.0,157352000.0,15519000.0,670000.0,-5317000.0,-725238.8,5145000.0,0.1364,249379000.0,,245000.0,282925000.0,-5317000.0,-5317000.0,
GHC.MI,2022-09-30,TTM,EUR,,,,177516000.0,18301000.0,17630000.0,,,22558000.0,33793000.0,52094000.0,135133000.0,,5085000.0,5085000.0,16000.0,16000.0,-14000.0,22558000.0,22558000.0,22571000.0,22558000.0,22558000.0,22571000.0,-5314000.0,-5314000.0,53317000.0,23519555.420092,99989000.0,35144000.0,312649000.0,18402000.0,,0.0,28708000.0,177516000.0,17994000.0,,-1223000.0,-261444.579908,6137000.0,0.213773,277505000.0,,,312649000.0,-1223000.0,-1223000.0,
GHC.MI,2022-12-31,12M,EUR,944000.0,88904887.0,0.24,178932000.0,18364000.0,17420000.0,88904887.0,0.24,21426000.0,31575000.0,49939000.0,141107000.0,599000.0,4204000.0,4204000.0,19000.0,19000.0,-7000.0,21426000.0,21426000.0,21433000.0,21426000.0,21426000.0,21433000.0,-4424000.0,-4424000.0,55720000.0,25952841.291878,103662000.0,37445000.0,320039000.0,12011000.0,5182000.0,0.0,27371000.0,178932000.0,18364000.0,829000.0,-5781000.0,-1254158.708122,5938000.0,0.216945,282594000.0,,239000.0,320039000.0,-5781000.0,-5781000.0,
GHC.MI,2023-09-30,TTM,EUR,,88652248.0,0.259539,,,,88652248.0,0.259539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHC.MI,2023-12-31,12M,EUR,1091000.0,88550933.0,0.18,203471000.0,21442000.0,20351000.0,88550933.0,0.18,20799000.0,39225000.0,60668000.0,162663000.0,1673000.0,10294000.0,10294000.0,282000.0,282000.0,-74000.0,20799000.0,20799000.0,20873000.0,20799000.0,20799000.0,20873000.0,-10473000.0,-10473000.0,67938000.0,26044124.952473,116164000.0,46499000.0,366134000.0,11150000.0,5597000.0,0.0,28931000.0,203471000.0,21443000.0,890000.0,-7270000.0,-2024875.047527,8058000.0,0.278525,319635000.0,,461000.0,366134000.0,-7270000.0,-7270000.0,
GHC.MI,2023-12-31,TTM,EUR,,88550933.0,0.18,,,,88550933.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHC.MI,2024-03-31,TTM,EUR,,88533813.0,0.195753,220923000.0,22407000.0,21316000.0,88533813.0,0.195753,22169000.0,42901000.0,65394000.0,179062000.0,,11608000.0,11608000.0,321000.0,321000.0,-103000.0,22169000.0,22169000.0,22273000.0,22169000.0,22169000.0,22272000.0,-11748000.0,-11748000.0,73312000.0,27804688.940019,128280000.0,50782000.0,399985000.0,13094000.0,,0.0,31293000.0,220923000.0,22493000.0,,-7918000.0,-2282311.059981,9020000.0,0.288243,349203000.0,,,399985000.0,-7918000.0,-7918000.0,
