symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ILTY.MI,2022-06-30,TTM,EUR,,,,,,,,69641000.0,16362000.0,74291000.0,12871000.0,3343000.0,64023000.0,206945000.0,0.0,69641000.0,69641000.0,69388000.0,253000.0,69641000.0,69388000.0,69641000.0,142922000.0,79642121.291449,173158000.0,210652000.0,29610000.0,9700000.0,,87096000.0,,4448000.0,78739000.0,-12871000.0,-2616878.708551,17708000.0,0.203316,210652000.0,-12871000.0,-12871000.0
ILTY.MI,2022-12-31,3M,EUR,,83556663.0,0.295955,,,83556663.0,0.295955,,,,,,,,,,,,,,,,,,,,7876000.0,,-343000.0,,,,,,,,,,,
ILTY.MI,2023-03-31,3M,EUR,4105000.0,83556663.0,0.09,5248000.0,1143000.0,85587757.0,0.09,7789000.0,73000.0,24595000.0,0.0,,37580000.0,86291000.0,0.0,7789000.0,7789000.0,7789000.0,0.0,7789000.0,7789000.0,7789000.0,48711000.0,7789000.0,55163000.0,63220000.0,,2252000.0,,12058000.0,5248000.0,,24595000.0,0.0,0.0,4269000.0,0.354039,63220000.0,0.0,0.0
ILTY.MI,2023-06-30,3M,EUR,4232000.0,,,4914000.0,682000.0,,,44380000.0,-670000.0,14634000.0,318000.0,,44921000.0,94612000.0,27000.0,44380000.0,44380000.0,44353000.0,0.0,44380000.0,44380000.0,44353000.0,49691000.0,45101853.286819,55598000.0,122686000.0,,4674000.0,,67649000.0,4914000.0,,17424000.0,-1101000.0,-379146.713181,23296000.0,0.344366,122686000.0,-1101000.0,-1101000.0
ILTY.MI,2023-09-30,3M,EUR,4417000.0,,,11274000.0,6857000.0,,,22837000.0,7778000.0,38403000.0,-318000.0,,55753000.0,106307000.0,237000.0,22837000.0,22837000.0,22600000.0,0.0,22837000.0,22837000.0,22600000.0,50554000.0,22111876.876002,62490000.0,78979000.0,,-5069000.0,,34315000.0,11274000.0,,35613000.0,1101000.0,375876.876002,11715000.0,0.341396,78979000.0,1101000.0,1101000.0
ILTY.MI,2023-09-30,TTM,EUR,,83652754.0,1.2,,,85683848.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILTY.MI,2023-12-31,3M,EUR,5526000.0,83827885.0,0.350647,6739000.0,1213000.0,83827885.0,0.350647,29394000.0,585000.0,34863000.0,0.0,,64475000.0,110081000.0,322000.0,29394000.0,29394000.0,29072000.0,0.0,29394000.0,29394000.0,29072000.0,45606000.0,29394000.0,74850000.0,73285000.0,,517000.0,,37719000.0,6739000.0,,34863000.0,0.0,0.0,8647000.0,0.229248,73285000.0,0.0,0.0
ILTY.MI,2023-12-31,TTM,EUR,,83712134.0,1.25,,,85470710.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILTY.MI,2024-03-31,3M,EUR,5193000.0,83827885.0,0.13,6178000.0,985000.0,85195700.0,0.13,10753000.0,1480000.0,23122000.0,0.0,,64553000.0,104443000.0,71000.0,10753000.0,10753000.0,10682000.0,0.0,10753000.0,10753000.0,10682000.0,39890000.0,10753000.0,48652000.0,65234000.0,,-4051000.0,,14398000.0,6178000.0,,23122000.0,0.0,0.0,3716000.0,0.258091,65234000.0,0.0,0.0
ILTY.MI,2024-03-31,TTM,EUR,18497000.0,83779940.0,1.29,22020000.0,3523000.0,85372696.0,1.26,107364000.0,6850000.0,90224000.0,7085000.0,,229702000.0,415443000.0,657000.0,107364000.0,107364000.0,106707000.0,0.0,107364000.0,107364000.0,106707000.0,185741000.0,112872449.958139,238915000.0,362779000.0,,13295000.0,,154081000.0,22020000.0,,96041000.0,-8948000.0,-2445550.041861,47374000.0,0.307462,362779000.0,-7954000.0,-7954000.0
