symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
GIS.MI,2018-12-31,TTM,EUR,,,,,,,,,,,,416891.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,312192.0,729083.0,0.0,,,,,48009.0,,0.0,0.0,0.0
GIS.MI,2019-12-31,12M,EUR,,4064800.0,0.200971,,,,4064800.0,0.200971,,,,,,5305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-5305.0,,,,,,,-5305.0,-5305.0,
GIS.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS.MI,2020-12-31,12M,EUR,266498.0,4064800.0,0.054923,5051492.0,279967.0,13469.0,4064800.0,0.054923,223252.0,426840.0,706807.0,,1411495.0,,88547.0,88547.0,4833.0,4833.0,,223252.0,223252.0,223253.0,223252.0,223252.0,223252.0,-83714.0,-83714.0,706807.0,223252.0,1002315.0,409180.0,6462987.0,403127.0,0.0,338293.0,5051492.0,279967.0,,,,,0.0,115040.0,0.34006,6053807.0,,6462987.0,,,
GIS.MI,2021-12-31,12M,EUR,321914.0,4064800.0,0.08642,7691159.0,361841.0,39927.0,4064800.0,0.08642,351280.0,578071.0,939912.0,,2025714.0,0.0,60001.0,60001.0,13163.0,13163.0,,351280.0,351280.0,351279.0,351280.0,351280.0,351280.0,-46838.0,-46838.0,939912.0,351280.0,1430579.0,595135.0,9716873.0,362571.0,0.0,518070.0,7691159.0,361841.0,,,,0.0,0.0,166791.0,0.321947,9121738.0,,9716873.0,0.0,0.0,0.0
GIS.MI,2022-12-31,12M,EUR,320628.0,4088800.0,0.398266,10446944.0,377281.0,56653.0,4088800.0,0.398266,1628430.0,2385458.0,2762739.0,,4249843.0,0.0,170407.0,170407.0,800.0,800.0,0.0,1628430.0,1628430.0,1628429.0,1628430.0,1628430.0,1628430.0,-169607.0,-169607.0,2819664.0,1670279.294136,1584872.0,2664971.0,14696787.0,507155.0,0.0,2215051.0,10446944.0,377281.0,41925.0,,,-56925.0,-15075.705864,586622.0,0.264835,12031816.0,,14696787.0,-56925.0,-56925.0,15000.0
GIS.MI,2022-12-31,TTM,EUR,,4088800.0,0.398266,,,,4088800.0,0.398266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS.MI,2023-06-30,TTM,EUR,,4074400.0,0.471555,,,,4074400.0,0.471555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS.MI,2023-12-31,12M,EUR,333771.0,,,11675461.0,407443.0,73672.0,,,35335.0,493950.0,901393.0,,2547455.0,0.0,394931.0,394931.0,4288.0,4288.0,0.0,35335.0,35335.0,35334.0,35335.0,35335.0,35335.0,-390643.0,-390643.0,969565.0,87145.72,1941235.0,606220.0,14222916.0,526534.0,0.0,99019.0,11675461.0,407443.0,43172.0,,,-68172.0,-16361.28,63685.0,0.24,13616696.0,,14222916.0,-68172.0,-68172.0,25000.0
GIS.MI,2023-12-31,TTM,EUR,333771.0,4075200.0,0.008671,11675461.0,407443.0,73672.0,4075200.0,0.008671,35335.0,493950.0,901393.0,,2547455.0,0.0,394931.0,394931.0,4288.0,4288.0,0.0,35335.0,35335.0,35334.0,35335.0,35335.0,35335.0,-390643.0,-390643.0,969565.0,87145.72,1941235.0,606220.0,14222916.0,526534.0,0.0,99019.0,11675461.0,407443.0,43172.0,,,-68172.0,-16361.28,63685.0,0.24,13616696.0,,14222916.0,-68172.0,-68172.0,25000.0
