symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ZUC.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10312000.0,44000.0,,,,5029000.0,157000.0,157000.0,,,,,,,,,,,,,
ZUC.MI,2022-12-31,3M,EUR,,,,,,,,,,,664000.0,664000.0,-29000.0,-29000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000.0,,,
ZUC.MI,2023-03-31,3M,EUR,25331766.0,0.076307,13561000.0,25331766.0,0.076307,1933000.0,2904000.0,2904000.0,4185000.0,19773000.0,609000.0,609000.0,1000.0,1000.0,0.0,1933000.0,1933000.0,1933000.0,1933000.0,1933000.0,1933000.0,-589000.0,-589000.0,3217000.0,2196629.1939,16517000.0,3256000.0,33334000.0,,,0.0,2295000.0,13561000.0,,,,313000.0,12419000.0,16604000.0,-313000.0,-49370.8061,362000.0,0.157734,30078000.0,2943000.0,-19000.0,33334000.0,-313000.0,-313000.0
ZUC.MI,2023-06-30,3M,EUR,,,16628000.0,,,-485000.0,811000.0,811000.0,4390000.0,17703000.0,1364000.0,1364000.0,22000.0,22000.0,0.0,-485000.0,-485000.0,-485000.0,-485000.0,-485000.0,-485000.0,-1361000.0,-1361000.0,747000.0,-541130.198915,15698000.0,2005000.0,34331000.0,,,0.0,-553000.0,16628000.0,,,,-64000.0,11221000.0,15611000.0,64000.0,7869.801085,-68000.0,0.122966,32326000.0,749000.0,,34331000.0,64000.0,64000.0
ZUC.MI,2023-09-30,3M,EUR,25331766.0,0.058583,16087000.0,25331766.0,0.058583,1484000.0,2203000.0,2203000.0,3540000.0,16878000.0,,,,,0.0,1484000.0,1484000.0,1484000.0,1484000.0,1484000.0,1484000.0,94000.0,94000.0,2735000.0,1931301.983003,14675000.0,2203000.0,32965000.0,,,0.0,1765000.0,16087000.0,,,,532000.0,11178000.0,14718000.0,-532000.0,-84698.016997,281000.0,0.159207,30762000.0,1671000.0,,32965000.0,-532000.0,-532000.0
ZUC.MI,2023-09-30,TTM,EUR,25331766.0,0.180964,,25331766.0,0.180964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUC.MI,2023-12-31,3M,EUR,,,13712000.0,,,-63000.0,1549000.0,1549000.0,4628000.0,17062000.0,947000.0,947000.0,1000.0,1000.0,0.0,-63000.0,-63000.0,-63000.0,-63000.0,-63000.0,-63000.0,-1022000.0,-1022000.0,-1013000.0,-2010120.0,17944000.0,-882000.0,30774000.0,,,0.0,602000.0,13712000.0,,,,-2558000.0,12245000.0,16873000.0,2562000.0,614880.0,665000.0,0.24,31656000.0,1935000.0,76000.0,30774000.0,2562000.0,2562000.0
ZUC.MI,2023-12-31,TTM,EUR,,0.113257,,,0.113257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUC.MI,2024-03-31,3M,EUR,25331766.0,0.047529,11023000.0,25331766.0,0.047529,1204000.0,2208000.0,2208000.0,4008000.0,18285000.0,639000.0,639000.0,2000.0,2000.0,0.0,1204000.0,1204000.0,1204000.0,1204000.0,1204000.0,1204000.0,-647000.0,-647000.0,2796000.0,1655212.237094,15683000.0,2602000.0,29308000.0,,,0.0,1569000.0,11023000.0,,,,588000.0,11839000.0,15847000.0,-588000.0,-136787.762906,365000.0,0.232632,26706000.0,2014000.0,10000.0,29308000.0,-588000.0,-588000.0
ZUC.MI,2024-03-31,TTM,EUR,25331766.0,0.084222,57450000.0,25331766.0,0.084222,2140000.0,6160000.0,6160000.0,16509000.0,69928000.0,2777000.0,2777000.0,3000.0,3000.0,0.0,2140000.0,2140000.0,2140000.0,2140000.0,2140000.0,2140000.0,-2843000.0,-2843000.0,6820000.0,2557499.261011,63154000.0,6774000.0,127378000.0,,,0.0,3383000.0,57450000.0,,,,664000.0,46483000.0,62992000.0,-660000.0,-242500.738989,1243000.0,0.367425,120604000.0,6369000.0,69000.0,127378000.0,-660000.0,-660000.0
