symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
WIIT.MI,2022-09-30,TTM,EUR,,,76189867.0,24499295.0,24499295.0,,,940260.0,6267627.0,31119112.0,33299598.0,5241641.0,5241641.0,462321.0,462321.0,940260.0,940260.0,1511853.0,940260.0,940260.0,1511853.0,-5227359.0,-5227359.0,31119112.0,940260.0,27002551.0,6297047.0,109489465.0,2503256.0,0.0,1025986.0,76189867.0,24851485.0,0.0,-485867.0,0.4,103192418.0,6297048.0,109489465.0,,
WIIT.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6148652.0,,,
WIIT.MI,2023-03-31,3M,EUR,26388034.0,0.082911,20506852.0,6279394.0,6279394.0,26388034.0,0.082911,2187857.0,4547113.0,10995412.0,11286439.0,1752136.0,1752136.0,6793.0,6793.0,2187857.0,2187857.0,2187857.0,2187857.0,2187857.0,2187857.0,-1745343.0,-1745343.0,10995412.0,2187857.0,6741542.0,4544897.0,31793291.0,462148.0,0.0,2794977.0,20506852.0,6448299.0,0.0,607120.0,0.217218,27248394.0,,31793291.0,,
WIIT.MI,2023-06-30,3M,EUR,,,20486500.0,6981270.0,6981270.0,,,1628580.0,4382271.0,11363541.0,11871055.0,1750162.0,1750162.0,-419.0,-419.0,1628580.0,1628580.0,1641406.0,1628580.0,1628580.0,1641406.0,-1846588.0,-1846588.0,11363541.0,1628580.0,7395833.0,4475222.0,32357555.0,414563.0,0.0,2632109.0,20486500.0,6336955.0,0.0,990703.0,0.376391,27882333.0,,32357555.0,,
WIIT.MI,2023-09-30,3M,EUR,,,15801927.0,3446081.0,3446081.0,,,7815237.0,12202920.0,19634295.0,16232591.0,2087087.0,2087087.0,110857.0,110857.0,7815237.0,7815237.0,7802411.0,7815237.0,7815237.0,7802411.0,-1880223.0,-1880223.0,19634295.0,7815237.0,4219465.0,12013126.0,32034518.0,773384.0,0.0,10115833.0,15801927.0,7431375.0,0.0,2313421.0,0.228693,20021392.0,12013126.0,32034518.0,,
WIIT.MI,2023-09-30,TTM,EUR,26178502.0,0.383537,,,,26178502.0,0.373537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIIT.MI,2023-12-31,3M,EUR,,,17515762.0,10211379.0,2151471.0,,,-3346025.0,-1696058.0,8515321.0,16405382.0,2165995.0,2165995.0,44051.0,44051.0,-3346025.0,-3346025.0,-3285043.0,-3346025.0,-3346025.0,-3285043.0,-2257483.0,-2257483.0,8515321.0,-3346025.0,17389964.0,-984582.0,33921144.0,903545.0,0.0,-3862053.0,17515762.0,6701495.0,0.0,-577009.0,0.149405,34905726.0,-1573979.0,33921144.0,,
WIIT.MI,2023-12-31,TTM,EUR,26727900.0,0.31,,,,26727900.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIIT.MI,2024-03-31,3M,EUR,26115323.0,0.11721,20454573.0,7037567.0,7037567.0,26115323.0,0.11721,3060969.0,5889996.0,12942563.0,13074675.0,1998868.0,1998868.0,87476.0,87476.0,3060969.0,3060969.0,3060969.0,3060969.0,3060969.0,3060969.0,-1911392.0,-1911392.0,12942563.0,3060969.0,7271291.0,5803384.0,33529248.0,233724.0,0.0,3891128.0,20454573.0,7052567.0,0.0,830159.0,0.213347,27725864.0,,33529248.0,,
WIIT.MI,2024-03-31,TTM,EUR,26115323.0,0.344299,74258762.0,27676297.0,19616389.0,26115323.0,0.344299,9158761.0,20779129.0,48455426.0,57583703.0,8002112.0,8002112.0,241965.0,241965.0,9158761.0,9158761.0,9219743.0,9158761.0,9158761.0,9219743.0,-7895686.0,-7895686.0,49059189.0,9594429.176141,36276553.0,21307150.0,131842465.0,2325216.0,0.0,12777017.0,74258762.0,27522392.0,-168094.823859,3557274.0,0.278412,110535315.0,,131842465.0,-603763.0,-603763.0
