symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ELN.MI,2022-09-30,TTM,EUR,,,423318902.0,7263926.0,6284010.0,,,57794387.0,80030668.0,87294594.0,227131252.0,57794387.0,57794387.0,61482385.0,57794387.0,57794387.0,61482385.0,-1602335.0,-1602335.0,86904780.0,57560498.6,154491229.0,72640023.0,650450154.0,,,0.0,78782021.0,423318902.0,7263926.0,155925.6,0.4,577810131.0,78204700.0,650450154.0,389814.0,389814.0
ELN.MI,2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23077201.0,,,
ELN.MI,2023-03-31,3M,EUR,79854172.0,0.207979,101631000.0,3902000.0,3902000.0,79854172.0,0.207979,16608000.0,17031000.0,20933000.0,61122000.0,16608000.0,16608000.0,16608000.0,16608000.0,16608000.0,16608000.0,-459000.0,-459000.0,20933000.0,16608000.0,44091000.0,17031000.0,162753000.0,,14066000.0,0.0,16608000.0,101631000.0,3902000.0,0.0,0.24,145722000.0,17032000.0,162753000.0,,
ELN.MI,2023-06-30,3M,EUR,,,102080284.0,1919764.0,1231530.0,,,9167747.0,21204517.0,23124281.0,82189897.0,9167747.0,9167747.0,10243100.0,9167747.0,9167747.0,10243100.0,-550681.0,-550681.0,23124281.0,9167747.0,63745544.0,18444353.0,184270181.0,,,0.0,21234219.0,102080284.0,1919764.0,0.0,0.24,165825828.0,21842491.0,184270181.0,,
ELN.MI,2023-09-30,3M,EUR,79899322.0,0.163055,106527000.0,3322000.0,3322000.0,79899322.0,0.163055,13028000.0,12903000.0,16225000.0,40859000.0,13028000.0,13028000.0,13028000.0,13028000.0,13028000.0,13028000.0,162000.0,162000.0,16225000.0,13028000.0,27956000.0,12903000.0,147386000.0,,,0.0,13028000.0,106527000.0,3322000.0,0.0,0.24,134483000.0,12903000.0,147386000.0,,
ELN.MI,2023-09-30,TTM,EUR,79899322.0,0.600962,,,,79899322.0,0.600962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN.MI,2023-12-31,3M,EUR,,,83291826.0,1732528.0,263291.0,,,-2630622.0,20324850.0,22057378.0,115986917.0,-2630622.0,-2630622.0,-803478.0,-2630622.0,-2630622.0,-803478.0,-839496.0,-839496.0,22057378.0,-2630622.0,101937976.0,14048941.0,199278743.0,,,0.0,20264199.0,83291826.0,1732528.0,0.0,0.24,185229802.0,20957682.0,199278743.0,,
ELN.MI,2023-12-31,TTM,EUR,79890369.0,0.6,,,,81761658.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN.MI,2024-03-31,3M,EUR,79970202.0,0.180017,90697000.0,4901000.0,4901000.0,79970202.0,0.180017,14396000.0,14317000.0,19218000.0,62401000.0,14396000.0,14396000.0,14396000.0,14396000.0,14396000.0,14396000.0,187000.0,187000.0,19218000.0,14396000.0,48084000.0,14317000.0,153098000.0,-29000.0,15914000.0,0.0,14396000.0,90697000.0,4901000.0,0.0,0.4,138781000.0,,153098000.0,,
ELN.MI,2024-03-31,TTM,EUR,79970202.0,0.572038,427283826.0,12833528.0,11364291.0,79970202.0,0.562038,46027378.0,69387850.0,82221378.0,255350917.0,46027378.0,46027378.0,47854522.0,46027378.0,46027378.0,47854522.0,-1059496.0,-1059496.0,81608265.0,45659510.2,192238976.0,63111941.0,682634743.0,,41576479.0,0.0,68922199.0,427283826.0,12833528.0,245245.2,0.4,619522802.0,,682634743.0,613113.0,613113.0
