SYMBOL,linkedin,name
ENEL.MI,enelgroup,ENEL
STLAM.MI,stellantis,
ENI.MI,eni,ENI
ISP.MI,intesa-sanpaolo,INTESA SANPAOLO
G.MI,generali,GENERALI ASS
LDO.MI,leonardo_company,LEONARDO
UCG.MI,unicredit,UNICREDIT
TEN.MI,tenaris,TENARIS
SRG.MI,snam-s-p-a-,SNAM
TRN.MI,terna,TERNA
MONC.MI,moncler,MONCLER
NEXI.MI,nexipayments,NEXI
CPR.MI,campari-group,CAMPARI
PST.MI,poste-italiane,POSTE ITALIANE
INW.MI,inwit-spa,INWIT
PRY.MI,prysmian,PRYSMIAN
FBK.MI,finecobank,FINECOBANK
REC.MI,recordati,RECORDATI ORD
MB.MI,mediobanca,MEDIOBANCA
DIA.MI,diasorin,DIASORIN
US.MI,unipolsai,UNIPOLSAI
AMP.MI,amplifon,AMPLIFON
BMED.MI,banca-mediolanum,BANCA MEDIOLANUM
BAMI.MI,bancobpm,BANCO BPM
TIT.MI,tim,TELECOM ITALIA
REY.MI,reply,REPLY
IG.MI,italgas,ITALGAS
IP.MI,interpumpgroup,INTERPUMP GROUP
BC.MI,Brunello-cucinelli-s-p-a-,BRUNELLO CUCINELLI
PIRC.MI,pirelli,PIRELLI & C
BGN.MI,banca-generali,BANCA GENERALI
HER.MI,gruppo-hera,HERA
DNR.MI,De-nora,INDUSTRIE DE NORA
A2A.MI,a2a,A2A
ARIS.MI,ariston-group,ARISTON HOLDING
UNI.MI,unipol-gruppo,UNIPOL
BRE.MI,brembo-s-p-a,BREMBO
BZU.MI,buzzi-unicem,BUZZI UNICEM
AGL.MI,autogrill,AUTOGRILL SPA
SFER.MI,salvatore-ferragamo,SALVATORE FERRAGAMO
ACE.MI,acea-spa,ACEA
DLG.MI,de'longhi,DE'LONGHI
BPE.MI,bper-banca,BPER BANCA
AZM.MI,azimutgroup,AZIMUT
ENAV.MI,enav,ENAV
CE.MI,credem,CREDEM
CRL.MI,carel,CAREL INDUSTRIES
ARN.MI,alerion-clean-power,ALERION
IRE.MI,iren-gruppo,IREN
SES.MI,,SESA
BPSO.MI,Banca-popolare-di-sondrio,BCA POP SONDRIO
SOL.MI,,SOL
IVG.MI,iveco-group,IVECO GROUP
TGYM.MI,technogym,TECHNOGYM
SPM.MI,saipem,SAIPEM
BFF.MI,,
RWAY.MI,raiwayspa,RAI WAY
WBD.MI,webuildgroup,
SL.MI,sanlorenzoyacht,SANLORENZO
TIP.MI,tamburi-&-associati,TAMBURI
DAN.MI,danieli,DANIELI & C
GVS.MI,,GVS
ICOS.MI,,INTERCOS
ITM.MI,,ITALMOBILIARE
ANIM.MI,anima-sgr,ANIMA HOLDING
ZV.MI,zignago-vetro-spa,ZIGNAGO VETRO
MFEB.MI,,MFE B
ELN.MI,,EL.EN.
SRS.MI,saras,SARAS
TNXT.MI,,TINEXTA
CEM.MI,,CEMENTIR HOLDING
SCF.MI,,SALCEF GROUP
MT.MI,maire-tecnimont,
FCT.MI,fincantieri,FINCANTIERI
MOL.MI,mutuionline-s.p.a.,MUTUIONLINE
PIA.MI,piaggio,PIAGGIO
JUVE.MI,,JUVENTUS FC
COM.MI,,COMER INDUSTRIES
BFG.MI,,B.F.
MARR.MI,,MARR
DGV.MI,,DIGITAL VALUE
PHN.MI,,PHARMANUTRA
CRG.MI,,
IF.MI,banca-ifis,BANCA IFIS
ILTY.MI,illimity,ILLIMITY BANK
SFL.MI,,SAFILO GROUP
AV.MI,,ANTARES VISION
OVS.MI,,OVS
IOT.MI,,SECO
LUVE.MI,,LUVE
ASC.MI,gruppoascopiave,ASCOPIAVE
BEST.MI,,
DOV.MI,,DOVALUE
ACS.MI,,
CALT.MI,,CALTAGIRONE
CMB.MI,,CEMBRE
MN.MI,,MONDADORI EDIT
PVN.MI,,PIOVAN
PHIL.MI,,PHILOGEN
DAL.MI,,DATALOGIC
WIIT.MI,,WIIT
BDB.MI,,BCO DESIO BRIANZA
CIR.MI,,CIR
FILA.MI,,FILA
GHC.MI,,GAROFALO HEALTH CARE
RCS.MI,,RCS MEDIAGROUP
IVS.MI,,IVS GROUP
SG.MI,,SAES GETTERS
DIB.MI,,DIGITAL BROS
BSS.MI,biesse,BIESSE
FUM.MI,,FRANCHI UMBERTO MARMI
PRT.MI,esprinet,ESPRINET
IGD.MI,,IGD
NBA.MI,,NB AURORA
DIS.MI,,D'AMICO
ASR.MI,,
SERI.MI,,SERI INDUSTRIAL
BAN.MI,,BASICNET
ECNL.MI,,AQUAFIL
ADB.MI,,AEROPORTO GUGLIELMO MARCONI DI 
ORS.MI,,ORSERO
BMPS.MI,,BANCA MONTE PASCHI SIENA
TISG.MI,the-italian-sea-group,THE ITALIAN SEA GROUP
GPI.MI,,GPI
AVIO.MI,,AVIO
PITE.MI,,PITECO
TYA.MI,toscana-aeroporti,TOSCANA AEROPORTI
FM.MI,fiera-milano-spa,FIERA MILANO
UNIR.MI,unieuro,UNIEURO
RN.MI,,RISANAMENTO
NWL.MI,,NEWLAT FOOD
REVO.MI,,
CY4.MI,,CY4GATE
1CALL.MI,,
FF.MI,fine-foods-&-pharmaceuticals-n-t-m-s-p-a-,FINE FOODS & PHARMACEUTICALS NT
ITD.MI,,INTRED
CAI.MI,,CAIRO COMMUNICATION
IWB.MI,,ITALIAN WINE BRANDS
SAB.MI,,SABAF
GEO.MI,,GEOX
FNM.MI,,FNM
INC.MI,innovatecgroup,INNOVATEC
ENY.MI,,
KME.MI,,
AUTME.MI,,AUTOSTRADE MERID
SIT.MI,,SIT
NET.MI,,NET INSURANCE
ELC.MI,,ELICA
SOM.MI,,SOMEC
MASI.MI,masi-agricola,MASI AGRICOLA
EQUI.MI,equita,EQUITA GROUP
EM.MI,emak-s-p-a-,EMAK
LBM.MI,,LABOMAR
ABT.MI,,ABITARE IN
IN4.MI,,
INDB.MI,,INDEL B
FPE.MI,,FOPE
TXT.MI,,TXT E-SOLUTIONS
YRM.MI,,ROSETTI MARINO
GTH.MI,,
SCK.MI,,SCIUKER FRAMES
IMS.MI,,IMMSI
PRO.MI,,BCA PROFILO
BEC.MI,b&c-speakers-spa,B&C SPEAKERS
EDAC.MI,,EDILIZIACROBATICA
CNS.MI,,CIVITANAVI SYSTEMS
MDC.MI,,
UD.MI,,UNIDATA
BST.MI,,BANCA SISTEMA
AIW.MI,,ALMAWAVE
AEF.MI,,AEFFE
ALA.MI,,
TIS.MI,,
ABP.MI,,A.B.P. NOCIVELLI
RFG.MI,,RACING FORCE
GE.MI,,GEFRAN
CED.MI,,CALTAGIRONE EDIT
BFE.MI,,
MIT.MI,,MITTEL
ETH.MI,,EUROTECH
OJM.MI,openjobmetis-spa,OPENJOBMETIS
LR.MI,,LANDI RENZO
VLS.MI,,VALSOIA
IB.MI,,INIZIATIVE BRESCIANE
GSP.MI,,GAS PLUS
GF.MI,,GENERALFINANCE
DTH.MI,,
DIG.MI,,DIGITAL360
SO.MI,,SOGEFI
RAT.MI,,RATTI
PQ.MI,,PIQUADRO
INT.MI,,
CELL.MI,,CELLULARLINE
DOX.MI,,DOXEE
NR.MI,,NEXT RE
PTR.MI,,PATTERN
AED.MI,,AEDES
TFI.MI,,TREVI FIN IND
DHH.MI,,DHH
VNT.MI,,VANTEA SMART
OMER.MI,,
RLT.MI,,RELATECH
CYB.MI,,CYBEROO
TES.MI,,TESMEC
COSMO.MI,,
TCM.MI,,TECMA SOLUTIONS
CFL.MI,,COFLE
B.MI,,BASTOGI SPA
REEVO.MI,,REEVO
SEB.MI,,SEBINO
GROW.MI,,
SSL.MI,,S.S. LAZIO
FAR.MI,,FARMAE
PINF.MI,,PININFARINA SPA
TKO.MI,,TAKE OFF
GBUS.MI,,
SPN.MI,,
STAR7.MI,,STAR7
ISC.MI,,ISCC FINTECH
IEG.MI,,ITALIAN EXHIBITION GROUP
ZUC.MI,,ZUCCHI
GAB.MI,,GABETTI
POR.MI,,PORTOBELLO
BRI.MI,,BRIOSCHI
REN.MI,,RENERGETICA
D.MI,directa-sim,DIRECTA SIM
OS.MI,officina-stellare-srl,OFFICINA STELLARE
XPR.MI,exprivia,EXPRIVIA
ALK.MI,,ALKEMY
1TIME.MI,,
BE.MI,,BEGHELLI
EVS.MI,,EVISO
FIC.MI,first-capital-spa,FIRST CAPITAL
IRC.MI,irce-s.p.a.,IRCE
OSA.MI,,OSAI AUTOMATION SYSTEM
ENV.MI,,ENERVIT
PWS.MI,,POWERSOFT
HZY.MI,,
EEMS.MI,,EEMS
SITI.MI,,
IMP.MI,,
SVS.MI,,SVAS BIOSANA
FNL.MI,,FINLOGIC
IE.MI,,IERVOLINO & LADY BACARDI ENTERT
ATON.MI,,ATON GREEN STORAGE
PLT.MI,,PLANETEL
PMT.MI,,PROMOTICA
ILP.MI,,ILPRA
G.COM.MI,,
BIA.MI,,
ESAU.MI,,ESAUTOMOTION
SHE.MI,shedir-pharma,SHEDIR PHARMA GROUP
TPS.MI,,TPS
NDT.MI,,NEODECORTECH
PRL.MI,,PIERREL
COV.MI,,COVER 50
FIRE.MI,,
IGV.MI,,I GRANDI VIAGGI
ICF.MI,,INDUSTRIE CHIMICHE FORESTALI
AGP.MI,,ALTEA GREEN POWER
CULT.MI,,
CLI.MI,,CENTRALE DEL LATTE D'ITALIA
PLC.MI,,PLC
POZ.MI,,
FVI.MI,,FERVI
EXAI.MI,,EXPERT.AI
ALW.MI,,
YOLO.MI,,
MAPS.MI,,MAPS
DM.MI,,DIGITAL MAGICS
SOF.MI,,SOFTLAB
FED.MI,,
CML.MI,,COMAL
SRI.MI,,SERVIZI ITALIA
TB.MI,,TRIBOO
S24.MI,,IL SOLE 24 ORE
EUK.MI,,EUKEDOS
NPI.MI,notorious-pictures-s-p-a-,NOTORIOUS PICTURES
FARM.MI,h-farm,H-FARM
ABC.MI,,
VIA.MI,,VIANINI
S3D.MI,,
LFG.MI,leone-film-group-s.p.a.,LEONE FILM GROUP
DGT.MI,,DIGITOUCH
NUS.MI,,NUSCO
MARP.MI,marzocchi-pompe-s.p.a.,MARZOCCHI POMPE
SIAV.MI,,
CORE.MI,,
NSP.MI,,NEOSPERIENCE
ACQ.MI,,ACQUAZZURRA
GG.MI,,GIGLIO GROUP
HI.MI,,HEALTH ITALIA
MTV.MI,,MONDO TV
BO.MI,borgosesia-spa,BORGOSESIA
ELES.MI,,ELES
GRAL.MI,,GRIFAL
NFT.MI,,
IDNTT.MI,,IDNTT
RETI.MI,,RETI
SBB.MI,,SABABA SECURITY
DATA.MI,,DATRIX
MFT.MI,matica-fintec,MATICA FINTEC
NVP.MI,,NVP
FOS.MI,,FOS
ECK.MI,,ECOSUNTEK
LVEN.MI,,LVENTURE GROUP
DBA.MI,,DBA GROUP
MOLD.MI,,COSTAMP GROUP
EVA.MI,,
LON.MI,,LONGINO&CARDENAL
LMG.MI,,LUCISANO MEDIA GROUP
ESI.MI,,
GIS.MI,,GISMONDI 1754
CLA.MI,,CLABO
GML.MI,,
CVG.MI,,CONVERGENZE
WEB.MI,,WEBSOLUTE
MNL.MI,,MONNALISA
BELL.MI,,
CLF.MI,,CALEFFI
CSP.MI,,CSP INT IND CALZE
ITW.MI,,IT WAY
FDE.MI,,FRENDY ENERGY
CDG.MI,,CASTA DIVA GROUP
BFC.MI,,BFC MEDIA
CFV.MI,,CONFINVEST
GSR.MI,,G RENT
CIRC.MI,,CIRCLE
CNF.MI,,CONAFI
VIM.MI,,VIMI FASTENERS
4AIM.MI,,
LDB.MI,,LINDBERGH
KIP.MI,,KOLINPHARMA
TWL.MI,,TRAWELL CO
PFI.MI,,PREMIA FINANCE
ABS.MI,,ARTERRA BIOSCIENCE
MON.MI,,MONRIF
NRST.MI,,NEUROSOFT
ERFO.MI,,
ROS.MI,,
POPR.MI,,POLIGRAFICI PRINTING
FTC.MI,,FINANZA.TECH
TNX.MI,,TENAX INTERNATIONAL
HQF.MI,,
SIF.MI,,
ABTG.MI,,ALFIO BARDOLLA
COP.MI,,COPERNICO
UBM.MI,,ULISSE BIOMED
CLE.MI,,CLASS EDITORI
DIT.MI,,DESTINATION ITALIA
RST.MI,,RESTART
SGC.MI,,SG COMPANY
GEL.MI,,GEL
AGA.MI,,AGATOS
MTS.MI,,MIT SIM
TD.MI,,TRENDEVICE
CBB.MI,,CLEANBNB
RAD.MI,,RADICI
FUL.MI,,FULLSIX
RDF.MI,,REDELFI
SEIF.MI,,SOCIETA' EDITORIALE IL FATTO
FDA.MI,,FIDIA
ALF.MI,,ALFONSINO
SCM.MI,,SOLUTIONS CAPITAL MANAGEMENT SI
BIRO.MI,,ESTRIMA
