Nome,Codice ISIN,symbols
4AIM SICAF,IT0005204729,AIM.MI
4AIM SICAF COMPARTO 2 CROWDFUNDING,IT0005440323,AIM2.MI
A.B.P. NOCIVELLI,IT0005439861,ABP.MI
A2A,IT0001233417,A2A.MI
AATECH,IT0005548521,AAT.MI
ABC COMPANY,IT0005466294,ABC.MI
ABITARE IN,IT0005445280,ABT.MI
ACEA,IT0001207098,ACE.MI
ACINQUE,IT0001382024,AC5.MI
ACQUAZZURRA,IT0005443061,ACQ.MI
AEDES,IT0005349052,AEDES.MI
AEFFE,IT0001384590,AEF.MI
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA,IT0001006128,ADB.MI
AGATOS,IT0005421919,AGA.MI
ALA,IT0005446700,ALA.MI
ALERION,IT0004720733,ARN.MI
ALFIO BARDOLLA,IT0005244030,ABTG.MI
ALFONSINO,IT0005466039,ALFO.MI
ALGOWATT,IT0004359037,ALW.MI
ALKEMY,IT0005314635,ALK.MI
ALLCORE,IT0005461303,CORE.MI
ALMAWAVE,IT0005434615,AIW.MI
ALTEA GREEN POWER,IT0005472730,AGP.MI
AMBROMOBILIARE,IT0004779515,AMB.MI
AMPLIFON,IT0004056880,AMP.MI
ANIMA HOLDING,IT0004998065,ANIM.MI
ANTARES VISION,IT0005366601,AV.MI
AQUAFIL,IT0005241192,ECNL.MI
ARRAS GROUP,IT0005540676,AGU.MI
ARTERRA BIOSCIENCE,IT0005386369,ARBS.MI
ASCOPIAVE,IT0004093263,ASC.MI
ASKOLL EVA,IT0005337123,EVA.MI
ATON GREEN STORAGE,IT0005449464,ATON.MI
AUTOSTRADE MERID,IT0000084043,AUTME.MI
AVIO,IT0005119810,AVIO.MI
AZIMUT,IT0003261697,AZM.MI
B C SPEAKERS,IT0001268561,BEC.MI
B.F.,IT0005187460,BFG.MI
BANCA GENERALI,IT0001031084,BGN.MI
BANCA IFIS,IT0003188064,IF.MI
BANCA MEDIOLANUM,IT0004776628,BMED.MI
BANCA MONTE PASCHI SIENA,IT0005508921,BMPS.MI
BANCA SISTEMA,IT0003173629,BST.MI
BANCO BPM,IT0005218380,BAMI.MI
BASICNET,IT0001033700,BAN.MI
BASTOGI SPA,IT0004412497,B.MI
BCA POP SONDRIO,IT0000784196,BPSO.MI
BCA PROFILO,IT0001073045,PRO.MI
BCO DESIO BRIANZA,IT0001041000,BDB.MI
BEEWIZE,IT0001487047,BWZ.MI
BEGHELLI,IT0001223277,BE.MI
BELLINI NAUTICA,IT0005497042,BELL.MI
BERTOLOTTI,IT0005585127,TRAIN.MI
BESTBE HOLDING,IT0004942915,BES.MI
BFF BANK,IT0005244402,BFF.MI
BIALETTI INDUSTRIE,IT0004222102,BIA.MI
BIESSE,IT0003097257,BSS.MI
BIFIRE,IT0005495335,FIRE.MI
BIOERA,IT0005516130,BIE.MI
BOLOGNAFIERE,IT0003516066,BF.MI
BORGOSESIA,IT0003217335,BO.MI
BPER BANCA,IT0000066123,BPE.MI
BRIOSCHI,IT0000066180,BRI.MI
BRUNELLO CUCINELLI,IT0004764699,BC.MI
BUZZI,IT0001347308,BZU.MI
CAIRO COMMUNICATION,IT0004329733,CAI.MI
CALEFFI,IT0003025019,CLF.MI
CALTAGIRONE,IT0003127930,CALT.MI
CALTAGIRONE EDIT,IT0001472171,CED.MI
CAREL INDUSTRIES,IT0005331019,CRL.MI
CASTA DIVA GROUP,IT0005003782,CDG.MI
CELLULARLINE,IT0005244618,CELL.MI
CEMBRE,IT0001128047,CMB.MI
CENTRALE DEL LATTE D'ITALIA,IT0003023980,CLI.MI
CHL,IT0001446613,CHL.MI
CIA,IT0003389522,CIA.MI
CIR,IT0000070786,CIR.MI
CIRCLE,IT0005344996,CIRC.MI
