Millenium,2023,2022,2021,2020,2019
Fatturato,16.914,19.493,16.814,15.283,20.093
Proventi dalle attività ordinarie,18.437,20.896,18.081,15.611,20.534
Risultato operativo,-8.304,-9.212,-5.049,-3.126,-2.572
Costo dell'indebitamento finanziario netto,,0,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,0
Risultato netto delle attività dismesse,,,,,0
Utile netto,-10.616,-10.818,-5.912,-4.367,-5.045
Utile netto: quota del gruppo,-10.629,-10.824,-5.909,-4.363,-4.977
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
