Millenium,2023,2022,2021,2020
Fatturato,3.008.567,2.429.018,1.539.046,1.508.198
Acquisti consumati,1.421.740,1.243.816,843.578,385.911
Spese per il personale,819.925,671.301,540.043,448.064
Risultato d'esercizio,320.825,-637.714,-55.207,20.209
Imposte sugli utili,119.576,-201.100,5.161,16.360
Utile netto,198.435,-445.569,-64.947,-2.615
Utile netto: quota del gruppo,198.435,-445.569,-64.947,-2.615
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP
