Millenium,2023,2022,2021
Fatturato,29.484,27.081,17.491
Acquisti consumati,10.058,12.214,5.644
Spese per il personale,6.322,5.375,4.505
Risultato d'esercizio,3.386,1.702,516
Imposte sugli utili,744,354,187
Utile netto,1.446,1.216,275
Utile netto: quota del gruppo,1.446,1.216,275
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
