Codice Isin,Codice Alfanumerico,yahoo_code
IT0005528069,RWY,RWY.MI
IT0001041000,BDB,BDB.MI
IT0005325912,FVI,FVI.MI
IT0005449464,ATON,ATON.MI
IT0003865588,WBDR,WBDR.MI
IT0005575730,PAL,PAL.MI
IT0004965148,MONC,MONC.MI
IT0005221517,GPI,GPI.MI
IT0005557530,EXEC,EXEC.MI
IT0001454435,TXT,TXT.MI
IT0005425050,TCM,TCM.MI
IT0003242622,TRN,TRN.MI
IT0005330516,NR,NR.MI
IT0003025019,CLF,CLF.MI
IT0005495673,SPMR,SPMR.MI
IT0005572778,JUVE,JUVE.MI
IT0005528937,ART,ART.MI
IT0005555468,LASIA,LASIA.MI
IT0005388266,SCF,SCF.MI
IT0005450694,HQF,HQF.MI
IT0004093263,ASC,ASC.MI
IT0001031084,BGN,BGN.MI
IT0003497168,TIT,TIT.MI
IT0004359037,ALW,ALW.MI
IT0005421885,ESIGM,ESIGM.MI
IT0005568487,XHS,XHS.MI
IT0004240443,PQ,PQ.MI
IT0005089476,DGT,DGT.MI
IT0005496101,RDF,RDF.MI
IT0004712375,SFER,SFER.MI
IT0005482333,TPRO,TPRO.MI
IT0005119810,AVIO,AVIO.MI
IT0005469371,ICC,ICC.MI
IT0005513202,REVO,REVO.MI
IT0005508921,BMPS,BMPS.MI
IT0005239881,UNIR,UNIR.MI
IT0005582033,GO,GO.MI
IT0005595423,SYS,SYS.MI
IT0005335754,FUM,FUM.MI
IT0005433732,VE,VE.MI
IT0005500688,FAE,FAE.MI
IT0005107492,LUVE,LUVE.MI
IT0005446700,ALA,ALA.MI
IT0005445108,GSR,GSR.MI
IT0000060886,FNM,FNM.MI
IT0004717200,VIM,VIM.MI
IT0005337818,ITD,ITD.MI
IT0004937469,IIG,IIG.MI
IT0005377277,CBB,CBB.MI
IT0003121677,CE,CE.MI
IT0005091324,CLABO,CLABO.MI
IT0003188064,IF,IF.MI
IT0001469383,MN,MN.MI
IT0005500571,RNV,RNV.MI
IT0005453110,NUS,NUS.MI
IT0005391138,GIS,GIS.MI
IT0005337172,SGC,SGC.MI
IT0005416281,ICF,ICF.MI
IT0003814537,SRI,SRI.MI
IT0005075764,IWB,IWB.MI
IT0005373789,PHIL,PHIL.MI
IT0005600249,DEA,DEA.MI
IT0005465619,CFL,CFL.MI
IT0005532525,VLT,VLT.MI
IT0004176001,PRY,PRY.MI
IT0001042297,GTH,GTH.MI
IT0005411209,GVS,GVS.MI
IT0003828271,REC,REC.MI
IT0004764699,BC,BC.MI
IT0004376858,MARP,MARP.MI
IT0005531261,GM,GM.MI
IT0005557514,EGB,EGB.MI
IT0001128047,CMB,CMB.MI
IT0001447348,MIT,MIT.MI
IT0005521247,RDUE,RDUE.MI
IT0004412497,B,B.MI
IT0003497176,TITR,TITR.MI
IT0005244402,BFF,BFF.MI
IT0003056386,PINF,PINF.MI
IT0005562183,EAV,EAV.MI
IT0005353484,SEIF,SEIF.MI
IT0003027817,IRE,IRE.MI
IT0005314635,ALK,ALK.MI
IT0003127898,VIA,VIA.MI
IT0005246191,COM,COM.MI
IT0005337123,EVA,EVA.MI
IT0005037905,IB,IB.MI
IT0004496029,EXAI,EXAI.MI
IT0005518953,MPT,MPT.MI
IT0005440323,AIM2,AIM2.MI
IT0005554784,IVN,IVN.MI
IT0000066180,BRI,BRI.MI
IT0005541336,LTMC,LTMC.MI
IT0005573966,YKY,YKY.MI
IT0003365613,FM,FM.MI
IT0005001943,ECK,ECK.MI
IT0005428971,CML,CML.MI
IT0001447785,MTV,MTV.MI
IT0005588626,MARE,MARE.MI
IT0001033700,BAN,BAN.MI
IT0005450173,MQSPA,MQSPA.MI
IT0005240046,TLS,TLS.MI
IT0005379604,CFV,CFV.MI
IT0001073045,PRO,PRO.MI
IT0003173629,BST,BST.MI
IT0005460016,INT,INT.MI
IT0005600801,LTX,LTX.MI
IT0005543332,ECMB,ECMB.MI
IT0005433740,RLT,RLT.MI
IT0005549768,GRN,GRN.MI
IT0005472730,AGP,AGP.MI
IT0005211237,IG,IG.MI
IT0005239360,UCG,UCG.MI
IT0004724107,RAT,RAT.MI
IT0000433307,SRS,SRS.MI
IT0005244618,CELL,CELL.MI
IT0005332595,GRAL,GRAL.MI
IT0004056880,AMP,AMP.MI
IT0005508574,FCH,FCH.MI
IT0005438046,IOT,IOT.MI
IT0005481855,MET,MET.MI
IT0005186371,DNR,DNR.MI
IT0000062957,MB,MB.MI
IT0001157020,ERG,ERG.MI
IT0004810054,UNI,UNI.MI
IT0005596330,EPH,EPH.MI
IT0005043507,OVS,OVS.MI
IT0005366767,NEXI,NEXI.MI
IT0005545675,NTW,NTW.MI
IT0005549354,RFLTC,RFLTC.MI
IT0005364333,MAPS,MAPS.MI
IT0005378333,TALEA,TALEA.MI
IT0005556581,SBC,SBC.MI
IT0000784196,BPSO,BPSO.MI
IT0005568461,VARV,VARV.MI
IT0005556110,VNE,VNE.MI
IT0005516130,BIE,BIE.MI
IT0005573438,LS,LS.MI
IT0005388449,MFT,MFT.MI
IT0005424830,OSA,OSA.MI
IT0004822695,PRM,PRM.MI
IT0003073266,PIA,PIA.MI
IT0005359101,ILP,ILP.MI
IT0005282865,REY,REY.MI
IT0005532483,CUBE,CUBE.MI
IT0005122392,GAMB,GAMB.MI
IT0005341059,GBUS,GBUS.MI
IT0004967292,FILA,FILA.MI
IT0005257347,CULT,CULT.MI
IT0005390783,NVP,NVP.MI
IT0005386369,ARBS,ARBS.MI
IT0005422768,TFIN,TFIN.MI
IT0004195308,MOL,MOL.MI
IT0005468662,HZY,HZY.MI
IT0001472171,CED,CED.MI
IT0000214293,TYA,TYA.MI
IT0005351504,EDAC,EDAC.MI
IT0005337107,ESAU,ESAU.MI
IT0005338139,MNL,MNL.MI
IT0005469272,LDB,LDB.MI
IT0005338675,SOS,SOS.MI
IT0005573818,ESPE,ESPE.MI
IT0005573123,SMN,SMN.MI
IT0005312365,GEL,GEL.MI
IT0004356751,ENV,ENV.MI
IT0003203947,GE,GE.MI
IT0003428445,MARR,MARR.MI
IT0005366601,AV,AV.MI
IT0005391229,E9IA,E9IA.MI
IT0001017851,YRM,YRM.MI
IT0004942915,BES,BES.MI
IT0005203622,DHH,DHH.MI
IT0005434615,AIW,AIW.MI
IT0004125677,MASI,MASI.MI
IT0001206769,SOL,SOL.MI
IT0005379620,SHE,SHE.MI
IT0000072170,FBK,FBK.MI
IT0005546103,CYB,CYB.MI
IT0005561441,ESF,ESF.MI
IT0005262149,SIT,SIT.MI
IT0005379406,COP,COP.MI
IT0005548521,AAT,AAT.MI
IT0005586950,MEV,MEV.MI
IT0004887409,ENT,ENT.MI
IT0005495335,FIRE,FIRE.MI
IT0005521551,SAC,SAC.MI
IT0005474108,ISC,ISC.MI
IT0005421919,AGA,AGA.MI
IT0003097257,BSS,BSS.MI
IT0001042610,SAB,SAB.MI
IT0004729759,SES,SES.MI
IT0005599938,FCT,FCT.MI
IT0005519837,EPRB,EPRB.MI
IT0004329733,CAI,CAI.MI
IT0005329815,SOM,SOM.MI
